Index,Text
1,Auriel's Bow
3,Crossbow Mount
9,Vale Deer
11,Transform into the vampire lord.
13,Quick Test Cell
16,Vampire Lord
19,Trap Sunlight
20,Sorine
23,Durnehviir
26,Albino
27,Vampire Lord Abilities
33,Summon Durnehviir
35,D6
36,Fort Dawnguard
37,Neh
39,Hestla
43,Falmer Staff
48,Vigilant of Stendarr
49,Hakar
60,Arkngthamz
63,Auriel's Shield
74,Serana
76,Dawnguard Novice Hakar
83,Volkihar Keep
87,Castle Volkihar
89,Feran Sadri
94,Florentius Baenius
98,Ronthil
100,BrowsMaleSnowElf
101,Frost Cloak
103,Dawnguard Novice (06 / Whiterun Caches)
106,V3r
116,Summon Durnehviir
123,Whiterun Cache Tracking
128,Dawnguard Cache
131,Beyond Death
138,Summon a dragon from the Soul Cairn to fight for you.
141,Unseen Visions
145,Falmer Heavy Boots
146,Touching the Sky
156,Bats!
158,Moldering Ruins
159,Dawnguard Vampire Hunters
162,Hjaalmarch/Pale/Winterhold Cache Tracking
163,Vampire Ash Pile
166,Reach/Haafingar Cache Tracking
167,Dawnguard Outrider (07 / Northlands Caches)
173,Reduced Health
181,Dawnguard Orders - Hakar
186,Rargal
189,Search
190,Flames
193,Dimhollow Cavern
196,Dayspring Canyon
208,Sanguinare Vampiris
209,Any idea why the vampires attacked the Vigilants?
211,Vampire Assassin
217,Vampire Masquerade
230,Garan
238,
243,Vingalmo
244,HairLineMaleSnowElf01
246,Trap Linker
249,Vampire Lord
260,Falmer Heavy Helm
265,Dawnguard Orders - Lynoit
269,Trap Linker
270,Sorine Jurard
271,Draugr
272,Dawnguard Orders - Saliah
275,Hunting Bow
277,Its baaaaaack
281,Feran
286,Vampire Lord
294,Agmaer
299,High Elf
302,Orthjolf
304,Soul Cairn
305,Forgotten Vale
308,Writ of Dawn
314,Vigilants pursuing Vampire
316,MaleHeadHighElfSnow
317,Vampire Hunter
318,Swindler's Den
319,Reduces Health by <mag>. Progresses to Vampirism.
321,Glacial Crevice
322,Falmer Heavy Armor
324,Swindler's Den
327,Quick Test Cell
330,Serana
334,Scent Of Blood
335,Volkihar Undercroft
342,Summon Durnehviir
348,Volkihar Ruins
349,Dawnguard Cache Key
352,Nightmaster Vampire
355,MaleEyesSnowElf
359,Garan Marethi
360,Stalf
363,Salonia
364,Salonia Caelia
365,Isran
366,Falmer Heavy Gauntlets
367,Vampire Lord
368,Gunmar
370,Florentius
373,Vampire Court Member
375,Vampire Assassin
376,Tolan
377,Vigilant Tolan
378,Arch-Curate Vyrthur
379,Steel Bolt
396,Steel Bolt
410,Drain Life
414,Fura Bloodmouth
417,Fura
420,Nightlord Vampire
421,Glow Deer
424,holding cell
427,Dimhollow Crypt
435,Vampire Touch
436,Crossbow
443,HairMaleSnowElf
455,Vampire Lord Form
459,Rargal Thrallmaster
478,Return to <Alias=QuestGiver>
483,I heard you might need help.
484,...
486,Missing Crest
489,Know anything about a Moth Priest visiting Dragon Bridge?
491,Enhanced Crossbow Schematic
