Index,Text
1,Arco di Auriel
3,Supporto per balestra
9,Cervo di valle
11,Trasformati nel signore dei vampiri.
13,Quick Test Cell
16,Vampiro
19,Intrappola luce del sole
20,Sorine
23,Durnehviir
26,Albino
27,Abilità del signore dei vampiri
33,Evoca Durnehviir
35,D6
36,Forte Dawnguard
37,Neh
39,Hestla
43,Bastone Falmer
48,Vigilante di Stendarr
49,Hakar
60,Arkngthamz
63,Scudo di Auriel
74,Serana
76,Novizio Dawnguard Hakar
83,Fortezza di Volkihar
87,Castel Volkihar
89,Feran Sadri
94,Florentius Baenius
98,Ronthil
100,BrowsMaleSnowElf
101,Manto Gelido
103,Principiante Dawnguard (06/scorte Whiterun)
106,V3r
116,Evoca Durnehviir
123,Tracciamento scorte Whiterun
128,Cassa Dawnguard
131,Oltre la morte
138,Evoca un drago dal Tumulo dell'Anima affinché combatta al tuo fianco.
141,Visioni sfuggenti
145,Stivali pesanti Falmer
146,Toccare il cielo
156,Pipistrelli
158,Rovine Devastate
159,Cacciatori di vampiri Dawnguard
162,Tracciamento scorte Hjaalmarch/Pale/Winterhold
163,Cumulo di cenere del vampiro
166,Tracciamento scorte Reach/Haafingar
167,Incaricato Dawnguard (07/scorte terre del nord)
173,Salute ridotta
181,Ordini Dawnguard - Hakar
186,Rargal
189,Cerca
190,Fiamme
193,Caverna di Dimhollow
196,Gola di Dayspring
208,Sanguinare vampiris
209,Hai idea del perché i vampiri abbiano attaccato i Vigilanti?
211,Vampiro assassino
217,Sotto mentite spoglie
230,Garan
238,
243,Vingalmo
244,HairLineMaleSnowElf01
246,Trap Linker
249,Signore dei vampiri
260,Elmo pesante Falmer
265,Ordini Dawnguard - Lynoit
269,Trap Linker
270,Sorine Jurard
271,Draugr
272,Ordini Dawnguard - Saliah
275,Arco da caccia
277,È tornato
281,Feran
286,Signore dei vampiri
294,Agmaer
299,Elfo alto
302,Orthjolf
304,Tumulo dell'Anima
305,Valle Dimenticata
308,Ordine dell'alba
314,Vigilanti inseguono vampiro
316,MaleHeadHighElfSnow
317,Cacciatore di vampiri
318,Covo del Lestofante
319,Riduce la salute di <mag> punti. Progredisce verso il vampirismo.
321,Crepaccio Glaciale
322,Corazza pesante Falmer
324,Covo del Lestofante
327,Quick Test Cell
330,Serana
334,Profumo di sangue
335,Sotterranei di Volkihar
342,Evoca Durnehviir
348,Rovine di Volkihar
349,Chiave della cassa Dawnguard
352,Vampiro maestro della notte
355,MaleEyesSnowElf
359,Garan Marethi
360,Stalf
363,Salonia
364,Salonia Caelia
365,Isran
366,Guanti pesanti Falmer
367,Signore dei vampiri
368,Gunmar
370,Florentius
373,Vampiro di corte
375,Vampiro assassino
376,Tolan
377,Vigilante Tolan
378,Arciprete Vyrthur
379,Dardo d'acciaio
396,Dardo d'acciaio
410,Prosciuga vita
414,Fura Labbra Sanguigne
417,Fura
420,Vampiro signore della notte
421,Cervo luminescente
424,Cella
427,Cripta di Dimhollow
435,Tocco del vampiro
436,Balestra
443,HairMaleSnowElf
455,Forma del signore dei vampiri
459,Rargal Gran Padrone
478,Torna da <Alias=QuestGiver>
483,Ho sentito che potresti aver bisogno di aiuto.
484,...
486,Emblema mancante
489,Sai qualcosa di un sacerdote della Falena a Ponte del Drago?
491,Schemi per balestra migliorata
492,Come hai fatto a finire qui?
493,Recluta Sorine Jurard
496,Come faccio a trasformarla in un vampiro?
500,È tornato
501,Rampicante delle ceneri
503,Balestra nanica stordente
508,Hai ragione. Devo pensarci.
509,Giustizia per lo jarl
513,Uccidi qualcuno per le strade di <Alias=City>
514,"Ci trovi a Forte Dawnguard, vicino alla Luce di Stendarr."
521,Essere d'ossa
524,Tu resterai qui?
528,Riflessi sovrannaturali
529,Molo di Icewater
532,Allora puoi cominciare la tua lettura.
533,Evoca gargoyle
540,Capobestia lupo mannaro
542,Dove vuoi andare?
546,Anelli della Magia del Sangue
548,Dardo nanico esplosivo dell'elettricità
549,Sfera nanica
553,Non importa. Non ho bisogno di nulla.
557,Prosciuga vitalità
558,Balestra nanica riverita
560,Abilità del gargoyle
565,Balestra benedetta
566,Sconfiggi Stalf e Salonia
567,Baule
569,Proteggere la linea di sangue
571,Come facciamo a entrare senza allertare tuo padre?
573,Gli ingredienti sono nel recipiente.
575,(Facoltativo) Individua una vittima di alto profilo
577,Profeta
579,Rovine Devastate
587,Parla con Garan Marethi
589,Raggiungi la cima di Arkngthamz
593,Palla di Fuoco
594,Perché stiamo parlando?
600,Balestra nanica
605,Ho trovato tutti gli Anelli della Magia del Sangue.
609,Abilità del centurione nanico
610,Balestra nanica della condanna
612,Parla con Valerica
613,DLC01 Soul Cairn Boneman FX
621,Ho portato le Antiche Pergamene.
625,Magicka
629,Santuario della Notte
631,FemaleHeadNordVampire
632,Esplora il cortile di Castel Volkihar
636,Ora cosa facciamo?
638,Forse è il caso di darmi spiegazioni riguardo a questa lettera.
641,A Castel Volkihar?
646,Finito?
650,Bardo errante
653,Scavi di Ruunvald
654,Perché posso trasmettere il dono del sangue di Harkon?
657,Corazza da troll
660,Ciao.
669,Zombi
672,Flagello del sole
673,Parla con il locandiere di Solitude
674,Elfi della neve? Sei un Falmer?
676,Effetto prosciugamento cerca bersagli
681,Perché sei qui?
686,Hai detto di non sapere dove fosse diretta.
688,Spinta Scudo di Auriel
689,DLC1VQ04Hellos
692,Artigli del vampiro
694,Ingannare il gregge
702,Sembra che fosse piuttosto egoista...
707,Frammento di cristallo luminescente
708,Artigli venefici
714,Fallo e basta!
721,Parla con Valerica
725,Pugnale d'acciaio della Forgia Celeste
729,Esplosione del sole
734,"Troll, seguimi!"
738,Dardo d'acciaio esplosivo del ghiaccio
739,DLC1RedwaterSkoomaScriptEffect
740,Servo del vampiro
741,Perché ti hanno segregata?
745,Evoca sfera nanica
750,Uccidi <Alias=Vampire> in questo luogo: <Alias=Dungeon>
751,Torna da <Alias=QuestGiver>
753,Evoca lupi mannari 3
756,Zefiro
761,Alterazione eterea
762,Rendimi un guaritore
763,Sono le mie uniche opzioni?
764,R3
767,E adesso?
768,Non c'è niente da fare per aiutarti?
776,Sentito niente riguardo a un sacerdote della Falena?
781,Indaga sul luogo dell'attacco
782,Lettera incriminante
783,Vigore animale
784,Aura di Stendarr
788,Parla con Durnehviir nella sua tana al Tumulo dell'Anima
790,Risucchio vampirico
791,Cosa intendi dire?
795,Coltello Ancestrale
806,Braci dell'anima
808,Un nuovo ordine
815,Nascondersi con i Dawnguard?
819,L'ho tenuta al sicuro.
825,Balestra nanica vincolante
828,Esplora le rovine di Arkngthamz
833,Balestra nanica dell'apatia
837,Stavi cacciando?
842,I bersagli non-morti subiscono <mag> punti di danno da sole.
848,Chaurus cacciatore
849,Questa è casa tua?
850,"Cosa stiamo cercando, di preciso?"
859,Immagino che non ci sia una cura.
860,Effetto Lentezza
861,Chi eravate voi altri?
862,Amuleto dei pipistrelli
863,Dov'è ora?
865,Trono
867,Dov'è questa Antica Pergamena?
871,Entra nel Tumulo dell'Anima
875,Cripta di Dimhollow
876,Balestra nanica consacrata
881,"Ho impegni più urgenti, al momento."
885,Quick Test Cell
887,Sella
888,Hai qualche idea?
894,...
895,Valle Dimenticata
898,"Quando sei lupo mannaro, il comando dell'inventario richiama i bonus del lupo mannaro. Ottieni i bonus divorando i cadaveri."
900,Prelato Nirilor
904,Anello della stretta del vampiro
908,Cosa posso fare per aiutare?
913,Schemi per dardo esplosivo Dwemer del ghiaccio
921,Il tuo aiuto a Tamriel potrebbe tornarci utile.
922,...
923,Che male.
925,Ti ordino di raggiungere Castel Volkihar.
926,Morso del drago
928,Vesti del signore dei vampiri
929,Nota del vampiro
932,Custode
937,Non ho idea di cosa stesse pensando.
939,
941,Barriera di ghiaccio per combattimento con elfo della neve
949,Ho portato le Antiche Pergamene.
951,I miei affari non ti riguardano. Dimmi quello che sai.
952,Scudo di Auriel
954,Antica tecnologia
956,Bottiglia di vino vuota
959,(Facoltativo) Visita l'Accademia di Winterhold per informazioni sul sacerdote della Falena
960,Puoi darmi lezioni di Recupero?
964,Sono qui solo per l'Antica Pergamena.
965,Il lupo mannaro ulula per chiamare i compagni.
971,Bastone di eterio
978,Artigli venefici
985,Gargoyle
986,Porta
988,Uccidi <Alias=Vampire> in questo luogo: <Alias=Dungeon>
989,Piazza
992,Antica Pergamena (Drago)
995,Caccia al mostro
996,FemaleHeadWoodElfVampire
999,Stivali Dawnguard
1003,Non esiterò a usare le maniere forti con te.
1006,Babette sulla strada accanto a un cadavere
1009,Tigre dai denti a sciabola di valle
1012,E se Harkon fallisse?
1016,Missione del cavallo al Tumulo dell'Anima
1020,Esplora la strada che da Ponte del Drago conduce a sud
1021,Cosa posso fare per aiutare?
1024,Tempio di Ruunvald
1027,Segui Valerica
1032,Schemi per dardo esplosivo Dwemer dell'elettricità
1033,Devi fare una cosa per me.
1040,Torna da <Alias=QuestGiver>
1051,Baule
1054,Benda del sacerdote della Falena
1056,Fasce per piedi
1064,
1065,Forziere
1069,Forza bestiale
1070,Diario di Volk
1074,Falena Ancestrale
1076,Dove potrebbe essere diretto un sacerdote della Falena?
1077,Uccidi Durnehviir
1079,Mi hanno incaricato di recuperare una cosa in questa caverna.
1088,Il lupo mannaro ulula per chiamare i compagni.
1089,Balestra della scarica
1093,AudioTemplateChaurusHunter
1097,Cosa posso fare per aiutare?
1101,Assorbe <mag> punti al secondo di salute dal bersaglio. Equipaggiabile solo nella mano sinistra.
1102,A cosa somigliano?
1103,Diventa un vampiro
1105,Prosciuga vitalità - Salute
1109,Testa
1113,Allora è tutto perduto.
1114,Visuale Rianima morto
1124,Prosciuga salute
1129,Chiedi alla gente di Ponte del Drago del sacerdote della Falena
1131,Puoi dirmi qualcosa riguardo al Tumulo dell'Anima?
1133,Funziona?
1134,Gargoyle bruto
1135,Sì. E adesso?
1137,"Ho distrutto <Alias=Vampire> in questo luogo, <Alias=Dungeon>."
1140,"La gente potrebbe fare commenti sul tuo insolito aspetto da vampiro, ma non ti attaccherà come solitamente fa con i lupi mannari."
1141,La Tirannia del Sole richiede il sangue di Serana?
1144,Il lupo mannaro ulula per chiamare i compagni.
1156,Troll
1158,"No, hai ragione. Dobbiamo convincere gli altri che sei dalla nostra parte."
1160,Laboratorio d'alchimia. (<Global=HDMarkarthAlchemy> pezzi d'oro)
1169,Che cosa fai?
1170,Torna da <Alias=QuestGiver>
1171,"Recupera questo oggetto, <Alias=Remains>, in questo luogo: <Alias=Dungeon>"
1175,Ti fidi di Harkon?
1177,Ti raggiungerò là.
1182,Balestra intrappola anime
1183,Li ho uccisi tutti e due.
1187,Sabre Cat Glow FX
1188,Parla con Serana
1190,Sembra che sia stata molto accorta.
1192,Frammento di Eterio
1193,Albero rinsecchito
1194,Morven Stroud
1196,Notevole.
1205,Segui Garan
1206,Studio di Valerica
1209,Riflessi sovrannaturali
1213,Invocare il tuo nome a Tamriel? Tutto qui?
1219,FemaleHeadDarkElfVampire
1223,Sto cercando un vampiro.
1228,I non-morti a portata di mischia subiscono <10> punti di danno da sole al secondo per <dur> secondi.
1233,Eh? Cos'è questo?
1237,Emblema di Eterio
1238,Piazza la lettera nel cadavere di <Alias=Victim>
1242,Di che stai parlando?
1243,A cosa pensi?
1249,Cos'ha a che fare tutto questo con i Dawnguard?
1255,Profeta
1260,Uccidi <Alias=Target> con discrezione
1267,Sì.
1269,Accetto la tua offerta e diventerò un vampiro.
1279,Visuale Rianima morto
1280,Salvatore's Test Cell
1281,Recipiente del portale
1285,Recupera i sali del vuoto purificati
1286,Effetto Vortice
1290,Rampicante bianco delle nevi
1293,(Facoltativo) Esegui un assassinio in pubblico mentre indossi l'armatura Dawnguard
1298,Sembra che abbia fatto di tutto per proteggerti.
1299,This should not be visible
1301,FemaleHeadOrcVampire
1303,Evoca un ragno nanico per <dur> secondi nel punto indicato da colui che lancia l'incantesimo.
1306,L'ho fatto. Ho ucciso qualcuno per le strade di <Alias=City>.
