Index,Text
1,アーリエルの弓
3,クロスボウかけ
9,谷の鹿
11,吸血鬼の王に変身する。
13,クイックテスト用区画
16,吸血鬼の王
19,太陽光封印
20,ソリーヌ
23,ダーネヴィール
26,アルビノ
27,吸血鬼の王の能力
33,ダーネヴィール召喚
35,D6
36,ドーンガード砦
37,Neh
39,ヘストラ
43,ファルメルの杖
48,ステンダールの番人
49,ハカール
60,アルクンザムズ
63,アーリエルの盾
74,セラーナ
76,ドーンガードの新人ハカール
83,ヴォルキハル城
87,ヴォルキハル城
89,フェラン・サドリ
94,フロレンティウス・バエニウス
98,ロンシル
100,BrowsMaleSnowElf
101,氷マント
103,ドーンガードの新入り(06/ホワイトランの隠し物資)
106,V3r
116,ダーネヴィール召喚
123,ホワイトランの隠し場所の追跡
128,ドーンガードの隠し物資
131,死の超越
138,ソウル・ケルンからドラゴンを召喚して加勢させる。
141,目に見えぬ予見
145,ファルメルの重装ブーツ
146,空に触れる
156,コウモリ！
158,モルダリング遺跡
159,ドーンガードの吸血鬼ハンター
162,ハイヤルマーチ/ペイル/ウィンターホールドの隠し場所の追跡
163,吸血鬼の灰の山
166,リーチ/ハーフィンガルの隠し場所の追跡
167,ドーンガードのアウトライダー(07/ノースランドの隠し物資)
173,体力低下
181,ドーンガードの命令: ハカール
186,ラルガル
189,探す
190,火炎
193,ディムホロウ洞窟
196,デイスプリング峡谷
208,サングイネア吸血症
209,吸血鬼らが番人たちを襲った理由に心当たりは？
211,吸血鬼アサシン
217,吸血鬼のマスカレード
230,ガラン
238, 
243,ヴィンガルモ
244,HairLineMaleSnowElf01
246,トラップ・リンカー
249,吸血鬼の王
260,ファルメルの重装兜
265,ドーンガードの命令: リノイト
269,トラップ・リンカー
270,ソリーヌ・シュラルド
271,ドラウグル
272,ドーンガードの命令: サライア
275,狩猟弓
281,フェラン
286,吸血鬼の王
294,アグミル
299,ハイエルフ
302,オースユルフ
304,ソウル・ケルン
305,忘れられた谷
308,暁の証
314,吸血鬼を追う番人たち
316,MaleHeadHighElfSnow
317,吸血鬼ハンター
319,体力が <mag> ポイント減少する。吸血症へと進行する。
321,氷河のクレバス
322,ファルメルの重装鎧
330,セラーナ
334,血の匂い
335,ヴォルキハル城の地下
342,ダーネヴィール召喚
348,ヴォルキハル城の廃墟
349,ドーンガードの隠し物資の鍵
352,ナイトマスター・ヴァンパイア
355,MaleEyesSnowElf
359,ガラン・マレシ
360,スタルフ
363,サロニア
364,サロニア・カエリア
365,イスラン
366,ファルメルの重装篭手
367,吸血鬼の王
368,ガンマー
370,フロレンティウス
373,吸血鬼の臣下
375,吸血鬼アサシン
376,トラン
377,番人トラン
378,最高司祭ヴィルスール
379,鋼鉄のボルト
396,鋼鉄のボルト
410,生命低下
414,フーラ・ブラッドマウス
417,フーラ
420,ナイトロード・ヴァンパイア
421,光を放つ鹿
424,牢獄
427,ディムホロウ墓地
435,吸血鬼の牙
436,クロスボウ
443,HairMaleSnowElf
455,吸血鬼の王の姿
459,従徒長ラルガル
478,<Alias=Questgiver> のところに戻る
483,困っているらしいと聞いた
484,…
486,失われたクレスト
489,聖蚕の僧侶がドラゴン・ブリッジに立ち寄ったとかいう話は？
491,強化型クロスボウの設計図
492,どうしてこんな所にいる？
493,ソリーヌ・シュラルドの協力をとりつける
496,彼女を吸血鬼に変えるにはどうすれば？
501,アッシュ・ヴァイン
503,ドワーフのクロスボウ(気絶)
508,そうだな。もう少し考えてみる
509,首長の正義
513,<Alias=City>の路上で誰かを殺害する
514,我々はステンダールの灯近くのドーンガード砦にいる
521,ボーンマン
524,ここに残るのか？
528,神速の反応
529,アイスウォーター桟橋
532,解読を始めてほしい
533,ガーゴイル召喚
540,ウェアウルフ・ビーストマスター
542,どこに行きたいんだ？
546,血の魔法の指輪
548,ドワーフの爆裂雷撃ボルト
549,ドワーフ・スフィア
553,やっぱりいい。特に頼みたいことはない
557,生命力低下
558,崇敬なるドワーフのクロスボウ
560,ガーゴイルの能力
565,祝福のクロスボウ
566,スタルフとサロニアを倒す
567,宝箱
569,血筋を守るには
571,父親に気づかれずに入るには？
573,材料は器に入れた
575,(オプション)有名人物を犠牲者に選ぶ
577,予言者
579,モルダリング遺跡
587,ガラン・マレシと話す
589,アルクンザムズの頂上に登る
593,エクスプロージョン
594,話すことが何かあるのか？
600,ドワーフのクロスボウ
605,血の魔法の指輪をすべて集めた
609,ドワーフ・センチュリオンの能力
610,ドワーフのクロスボウ(呪い)
612,ヴァレリカと話す
613,DLC01 Soul Cairn Boneman FX
621,星霜の書を持ってきた
625,マジカ
629,夜の祠
631,FemaleHeadNordVampire
632,ヴォルキハル城の中庭を捜索する
636,これからどうする？
638,この手紙について説明してもらいたい
641,ヴォルキハル城の城内に隠れている？
646,完了？
650,旅の吟遊詩人
653,ルーンヴァルドの発掘現場
654,自分もハルコンの血の恩恵を他人に授けられるのはどうしてか？
657,トロールの鎧
660,やあ
669,ゾンビ
672,サン・ベイン
673,ソリチュードの宿屋の主人と話す
674,スノーエルフ？ ファルメルなのか？
681,ここに来た理由は？
686,どこに行ったのかわからないと？
688,アーリエルの盾のノックダウン
689,DLC1VQ04Hellos
692,吸血鬼の爪
694,群れをあざむくには
702,かなり身勝手な人だったようだな
707,輝くクリスタルの破片
708,ポイズン・タロン
714,細かいことはいいから早く！
721,ヴァレリカと話す
725,スカイフォージの鋼鉄のダガー
729,サン・ブラスト
734,トロールよ、ついて来い！
738,鋼鉄の爆裂冷気ボルト
739,DLC1RedwaterSkoomaScriptEffect
740,吸血鬼の従徒
741,幽閉されていた理由は？
