Index,Text
1,Łuk Auriela
3,Połączone kusze
9,Jeleń dolinowy
11,Przeobraź się w lorda wampirów.
13,Szybki test komórki
16,Lord wampirów
19,Pułapka - światło słoneczne
20,Sorine
23,Durnehviir
26,Albinos
27,Zdolności lorda wampirów
33,Przyzwanie Durnehviira
35,D6
36,Twierdza Świtu
37,Neh
39,Hestla
43,Falmerski kostur
48,Straż Stendarra
49,Hakar
60,Arkngthamz
63,Tarcza Auriela
74,Serana
76,"Hakar, nowicjusz Obrońców Świtu"
83,Twierdza Volkihar
87,Zamek Volkihar
89,Feran Sadri
94,Florentius Baenius
98,Ronthil
100,BrowsMaleSnowElf
101,Płaszcz mrozu
103,Aspirujący Obrońca Świtu (06 / skrytki w Białej Grani)
106,V3r
116,Przyzwanie Durnehviira
123,Poszukiwania skrytek w Białej Grani
128,Skrytka Obrońców Świtu
131,Śmierć to nie koniec
138,"Przywołanie z Kopca Dusz smoka, by dla ciebie walczył."
141,Ukryte wizje
145,Ciężkie falmerskie buty
146,U nieba bram
156,Nietoperze!
158,Butwiejące ruiny
159,Łowcy wampirów - Obrońcy Świtu
162,Poszukiwanie skrytek: Hjaalmarch/Biel/Zimowa Twierdza
163,Kupka popiołu z wampira
166,Poszukiwanie skrytek: Pogranicze/Haafingar
167,Konwojent Obrońców Świtu (07 / skrytki Północy)
173,Zmniejszone zdrowie
181,Rozkazy Obrońców Świtu - Hakar
186,Rargal
189,Przeszukaj
190,Płomienie
193,Grota Dimhollow
196,Kanion Dayspring
208,Sanguinare Vampiris
209,"Masz jakieś podejrzenia, dlaczego wampiry zaatakowały Strażników?"
211,Wampir zabójca
217,Wampir w przebraniu
230,Garan
238,
243,Vingalmo
244,HairLineMaleSnowElf01
246,Łącznik pułapek
249,Lord wampirów
260,Ciężki falmerski hełm
265,Rozkazy Obrońców Świtu - Lynoit
269,Łącznik pułapek
270,Sorine Jurard
271,Draugr
272,Rozkazy Obrońców Świtu - Saliah
275,Łuk myśliwski
277,Znów tu jeeeeest
281,Feran
286,Lord wampirów
294,Agmaer
299,Elf wysokiego rodu
302,Orthjolf
304,Kopiec Dusz
305,Zapomniana Dolina
308,Nakaz Świtu
