Index,Text
1,Лук Ауриэля
3,Подставка для арбалета
9,Долинный олень
11,Превращает в вампира-лорда
13,Quick Test Cell
16,Вампир-лорд
19,Trap Sunlight
20,Сорин
23,Дюрневир
26,Альбинос
27,Способности вампира-лорда
33,Вызов Дюрневира
35,D6
36,Форт Стражи Рассвета
37,NEH
39,Хестла
43,Фалмерский посох
48,Дозорный Стендарра
49,Хакар
60,Аркнтамз
63,Щит Ауриэля
74,Серана
76,Страж Рассвета - рекрут Хакар
83,Волкихар - Крепость
87,Замок Волкихар
89,Феран Садри
94,Флоренций Бений
98,Ронтил
100,BrowsMaleSnowElf
101,Морозный плащ
103,Dawnguard Novice (06 / Whiterun Caches)
106,V3R
116,Вызов Дюрневира
123,Whiterun Cache Tracking
128,Тайник Стражи Рассвета
131,За гранью смерти
138,"Призывает дракона из Каирна Душ, который будет сражаться на вашей стороне."
141,Невидимые видения
145,Фалмерские тяжелые сапоги
146,Прикосновение к небу
156,Летучие мыши!
158,Развалины
159,Dawnguard Vampire Hunters
162,Hjaalmarch/Pale/Winterhold Cache Tracking
163,Прах вампира
166,Reach/Haafingar Cache Tracking
167,Dawnguard Outrider (07 / Northlands Caches)
173,Уменьшенное здоровье
181,Распоряжения Стражи Рассвета - Хакар
186,Раргал
189,Осмотреть:
190,Пламя
193,Пещера Ночной Пустоты
196,Ущелье Утренней Зари
208,Сангвинаре Вампирис
209,"Как ты думаешь, почему вампиры напали на Дозорных?"
211,Вампир-убийца
217,Vampire Masquerade
230,Гаран
238,
243,Вингальмо
244,HairLineMaleSnowElf01
246,Ловушка
249,Вампир-лорд
260,Фалмерский тяжелый шлем
265,Распоряжения Стражи Рассвета - Линоит
269,Ловушка
270,Сорин Журар
271,Драугр
272,Распоряжения Стражи Рассвета - Салия
275,Охотничий лук
277,Its baaaaaack
281,Феран
286,Вампир-лорд
294,Агмейр
299,Высокий эльф
302,Ортьольф
304,Каирн Душ
305,Забытая долина
308,Приказ Рассвета
314,Vigilants pursuing Vampire
316,MaleHeadHighElfSnow
317,Охотник на вампиров
318,Логово Плута
319,Уменьшает здоровье на <mag> ед. Переходит в вампиризм.
321,Ледяная расщелина
322,Фалмерская тяжелая броня
324,Логово Плута
327,Quick Test Cell
330,Серана
334,Запах крови
335,Волкихар - Подземелье
342,Вызов Дюрневира
348,Волкихар - Руины
349,Ключ от тайника Стражи Рассвета
352,Вампир - хозяин ночи
355,MaleEyesSnowElf
359,Гаран Марети
360,Стальф
363,Салония
364,Салония Кейлия
365,Изран
366,Фалмерские тяжелые перчатки
367,Вампир-лорд
368,Гунмар
370,Флоренций
373,Вампир-придворный
375,Вампир-убийца
376,Толан
377,Дозорный Толан
378,Викарий Виртур
379,Стальной болт
396,Стальной болт
410,Высасывание жизни
414,Фьюра Кровопийца
417,Фьюра
420,Вампир - владетель ночи
421,Светящийся олень
424,holding cell
427,Крипта Ночной Пустоты
435,Касание вампира
436,Арбалет
443,HairMaleSnowElf
455,Форма вампира-лорда
459,Раргал Хозяин Трэллов
478,<Alias=Questgiver> ждет меня с докладом
483,"Говорят, тебе нужна помощь."
484,...
486,Пропавший символ
489,"Не знаешь, не заходил ли в Драконий Мост жрец Мотылька?"
491,Чертеж улучшенного арбалета
492,Как ты здесь оказалась?
493,Привлечь в Стражу Сорин Журар
496,Как мне превратить ее в вампира?
500,Its baaaaaack
501,Пепельная лоза
503,Двемерский арбалет оглушения
508,"Ты права. Позволь, я еще подумаю."
509,Правосудие ярла
513,Убить кого-нибудь на улицах города <Alias=City>
514,"Ты найдешь нас в форте Стражи Рассвета, возле Сигнальной башни Стендарра."
521,Костяной человек
524,Ты остаешься здесь?
528,Сверхъестественные рефлексы
529,Причал Ледяных Вод
532,"В таком случае, начинай чтение."
533,Вызов гаргульи
540,Вервольф-мастер
542,"Ну, куда едем?"
546,Кольца Магии крови
548,Взрывной двемерский болт электричества
549,Двемерская сфера
553,"Ладно, мне от тебя ничего не нужно."
557,Высасывание жизненной энергии
558,Благословленный двемерский арбалет
560,Способности гаргульи
565,Осененный арбалет
566,Одержать победу над Стальфом и Салонией
567,Сундук
569,Защитить линию крови
571,"И как же мы попадем туда так, чтобы твой отец не заметил?"
573,Ингредиенты в чаше.
575,(Дополнительно) Выбрать жертву с высоким общественным положением
577,Пророк
579,Развалины
587,Поговорить с Гараном Марети
589,Достичь верхней точки Аркнтамза
593,Огненный шар
594,Почему ты хочешь говорить?
600,Двемерский арбалет
605,Мне удалось добыть все кольца Кровавой магии.
609,Способности двемерского центуриона
610,Двемерский арбалет проклятия
612,Поговорить с Валерикой
613,DLC01 Soul Cairn Boneman FX
621,Со мной Древние свитки.
625,Магия
629,Ночное святилище
631,FemaleHeadNordVampire
632,Осмотреть внутренний двор замка Волкихар
636,Что нам теперь делать?
638,"Может быть, в таком случае ты объяснишь это письмо?"
641,В замке Волкихар?
646,Завершить?
650,Странствующий бард
653,Рунвальд - Раскопки
654,Почему я могу передавать дар крови Харкона?
657,Броня для тролля
660,Привет.
669,Зомби
672,Гнев солнца
673,Поговорить с владельцем гостиницы в Солитьюде
674,Снежных эльфов? Так ты фалмер?
676,Drain Effect To Look For Targets
681,Зачем ты сюда пришла?
686,"Ты говорила, что не знаешь, куда она отправилась."
688,Эффект отталкивания щита Ауриэля
689,DLC1VQ04Hellos
692,Когти вампира
694,Обмануть стадо
702,"Похоже, она была весьма эгоистична."
707,Осколок светящегося кристалла
708,Ядовитые когти
714,За работу!
721,Поговорить с Валерикой
725,Небесный стальной кинжал
729,Солнечный взрыв
734,"Тролль, за мной!"
738,Взрывной стальной болт льда
739,DLC1RedwaterSkoomaScriptEffect
740,Трэлл вампира
741,А почему тебя здесь заперли?
745,Вызов двемерской сферы
750,<Alias=Dungeon>: убить вампира
751,<Alias=Questgiver> ждет меня с докладом
753,Summon Werewolves 3
756,Зефир
761,Обретение бестелесности
762,Make Me A Healer
763,На этом варианты заканчиваются?
764,R3
767,И что теперь?..
768,Как-нибудь можно тебе помочь?
776,"Не проходил ли здесь жрец Мотылька? Может, кто-нибудь упоминал об этом?"
781,Осмотреть место схватки
782,Компрометирующее письмо
783,Животная энергия
784,Аура Стендарра
788,Поговорить с Дюрневиром с его логове в Каирне Душ
790,Вампирское высасывание
791,Что ты имеешь в виду?
795,Нож-скобель
806,Останки души
808,Новый орден
815,Она прячется у Стражи Рассвета?
819,Я забочусь о ее безопасности.
825,Двемерский арбалет связывания
828,Исследовать руины Аркнтамза
833,Двемерский арбалет иссыхания
837,Ты охотилась?
842,Нежить получает <mag> ед. урона урона солнечным светом
848,Корус-охотник
849,Это и есть твой дом?
850,Что конкретно мы ищем?
859,"Не думаю, что существует лекарство."
860,Эффект замедления
861,Что ты можешь рассказать о своем народе?
862,Амулет летучих мышей
863,Где он сейчас?
865,Трон
867,Ну и где этот Древний свиток?
871,Войти в Каирн Душ
875,Крипта Ночной Пустоты
876,Святой двемерский арбалет
881,У меня сейчас есть куда более срочные дела.
885,Quick Test Cell
887,Седло
888,Что ты об этом думаешь?
894,...
895,Забытая долина
898,"Для вервольфа кнопка показа снаряжения откроет его древо способностей. Способности можно обрести, пожирая трупы."
900,Прелат Нирилор
904,Кольцо хватки вампира
908,Чем я могу помочь?
913,Чертеж двемерского взрывного болта льда
921,Нам не помешала бы твоя помощь в Тамриэле.
922,...
923,Малоприятно.
925,Приказываю тебе отправиться в замок Волкихар.
926,Укус дракона
928,Броня вампира-лорда
929,Записка вампира
932,Смотритель
937,"Не знаю, о чем она думала."
939,
941,Ice Barrier for Snow Elf Fight
949,Со мной Древние свитки.
951,Мои дела касаются только меня. От тебя мне нужны только сведения.
952,Щит Ауриэля
954,Древняя технология
956,Пустая бутылка из-под вина
959,(Дополнительно) Посетить Коллегию Винтерхолда и расспросить там о жреце Мотылька
960,Можешь научить меня магии Восстановления?
964,Я хочу получить Древний свиток.
965,Вой вервольфа призывает соратников.
971,Этериевый посох
978,Ядовитые когти
985,Гаргулья
986,Дверь
988,<Alias=Dungeon>: убить вампира
989,Поместить:
992,Древний свиток (Дракон)
995,Охота на чудовище
996,FemaleHeadWoodElfVampire
999,Сапоги Стражи Рассвета
1003,"Если придется, я могу прибегнуть к грубым методам."
1006,Babette on the Road Near a Body
1009,Долинный саблезуб
1012,А если Харкон потерпит неудачу?
1016,Soul Cairn Horse Quest
1020,"Пройти по дороге, ведущей на юг от Драконьего Моста, в поисках следов жреца"
1021,Чем могу помочь?
1024,Рунвальд - Храм
1027,Следовать за Валерикой
1032,Чертеж двемерского взрывного болта электричества
1033,Мне от тебя кое-что нужно.
1040,<Alias=Questgiver> ждет меня с докладом
1051,Сундук
1054,Глазная повязка жреца Мотылька
1056,Ножные обмотки
1064,
1065,Сейф
1069,Звериная сила
1070,Дневник Волька
1074,Мотылек предка
1076,Куда бы мог пойти жрец Мотылька?
1077,Одержать победу над Дюрневиром
1079,Меня прислали забрать кое-что из пещеры.
1088,Вой вервольфа призывает соратников.
1089,Арбалет разряда
1093,AudioTemplateChaurusHunter
1097,Чем я могу помочь?
1101,Поглощает у цели <mag> ед. здоровья в секунду. Экипируется только в левую руку.
1102,На что они похожи?
1103,Стать вампиром
1105,Высасывание жизненной энергии - здоровье
1109,Голова
1113,"Значит, для нас все кончено."
1114,Raise Dead Visual
1124,Высасывание здоровья
1129,"Спросить у жителей Драконьего Моста, не видели ли они жреца Мотылька"
1131,Что ты знаешь про Каирн Душ?
1133,Они работают?
1134,Гаргулья-бестия
1135,"Да, они у меня. Что теперь?"
1137,"<Alias=Vampire> больше никого не побеспокоит, а <Alias=Dungeon> теперь не представляет опасности."
1140,"Если вы вампир, люди могут обсуждать ваш необычный внешний вид, но не будут нападать или бежать от вас, как это происходит в случае встречи с вервольфом."
1141,Избавление от Тирании солнца требует крови Сераны?
1144,Вой вервольфа призывает соратников.
1156,Тролль
1158,"Нет, ты права. Мы должны убедить остальных, что ты на нашей стороне."
1160,Алхимическая лаборатория. (<Global=HDMarkarthAlchemy> зол.)
1169,Чем ты занимаешься?
1170,<Alias=Questgiver> ждет меня с докладом
1171,<Alias=Dungeon>: разыскать останки древнего вампира
1175,Ты вообще веришь Харкону?
1177,Я встречу тебя здесь.
1182,Арбалет ловли душ
1183,Пришлось убить их обоих.
1187,Sabre Cat Glow FX
1188,Поговорить с Сераной
1190,"Похоже, она проявляла осторожность."
1192,Осколок этерия
1193,Высохшее дерево
1194,Морвен Страуд
1196,Это впечатляет.
1205,Следовать за Гараном
1206,Кабинет Валерики
1209,Сверхъестественные рефлексы
1213,"Просто назвать твое имя, будучи в Тамриэле? И все?"
1219,FemaleHeadDarkElfVampire
1223,Я ищу вампира.
1228,В течение <dur> с нежить на расстоянии рукопашной атаки получает <10> ед. урона солнечным светом в секунду.
1233,Что? Что это?
1237,Этериевая эмблема
1238,Подложить компрометирующее письмо на тело жертвы
1242,О чем ты говоришь?
1243,Что у тебя на уме?
1249,Какое это все имеет отношение к Страже Рассвета?
1255,Пророк
1260,"<Alias=Target> - вампир. Убить чудовище, не вызвав подозрений"
1267,Да.
1269,Я приму твой дар и стану вампиром.
1279,Raise Dead Visual
1280,Salvatore's Test Cell
1281,Чаша при портале
1285,Найти очищенную соль пустоты
1286,Vortex Effect
1290,Заснеженная ледяная лоза
1293,"(Дополнительно) Убить жертву прилюдно, надев форму Стражи Рассвета"
1298,"Она, похоже, все делала ради твоего блага."
1299,This should not be visible
1301,FemaleHeadOrcVampire
1303,Призывает двемерского паука на <dur> с в указанную заклинателем точку.
1306,Дело сделано. Мне удалось убить человека на улицах города <Alias=City>.
1309,Превратить в вампира человека по имени <Alias=Candidate>
1312,This should not be visible
1314,DLC1 Vampire Base Scene 5
1315,Балкон Волкихара
1318,Призывает двемерскую сферу на <dur> с в указанную заклинателем точку.
1321,Я хочу купить тролля в броне. (<Global=DLC1TrollCost> зол.)
1328,Мне не помешала бы твоя помощь.
1331,Освободить жреца Мотылька
1334,Легендарный дракон
1335,О чем это ты вообще?
1344,И его мне нужно будет наполнить в каждом дорожном святилище?
1346,Мы собираем силы против вампиров.
1348,Что здесь произошло?
1351,Поглощает у цели <mag> ед. здоровья в секунду.
1362,Встретить Толана у Сторожевой башни Стендарра
1363,Привет.
1365,Дикое пожирание
1368,Ты кого-то не хочешь видеть?
1372,Волкихар - Крепость
1376,Найти викария Виртура
1381,Тело
1382,"Пройти по дороге, ведущей на юг от Драконьего Моста, в поисках следов жреца"
1392,Поглощение здоровья
1395,"Где, говоришь, прячется этот вампир?"
1396,Deer Glow FX
1399,Броня Стражи Рассвета
1402,"Заперта где-то, подобно тебе?"
1405,Имперский дезертир
1406,Name TBD
1413,MaleHeadHighElfVampire
1423,Auriels Bow Beam Effects
1425,Кольцо оживления трупа
1431,Двемерский арбалет пламени
1435,И что будет с тобой теперь?
1443,Хватка вампира
1447,<Alias=Questgiver> ждет меня с докладом
1448,Пещера Крутой Склон
1456,У тебя есть с собой Древний свиток?
1457,Привет.
1458,"Прошу, нам нужна твоя помощь."
1459,О каком внимании ты говоришь?
1460,Они пытались убить меня!
1464,Где мне найти нужных людей?
1466,Светящийся цветок
1467,ZOL
1469,Поляна Предков
1471,<Alias=Location2>: Добыть <Alias=Item2>
1472,Арбалет углей
1475,Сила могилы
1476,"Мне нужно отыскать его немедленно, это очень важно. (Убеждение)"
1480,Когти вампира
1481,Внутреннее святилище
1484,DLC1 Vampire Base Scene 2
1488,"Нет. Мы думали, здесь какой-то артефакт."
1491,"Хочешь сказать, что мне нужно стать вампиром?"
1493,Почему ты считаешь их глупцами?
1495,Разве ты не пытался убить меня?
1501,Чертеж двемерского арбалета
1506,Вой вервольфа призывает соратников.
1511,Рваные штаны
1512,Какое знакомое имя...
1513,Отражающий щит
1522,"Я думаю, надо продолжать искать этого жреца Мотылька."
1523,Упреждающий удар
1525,Аркнтамз
1527,Ты о чем говоришь?
1530,L4
1531,(Дополнительно) Посетить Коллегию Винтерхолда и расспросить там о жреце Мотылька
1533,"Как вышло, что ты оказалась в заточении здесь?"
1534,Когти вампира
1544,Волкихар - Северная башня
1548,Долинный саблезуб
1550,Бретонка
1556,Призывает двемерского паука на <dur> с в указанную заклинателем точку.
1559,А что делают эти амулеты?
1560,Можешь научить меня магии Восстановления?
1561,Там есть и другие Дозорные?
1564,"Если она добралась туда, мы ее найдем."
1565,Да. Я состою в браке.
1566,Способности гончей смерти
1571,Что ты хотела выторговать?
1573,Кисти древнего вампира
1575,Не Преданных следует винить.
1583,Necro Skeleton Ability
1589,Останки души
1591,Серана добровольно прошла этот ритуал?
1594,Сущность
1599,FemaleHeadHighElfVampire
1600,Что ты имеешь в виду?
1604,Вечерний переход
1605,Позволить захватить часть своей души
1606,Поглощение здоровья
1607,Ты хотела поговорить со мной?
1612,"Не знаешь, не заходил ли в Драконий Мост жрец Мотылька?"
1616,"Я не доверяю тем, кто пытается убить меня."
1621,Яростный человек
1623,Спасение
1625,Использовать заклинание вампирского обольщения на жреце Мотылька
1628,Луч света
1631,Поместить:
1632,Поговорить с Израном
1644,Soul Visuals
1645,И поэтому ты теперь свободен?
1651,В течение <dur> с противники на расстоянии рукопашной атаки получают <mag> ед. урона холодом в секунду и такой же урон запасу сил.
1655,Он просто сказал: Время пришло.
1657,Валерика
1665,Лечение кровью
1666,Что ты делаешь?
1667,<Alias=Questgiver> ждет меня с докладом
1668,<Alias=Location2>: Добыть <Alias=Item2>
1672,Замок Волкихар
1673,Ты отдашь нам теперь свиток?
1676,Хватка вампира
1677,Дюрневир
1684,<mag> ед. урона в течение <dur> с.
1685,Ghost Visuals
1689,Предупредить ярла о присутствии вампира
1698,Игра в прятки
1700,Ледяная буря
1702,Мертвая лоза
1712,Что ты об этом думаешь?
1715,Убить похитителя-вампира
1716,...
1717,Auriels Bow Sky Bolt
1725,MaleHeadRedguardVampire
1726,Водопад Смертельный Прыжок
1727,Не подходит
1728,Замороженный фалмер
1730,Чем он так привлекал твою мать?
1732,Линия крови
1733,Огненное дыхание
1736,Ты можешь встретиться со мной в форте Стражей Рассвета.
1741,Морозное дыхание
1742,"Мы пока ничего не знаем, но Изран крайне обеспокоен."
1743,Чаша из гелиотропа
1748,Chaurusflyer
1749,Вы в опасности. У вас при дворе вампир. (Отдать письмо)
1752,Нам с Израном все еще нужна твоя помощь.
1756,Дикий фалмер
1759,Морозный плащ - Гончая смерти
1761,DLC1 Vampire Intro Quest Enemy Faction
1766,"<Alias=CurrentQuestGiver> ждет меня, чтобы поговорить о задании"
1770,"Неважно, кто я, лучше скажи, кто ты?"
1772,Куда бы мог пойти жрец Мотылька?
1775,Soul CairnKeeperHead FX
1785,Они тебя обманули.
1787,Взрывной двемерский болт огня
1791,Взрывной двемерский болт электричества
1795,Статуя
1799,Чертеж улучшенного двемерского арбалета
1812,Вампирские сапоги
1815,Нет болтов в колчане.
1817,<Alias=Dungeon>: убить главаря
1823,Взять кору поющего дерева
1825,Ты в порядке?
1828,...
1831,<Alias=Location1>: Добыть <Alias=Item1>
1833,Заполучить Древний свиток
1836,Гроб
1841,Detect Life - Predator Combat
1844,Следовать за Валерикой
1846,И давно ты здесь?
1847,
1850,Драконий Предел
1852,Ледяной атронах
1854,"Давай я покажу, что мне нужно."
1856,Создает летающий источник света на <dur> с.
1857,Высасывание жизненной энергии
1869,Что случилось с драконом?
1874,Высохшее дерево
1877,(Дополнительно) Найти дневник Катрии
1878,Вызов Арвака
1882,"<Alias=Vampire> больше никого не побеспокоит, а <Alias=Dungeon> теперь не представляет опасности."
1883,Осмотреть:
1893,"И это имеет к тебе какое-то отношение, потому что?.."
1898,Стальные сапоги со щитками
1899,Поговорить с Гелебором
1902,MaleHeadNordVampire
1905,Кольцо трупного проклятья
1906,"Вот, возьми этот двемерский гироскоп."
1908,Укус дракона
1910,Гроб
1911,Арбалет горения
1917,"Да, я помогаю Толану."
1921,Raise Dead Script Effect
1928,Что не так?
