Index,Text
1,Arco de Auriel
3,Soporte para ballesta
9,Ciervo del valle
11,Transformación en el señor de los vampiros.
13,Quick Test Cell
16,Vampiro
19,Trampa de luz solar
20,Sorine
23,Durnehviir
26,Albino
27,Aptitudes de señor de los vampiros
33,Invocar a Durnehviir
35,D6
36,Fuerte Guardia del Alba
37,Neh
39,Hestla
43,Bastón falmer
48,Vigilante de Stendarr
49,Hakar
60,Arkngthamz
63,Escudo de Auriel
74,Serana
76,Iniciado Hakar de la Guardia del Alba
83,Bastión de Volkihar
87,Castillo de Volkihar
89,Feran Sadri
94,Florencio Baenio
98,Ronthil
100,BrowsMaleSnowElf
101,Manto de escarcha
103,Iniciado de la Guardia del Alba (06 / suministros de Carrera Blanca)
106,V3r
116,Invocar a Durnehviir
123,Rastro de los suministros de Carrera Blanca
128,Suministros de la Guardia del Alba
131,Más allá de la muerte
138,Invoca a un dragón del Recordatorio de las Almas para que luche por ti.
141,Visiones inadvertidas
145,Botas pesadas de falmer
146,Tocando el cielo
156,¡Murciélagos!
158,Ruinas desmoronadas
159,Cazavampiros de la Guardia del Alba
162,Rastro de los suministros de la Marca de Hjaal/el Pálido/Hibernalia
163,Montón de ceniza de vampiro
166,Rastro de los suministros de la Cuenca/Haafingar
167,Batidor de la Guardia del Alba (07 / suministros de las tierras del norte)
173,Salud reducida
181,Órdenes de la Guardia del Alba - Hakar
186,Rargal
189,Buscar
190,Llamas
193,Caverna del Nicho Lóbrego
196,Cañón de la Aurora
208,Sanguinare Vampiris
209,¿Sabes por qué atacaron los vampiros a los vigilantes?
211,Asesino vampiro
217,Mascarada vampírica
230,Garan
238,
243,Vingalmo
244,HairLineMaleSnowElf01
246,Trap Linker
249,Sr. de los vampiros
260,Yelmo pesado de falmer
265,Órdenes de la Guardia del Alba - Lynoit
269,Trap Linker
270,Sorine Jurard
271,Draugr
272,Órdenes de la Guardia del Alba - Saliah
275,Arco de caza
277,Ha vueeeeelto
281,Feran
286,Señor de los vampiros
294,Agmaer
299,Alto elfo
302,Orthjolf
304,Recordatorio de las Almas
305,Valle Olvidado
308,Escritura del Alba
314,Vigilantes persiguiendo a un vampiro
316,MaleHeadHighElfSnow
317,Cazavampiros
318,Antro de los Timadores
319,Reduce la salud en <mag>. Progresa hacia el vampirismo.
321,Grieta Glacial
322,Armadura pesada de falmer
324,Antro de los Timadores
327,Quick Test Cell
330,Serana
334,El olor de la sangre
335,Hipogeo de Volkihar
342,Invocar a Durnehviir
348,Ruinas de Volkihar
349,Llave de los suministros de la Guardia del Alba
352,Vampiro amo de la noche
355,MaleEyesSnowElf
359,Garan Marethi
360,Stalf
363,Salonia
364,Salonia Caelia
365,Isran
366,Guanteletes pesados de falmer
367,Señor de los vampiros
368,Gunmar
370,Florencio
373,Cortesano vampiro
375,Asesino vampiro
376,Tolan
377,Vigilante Tolan
378,Archicoadjutor Vyrthur
379,Virote de acero
396,Virote de acero
410,Absorción de vida
414,Fura Boca Sangrienta
417,Fura
420,Vampiro señor de la noche
421,Ciervo brillante
424,calabozo
427,Cripta del Nicho Lóbrego
435,Toque vampírico
436,Ballesta
443,HairMaleSnowElf
455,Forma de señor de los vampiros
459,Rargal Esclavizador
478,Ve a ver a <Alias=QuestGiver>
483,Me han dicho que necesitas ayuda.
484,...
486,Blasón desaparecido
489,¿Sabes algo de un sacerdote polilla que haya estado en Puente del Dragón?
491,Planos de ballesta mejorada
492,¿Cómo acabaste aquí?
493,Recluta a Sorine Jurard
496,¿Cómo puedo convertirla en vampira?
500,Ha vueeeeelto
501,Vid cenicienta
503,Ballesta enana de aturdimiento
508,Tienes razón. Tendré que pensarlo.
509,La justicia de un jarl
513,Mata a alguien en las calles de <Alias=City>
514,"Nos encontrarás en el fuerte de la Guardia del Alba, cerca del Faro de Stendarr."
521,Osamentero
524,¿Vas a quedarte aquí?
528,Reflejos sobrenaturales
529,Malecón de Aguas Gélidas
532,Entonces ya puedes empezar a leer.
533,Conjurar gárgola
540,Hombre lobo señor de las bestias
542,¿Dónde quieres ir?
546,Anillos de magia de sangre
548,Virote enano explosivo de descarga
549,Esfera enana
553,No importa. No necesito que hagas nada.
557,Absorción de vitalidad
558,Ballesta enana reverente
560,Aptitudes de gárgola
565,Ballesta bendecida
566,Derrota a Stalf y a Salonia
567,Cofre
569,Protege el linaje
571,¿Cómo podemos entrar sin que tu padre se dé cuenta?
573,Los ingredientes están en el recipiente.
575,(Opcional) Escoge una víctima que sea muy conocida
577,Profeta
579,Ruinas desmoronadas
587,Habla con Garan Marethi
589,Alcanza la cima de Arkngthamz
593,Bola de fuego
594,¿Por qué estamos hablando?
600,Ballesta enana
605,He reunido todos los anillos de magia de la sangre.
609,Aptitudes del centurión enano
610,Ballesta enana de maldición
612,Habla con Valérica
613,Efecto especial de osamentero del Recordatorio de las Almas del contenido descargable
621,He traído los Pergaminos antiguos.
625,Magia
629,Capilla de la noche
631,Cabeza de nórdica vampira
632,Explora el patio del castillo de Volkihar
636,¿Y ahora qué hacemos?
638,"En ese caso, ¿qué tienes que decir de esta carta?"
641,¿En el castillo de Volkihar?
646,¿Has terminado?
650,Bardo errante
653,Excavación de Ruunvald
654,¿Por qué puedo otorgar el don de la sangre de Harkon?
657,Armadura de trol
660,Hola.
669,Zombi
672,Perdición solar
673,Habla con el posadero de Soledad
674,¿Elfos de las nieves? ¿Eres un falmer?
676,Efecto de absorción para buscar objetivos
681,¿Por qué has venido aquí?
686,Dijiste que no sabías adónde había ido.
688,Empuje del escudo de Auriel
689,DLC1VQ04Hellos
692,Garras vampíricas
694,Engañar al rebaño
702,Parece que fue muy egoísta.
707,Fragmento de cristal brillante
708,Garras ponzoñosas
714,¡Ve al grano!
721,Habla con Valérica
725,Daga de acero de forja del Cielo
729,Estallido solar
734,"¡Trol, sígueme!"
738,Virote de acero explosivo de hielo
739,DLC1RedwaterSkoomaScriptEffect
740,Esclavo del vampiro
741,¿Por qué te habían encerrado?
745,Conjurar esfera enana
750,Mata a <Alias=Vampire> en <Alias=Dungeon>
751,Ve a ver a <Alias=QuestGiver>
753,Invocar hombres lobo 3
756,Céfiro
761,Eterizar
762,Conviérteme en sanador
763,¿Son mis únicas opciones?
764,R3
767,Y... ¿ahora qué?
768,¿Puede hacerse algo por ti?
776,¿Sabes si ha pasado por aquí un sacerdote polilla?
781,Investiga el lugar del ataque
782,Carta inculpatoria
783,Vigor animal
784,Aura de Stendarr
788,Habla con Durnehviir en su guarida del Recordatorio de las Almas
790,Absorción vampírica
791,¿Qué quieres decir?
795,Cuchillo de extracción
806,Ascuas de alma
808,El nuevo orden
815,¿Se escondió con la Guardia del Alba?
819,La he mantenido a salvo.
825,Ballesta enana de vinculación
828,Investiga las ruinas de Arkngthamz
833,Ballesta enana de agotamiento
837,¿Estabas cazando?
842,Los objetivos no muertos reciben <mag> puntos de daño solar.
848,Cauro cazador
849,¿Este es tu hogar?
850,¿Qué estamos buscando exactamente?
859,Supongo que no existirá cura.
860,Efecto de Ralentizar
861,¿Quiénes eran tu gente?
862,Amuleto de murciélagos
863,¿Dónde está ahora?
865,Trono
867,¿Y dónde está ese Pergamino antiguo?
871,Entra en el Recordatorio de las Almas
875,Cripta del Nicho Lóbrego
876,Ballesta enana consagrada
881,Ahora mismo tengo asuntos más urgentes que atender.
885,Quick Test Cell
887,Silla de montar
888,¿Tienes alguna idea?
894,...
895,Valle Olvidado
898,"Como hombre lobo, el botón de inventario abre el árbol de ventajas de hombre lobo. Estas ventajas se obtienen devorando cadáveres."
900,Prelado Nirilor
904,Anillo de presa vampírica
908,¿Qué puedo hacer para ayudar?
913,Planos de rayo de hielo explosivo de dwemer
921,Nos vendría bien tu ayuda en Tamriel.
922,...
923,Eso ha dolido.
925,Te ordeno que viajes al castillo de Volkihar.
926,Mordisco de dragón
928,Armadura de señor de los vampiros
929,Nota de vampiro
932,Guardián
937,No sé en qué estaría pensando.
939,
941,Barrera de hielo para la pelea con elfo de las nieves
949,He traído los Pergaminos antiguos.
951,Mis asuntos son míos. Limítate a decirme lo que quiero saber.
952,Escudo de Auriel
954,Tecnología antigua
956,Botella de vino vacía
959,(Opcional) Visita el Colegio de Hibernalia y pregunta sobre el sacerdote polilla
960,¿Puedes entrenarme en restauración?
964,Solo he venido a por el Pergamino antiguo.
965,El hombre lobo aúlla para llamar a sus compañeros.
971,Bastón aetérico
978,Garras ponzoñosas
985,Gárgola
986,Puerta
988,Mata a <Alias=Vampire> en <Alias=Dungeon>
989,Colocar
992,Pergamino antiguo (dragón)
995,La caza del monstruo
996,Cabeza de elfa del bosque vampira
999,Botas de la Guardia del Alba
1003,Te lo pediré por las malas si es preciso.
1006,Babette en el camino cerca de un cuerpo
1009,Gato sable del valle
1012,¿Y si Harkon no lo consiguiera?
1016,Misión de caballo del Recordatorio de las Almas
1020,Busca por el camino que va al sur desde Puente del Dragón
1021,¿Qué puedo hacer para ayudar?
1024,Templo de Ruunvald
1027,Sigue a Valérica
1032,Planos de rayo de conmoción explosivo de dwemer
1033,Necesito que hagas algo.
1040,Ve a ver a <Alias=QuestGiver>
1051,Cofre
1054,Venda para los ojos de sacerdote polilla
1056,Cubrepiés
1064,
1065,Caja fuerte
1069,Fuerza bestial
1070,Diario de Volk
1074,Polilla Ancestral
1076,¿Adónde iría un sacerdote polilla?
1077,Mata a Durnehviir
1079,Me enviaron para recuperar algo en esta cueva.
