Index,Text
1,Tel Mithryn
3,Ashfallow Citadel
4,Fire
5,Fort Frostmoth
6,Gyldenhul Barrow
7,Vahlok's Tomb
8,Beast Stone
9,Benkongerike
10,Fort Frostmoth
11,Temple of Miraak
12,Hrodulf's House
13,Raven Rock
14,Tosses a Jumping Poison spider on the ground that will launch itself at nearby enemies and explode if it lands near them.
15,Fort Frostmoth
16,
17,Castle Karstaag Ruins
18,Castle Karstaag Caverns
19,Fahlbtharz
20,Kagrumez
21,Earth Stone
22,Water Stone
23,Giant
24,Exploding Spider
25,Hrodulf's House
26,Jumping Poisonous Spider
27,Nchardak
28,Horker Island
29,Apocrypha
30,Apocrypha
31,Highpoint Tower
32,Bujold's Retreat
33,Tel Mithryn
34,Apocrypha
36,Vahlok's Tomb
37,White Ridge Barrow
39,Apocrypha
40,Raven Rock Mine
41,Temple of Miraak
42,Water Stone
43,Benkongerike
44,Kolbjorn Barrow
48,Altar of Thrond
49,Jumping Flame Spider
50,Apocrypha
52,Kolbjorn Barrow
53,Wind Stone
54,White Ridge Barrow
55,Frostmoon Crag
56,Abandoned Lodge
57,Wind Stone
58,Broken Tusk Mine
59,Haknir's Shoal
60,Horker Island
61,Northshore Landing
62,Tosses a Jumping Fire spider on the ground that will launch itself at nearby enemies and explode if it lands near them.
63,Ashfallow Citadel
64,Wreck of the Strident Squall
65,Bloodskal Barrow
66,Fahlbtharz
68,Strident Squall
69,Kolbjorn Barrow
70,White Ridge Barrow
71,You know what you have to do.
72,Raven Rock
73,Flame Spider
74,Fire
75,Kagrumez
76,Spider Poison
77,Skaal Village
78,Poison
79,Nchardak
80,Moesring Pass
81,Frossel
82,Brodir Grove
83,Castle Karstaag Ruins
84,Imbued Spider
85,Frostmoon Crag
86,Skaal Village
87,Altar of Thrond
88,Gyldenhul Barrow
89,Brodir Grove
90,Thirsk
91,
92,Lurker
93,Kagrumez
94,Frossel
95,Fire Hazard
96,Gyldenhul Barrow
97,Sun Stone
99,Poison Hazard
100,Frossel
101,Temple of Miraak
102,Bujold's Retreat
103,Raven Rock Mine
104,Jumping Flame Spider
105,Earth Stone
106,Thirsk Mead Hall
107,Moesring Pass
108,Jumping Poison Spider
109,Apocrypha
110,Apocrypha
111,Fire
112,Frostbite Spider
113,Vahlok's Tomb
114,Haknir's Shoal
115,Beast Stone
116,Fahlbtharz
117,Solstheim
118,Broken Tusk Mine
119,Sun Stone
120,Northshore Landing
123,Zombie by Spider
124,Flame Cloaked Spider
125,Solstheim
127,Control Pedestal
128,Thirsk Mead Hall
131,Fire Spider Flame Trail
132,Ulves
133,Chance to paralyze the target for <dur> seconds.
134,Flame Spider Abilities
135,Ash Shell
137,Nchardak Aqueduct
138,Handle
139,Exploding Spider
141,Damaged Albino Spider Pod
142,Conjure Ash Guardian
144,Nchardak Great Chamber
146,Ash Shell
150,Black Book: Epistolary Acumen
151,A Mysterious Note
153,"Creates an Ash Guardian that guards that location until destroyed. Consumes a heart stone from your inventory, without which it will be hostile."
155,Creatures and people that this spider attaches to will fight for you for 30 seconds.
156,Tosses a dead spider on the ground which explodes when an enemy gets too close.
158,Drovas Relvi
159,DLC2Ralis
160,NPC Ward Absorb
161,Frea
162,Elynea Mothren
164,Imbuing Chamber
165,Neloth Services
167,Uses the nearby Cruxis point to flings the caster into the air.
169,Jumping Flame Spider
170,Ashen Grass Pod
171,Ash Rune
172,Storn
173,Albino Spider Pod
174,Storn Crag-Strider
175,NPC Necromage
176,Opponents in melee range have a chance to be flung away.
177,Whirlwind Cloak Damage
178,Neloth
179,Fury
181,Frenzy Rune
182,Tel Mithryn Kitchen
183,Ash Guardian Faction
184,Waterwalking
185,Drovas
186,Spell Tome: Frenzy Rune
189,Elynea
190,Frenzy Rune
191,Targets that fail to resist are immobilized in hardened ash for <dur> seconds.
192,Riekling Spear
194,NPC Mage Armor
195,Tel Mithryn Faction
202,Benkongerike
203,Talvas Fathryon
204,Glacial Cave
205,"For <dur> seconds, opponents in melee range have a chance of being flung away."
207,Creatures and people up to level <mag> will attack anything nearby for <dur> seconds.
208,Whirlwind Cloak Damage
209,Talvas Services
211,NPC Mage Armor
212,Zombie by Spider
215,NPC Summoner
216,Fling
217,Whirlwind Cloak
219,Staff Enchanting Mult
222,NPC Augmented Frost
223,Exploding Spider
224,Ash Guardian
225,Glacial Cave
227,NPCAugmented Shock
229,Paralyze 100%
234,NPC Recovery
235,Spell Tome: Whirlwind Cloak
237,Raise Zombie
238,Control Cube
239,Whirlwind Cloak
240,Mind Control Spider
241,Init quest
242,The Path of Knowledge
243,Talvas
244,NPC Mage Armor
245,Enchanter
246,Skyrim
247,Solstheim
249,"Cast on a nearby surface, it explodes when enemies are nearby, immobilizing them in hardened ash for <dur> seconds. "
250,Heart Stone
252,Thirsk Mead Hall
254,Spider Visuals Fire
255,Nchardak Workshop
258,Tel Mithryn Apothecary
259,Frea
260,Elynea Services
261,Black Book: Untold Legends
262,Tel Mithryn Steward's House
264,Riekling Spear
265,Spider Experiment Notes
267,Albino Spider
268,Staff Enchanter
269,Chest
270,Ildari Sarothril
271,Frenzy
272,Whirlwind Damage
273,Tel Mithryn
274,Exploding Poison Spider
275,Spiky Grass
276,Ralis
