Index,Text
1,Tel Mithryn
3,Citadelle de Marnecendre
4,Feu
5,Fort Molène
6,Tertre de Gyldenhul
7,Tombeau de Vahlok
8,Pierre de la Bête
9,Benkongerike
10,Fort Molène
11,Temple de Miraak
12,Maison de Hrodulf
13,Corberoc
14,Envoie au sol une araignée venimeuse sauteuse qui se jette sur les ennemis proches et explose après avoir atterri près d'eux.
15,Fort Molène
16,
17,Ruines du château Karstaag
18,Grottes du château Karstaag
19,Fahlbtharz
20,Kagrumez
21,Pierre de la Terre
22,Pierre de l'Eau
23,Géant
24,Araignée explosive
25,Maison de Hrodulf
26,Araignée venimeuse sauteuse
27,Nchardak
28,Île aux horqueurs
29,Apocrypha
30,Apocrypha
31,Tour de l'Apex
32,Refuge de Bujold
33,Tel Mithryn
34,Apocrypha
36,Tombeau de Vahlok
37,Tertre de Blanchecrête
39,Apocrypha
40,Mine de Corberoc
41,Temple de Miraak
42,Pierre de l'Eau
43,Benkongerike
44,Tertre de Kolbjorn
48,Autel de Thrond
49,Araignée de feu sauteuse
50,Apocrypha
52,Tertre de Kolbjorn
53,Pierre du Vent
54,Tertre de Blanchecrête
55,Éperon de Givrelune
56,Gîte abandonné
57,Pierre du Vent
58,Mine de la Défense brisée
59,Banc d'Haknir
60,Île aux horqueurs
61,Quai de la côte nord
62,Envoie au sol une araignée de feu sauteuse qui se jette sur les ennemis proches et explose après avoir atterri près d'eux.
63,Citadelle de Marnecendre
64,Épave de la Rafale stridente
65,Tertre des Skalsangue
66,Fahlbtharz
68,Rafale stridente
69,Tertre de Kolbjorn
70,Tertre de Blanchecrête
71,Vous savez ce que vous avez à faire.
72,Corberoc
73,Araignée de feu
74,Feu
75,Kagrumez
76,Poison arachnéen
77,Village skaal
78,Poison
79,Nchardak
80,Col de Moesring
81,Frossel
82,Bosquet de Brodir
83,Ruines du château Karstaag
84,Araignée imprégnée
85,Éperon de Givrelune
86,Village skaal
87,Autel de Thrond
88,Tertre de Gyldenhul
89,Bosquet de Brodir
90,Thirsk
91,
92,Rôdeur
93,Kagrumez
94,Frossel
95,Entrave de feu
96,Tertre de Gyldenhul
97,Pierre du Soleil
99,Entrave de poison
100,Frossel
101,Temple de Miraak
102,Refuge de Bujold
103,Mine de Corberoc
104,Araignée de feu sauteuse
105,Pierre de la Terre
106,Salle des banquets de Thirsk
107,Col de Moesring
108,Araignée venimeuse sauteuse
109,Apocrypha
110,Apocrypha
111,Feu
112,Givrépeire
113,Tombeau de Vahlok
114,Banc d'Haknir
115,Pierre de la Bête
116,Fahlbtharz
117,Solstheim
118,Mine de la Défense brisée
119,Pierre du Soleil
120,Quai de la côte nord
123,Zombie by Spider
124,Araignée enflammée
125,Solstheim
127,Socle de commande
128,Salle des banquets de Thirsk
131,Traînée de flammes d'araignée de feu
132,Ulves
133,Chance de paralyser la cible pendant <dur> secondes.
134,Talents d'araignée de feu
135,Carapace de cendres
137,Aqueduc de Nchardak
138,Poignée
139,Araignée explosive
141,Abdomen d'araignée albinos endommagé
142,Conjuration de Gardien des cendres
144,Grande salle de Nchardak
146,Carapace de cendres
150,Livre noir - Réflexions épistolaires
151,Note mystérieuse
153,"Crée un Gardien des cendres qui défend les lieux jusqu'à ce qu'il soit vaincu. Requiert un coeur de pierre de votre inventaire, sans quoi le gardien vous serait hostile."
155,Les créatures et personnages auxquels cette araignée s'accroche se battent à vos côtés pendant 30 secondes.
156,Envoie au sol une araignée morte qui explose quand un ennemi s'approche de trop près.
158,Drovas Relvi
159,DLC2Ralis
160,Absorption de protection PNJ
161,Fréa
162,Elynea Mothren
164,Chambre d'imprégnation
165,Neloth Services
167,Utilise le point Cruxis proche pour propulser le lanceur dans les airs.
169,Araignée de feu sauteuse
170,Cosse cendrée
171,Rune de cendres
172,Storn
173,Abdomen d'araignée albinos
174,Storn Marche-Roc
175,Nécromage PNJ
176,Chance de projeter les adversaires au corps à corps dans les airs.
177,Dégâts d'Aura d'impulsivité
178,Neloth
179,Furie
181,Rune de frénésie
182,Cuisine de Tel Mithryn
183,Ash Guardian Faction
184,Marche sur l'eau
185,Drovas
186,Livre de sort - Rune de frénésie
189,Elynea
190,Rune de frénésie
191,Les cibles vulnérables sont immobilisées dans de la cendre solidifiée pendant <dur> secondes.
192,Lance de riekelin
194,Armure de mage PNJ
195,Tel Mithryn Faction
202,Benkongerike
203,Talvas Fathryon
204,Grotte de glace
205,"Pendant <dur> secondes, chance de projeter les adversaires au corps à corps dans les airs."
207,Les créatures et les personnages de niveau <mag> et inférieur attaquent tout le monde aux alentours pendant <dur> secondes.
208,Dégâts d'Aura d'impulsivité
209,Talvas Services
211,Armure de mage PNJ
212,Zombie by Spider
215,Invocateur PNJ
216,Propulsion
217,Aura d'impulsivité
219,Staff Enchanting Mult
222,Gel pénétrant PNJ
223,Araignée explosive
224,Gardien des cendres
225,Grotte de glace
227,Foudre déchaînée PNJ
229,Paralysie totale
234,Regain PNJ
235,Livre de sort - Aura d'impulsivité
237,Allié d'outre-tombe
238,Cube de commande
239,Aura d'impulsivité
240,Araignée télépathe
241,Init quest
242,La voie de la connaissance
243,Talvas
244,Armure de mage PNJ
245,Enchanteur
246,Bordeciel
247,Solstheim
249,"Lancée sur une surface proche, explose à proximité de l'ennemi et l'immobilise dans la cendre durcie pendant <dur> secondes. "
250,Coeur de pierre
252,Salle des banquets de Thirsk
254,Spider Visuals Fire
255,Atelier de Nchardak
258,Apothicaire de Tel Mithryn
259,Fréa
260,Elynea Services
261,Livre noir - Les légendes inconnues
262,Maison de l'intendant de Tel Mithryn
264,Lance de riekelin
265,Rapport d'expériences sur les araignées
267,Araignée albinos
268,Enchanteur de bâton
269,Coffre
270,Ildari Sarothril
271,Frénésie
272,Dégâts d'impulsivité
273,Tel Mithryn
274,Araignée venimeuse explosive
275,Herbe épineuse
276,Ralis
277,Une violente explosion inflige <mag> points de dégâts dans un rayon de 5 mètres. Les cibles qui s'enflamment subissent des dégâts supplémentaires.
278,Feralgide
279,Récolter
283,Coffre
284,Interrupteur d'imprégnation
285,Livre de sort - Carapace de cendres
286,Apocrypha
287,Herbe épineuse
289,Regain PNJ
290,Ralis Sedarys
291,Livre de sort - Rune de cendres
292,Note mystérieuse
293,Aura d'impulsivité
295,Note mystérieuse
296,Exploding Spider Faction
298,Araignée albinos
299,Propulsion
301,Aura d'impulsivité
302,Racine de trama
303,Livre noir - Rêveries
304,Varona
305,Coffre à cubes
307,Varona Nelas
308,Les cibles vulnérables de niveau <20> et inférieur deviennent frénétiques pendant <30> secondes.
310,Exploding Spider Faction
311,Les créatures et les personnages attaquent les ennemis proches pendant 10 secondes.
312,Rune de cendres
313,Coffre
314,Racine de trama
315,Ulves Romoran
316,Carapace de cendres
317,Aphia Velothi
319,Krosulhah
320,Manoir Séverin
321,Tertre de Hrothmund
323,Tour de l'Apex
324,Gol
325,H4
326,Veleth
329,Varona est allée faire une course à Corberoc.
331,Raven Rock Ebony Anvil Faction
334,Vous connaissez quelqu'un susceptible d'accepter ?
337,Clé de la Ferme Ienth
339,Milore
341,Ferme Ienth
342,Capitaine Veleth
343,Tilisu
344,Clé de la maison de Glover Mallory
345,Tilisu Séverin
348,Corberoc
349,Clé du Netch éméché
350,Le journal de Ralis Sedarys - Vol. 20
351,Tame Dragon controller
352,Raven Rock Severin Manor Faction
353,Vendil & Tilisu Shared Faction
354,Clé du temple de Corberoc
355,Récolter
359,Asservissement
360,Terre
361,Âme
362,Tertre de Hrothmund
363,Glover Mallory
