Index,Text
1,Tel Mithryn
3,Aschenbrachenzitadelle
4,Feuer
5,Festung Frostmotte
6,Gyldenhulhügelgrab
7,Vahloks Grab
8,Tierstein
9,Benkongerike
10,Festung Frostmotte
11,Tempel von Miraak
12,Hrodulfs Haus
13,Rabenfels
14,"Wirft eine hüpfende Giftspinne auf den Boden, die in Richtung benachbarter Gegner springt und explodiert, wenn sie in ihrer Nähe landet."
15,Festung Frostmotte
16,
17,Burg Karstaag: Ruinen
18,Burg Karstaag: Kavernen
19,Fahlbtharz
20,Kagrumez
21,Erdstein
22,Wasserstein
23,Riese
24,Hüpfende Giftspinne
25,Hrodulfs Haus
26,Hüpfende Giftspinne
27,Nchardak
28,Horkerinsel
29,Apocrypha
30,Apocrypha
31,Gipfelturm
32,Bujolds Zuflucht
33,Tel Mithryn
34,Apocrypha
36,Vahloks Grab
37,Weißkammhügelgrab
39,Apocrypha
40,Rabenfels: Mine
41,Tempel von Miraak
42,Wasserstein
43,Benkongerike
44,Kolbjornhügelgrab
48,Altar von Thrond
49,Hüpfende Flammenspinne
50,Apocrypha
52,Kolbjornhügelgrab
53,Windstein
54,Weißkammhügelgrab
55,Frostmondschlucht
56,Verlassene Hütte
57,Windstein
58,Mine Zerbrochener Hauer
59,Haknirs Untiefe
60,Horkerinsel
61,Nordküstenanlegestelle
62,"Wirft eine hüpfende Flammenspinne auf den Boden, die in Richtung benachbarter Gegner springt und explodiert, wenn sie in ihrer Nähe landet."
63,Aschenbrachenzitadelle
64,Wrack der Schnellen Sturmböe
65,Blutskaldenhügelgrab
66,Fahlbtharz
68,Schnelle Sturmböe
69,Kolbjornhügelgrab
70,Weißkammhügelgrab
71,"Ihr wisst, was Ihr tun müsst."
72,Rabenfels
73,Flammenspinne
74,Feuer
75,Kagrumez
76,Spinnengift
77,Skaal-Dorf
78,Gift
79,Nchardak
80,Moesringpass
81,Frossel
82,Brodirhain
83,Burg Karstaag: Ruinen
84,Explodierende Flammenspinne
85,Frostmondschlucht
86,Skaal-Dorf
87,Altar von Thrond
88,Gyldenhulhügelgrab
89,Brodirhain
90,Thirsk
91,
92,Schleicher
93,Kagrumez
94,Frossel
95,Feuergefahr
96,Gyldenhulhügelgrab
97,Sonnenstein
99,Giftgefahr
100,Frossel
101,Tempel von Miraak
102,Bujolds Zuflucht
103,Rabenfels: Mine
104,Hüpfende Flammenspinne
105,Erdstein
106,Methalle von Thirsk
107,Moesringpass
108,Hüpfende Giftspinne
109,Apocrypha
110,Apocrypha
111,Feuer
112,Frostbissspinne
113,Vahloks Grab
114,Haknirs Untiefe
115,Tierstein
116,Fahlbtharz
117,Solstheim
118,Mine Zerbrochener Hauer
119,Sonnenstein
120,Nordküstenanlegestelle
123,Zombie by Spider
124,Flammenumhüllte Spinne
125,Solstheim
127,Kontrollsockel
128,Methalle von Thirsk
131,Feuerspinnenflammenschweif
132,Ulves
133,Kann das Ziel für <dur> Sekunden lähmen.
134,Flammenspinnenfähigkeiten
135,Aschenhülle
