Index,Text
1,テル・ミスリン
3,アッシュファロー要塞
4,炎
5,フロストモス砦
6,ギルデンホル墓地
7,ヴァーロックの墓
8,獣の岩
9,ベンコンジェリケ
10,フロストモス砦
11,ミラーク聖堂
12,フロドルフの家
13,レイヴン・ロック
14,近くの敵に向かって飛び、その近くに着地すると爆発するジャンピングポイズンスパイダーを地面に放り投げる。
15,フロストモス砦
16,　
17,カースターグ城の廃墟
18,カースターグ城の洞窟
19,ファールブサーツ
20,カグルメス
21,大地の岩
22,水の岩
23,巨人
24,エクスプローディング・スパイダー
25,フロドルフの家
26,ジャンピングポイズナススパイダー
27,チャルダック
28,ホーカー島
29,アポクリファ
30,アポクリファ
31,ハイポイント塔
32,ブジョルドの避難所
33,テル・ミスリン
34,アポクリファ
36,ヴァーロックの墓
37,ホワイトリッジの墓場
39,アポクリファ
40,レイヴン・ロック鉱山
41,ミラーク聖堂
42,水の岩
43,ベンコンジェリケ
44,コルビョルン墓地
48,スロンド祭壇
49,ジャンピング・フレイムスパイダー
50,アポクリファ
52,コルビョルン墓地
53,風の岩
54,ホワイトリッジの墓場
55,フロストムーンの断崖
56,廃屋
57,風の岩
58,ブロークンタスク鉱山
59,ハクニールの浅瀬
60,ホーカー島
61,北岸上陸地点
62,近くの敵に向かって飛び、その近くに着地すると爆発するジャンピング・フレイムスパイダーを地面に放り投げる。
63,アッシュファロー要塞
64,難破したストライデント・スコール号
65,ブラッドスカル墓地
66,ファールブサーツ
68,ストライデント・スコール号
69,コルビョルン墓地
70,ホワイトリッジの墓場
71,自分がやるべき事は分かっているだろう
72,レイヴン・ロック
73,フレイムスパイダー
74,炎
75,カグルメス
76,スパイダーの毒
77,スコール村
78,毒
79,チャルダック
80,モースリング峠
81,フロッセル
82,ブロディアの森
83,カースターグ城の廃墟
84,浸透したスパイダー
85,フロストムーンの断崖
86,スコール村
87,スロンド祭壇
88,ギルデンホル墓地
89,ブロディアの森
90,シルスク
91,　
92,ルーカー
93,カグルメス
94,フロッセル
95,炎ハザード
96,ギルデンホル墓地
97,太陽の岩
99,毒ハザード
100,フロッセル
101,ミラーク聖堂
102,ブジョルドの避難所
103,レイヴン・ロック鉱山
104,ジャンピング・フレイムスパイダー
105,大地の岩
106,シルスク広間
107,モースリング峠
108,ジャンピングポイズンスパイダー
109,アポクリファ
110,アポクリファ
111,炎
112,フロストバイト・スパイダー
113,ヴァーロックの墓
114,ハクニールの浅瀬
115,獣の岩
116,ファールブサーツ
117,ソルスセイム
118,ブロークンタスク鉱山
119,太陽の岩
120,北岸上陸地点
123,スパイダーによるゾンビ
124,フレイム・クローク・スパイダー
125,ソルスセイム
127,水位制御台座
128,シルスク広間
131,ファイアスパイダーの炎の痕
132,ウルヴス
133,<dur> 秒間麻痺させることがある。
134,フレイムスパイダーの能力
135,灰の殻
137,チャルダック水道
138,ハンドル
139,エクスプローディング・スパイダー
141,白スパイダーの傷んだ卵のう
142,アッシュ・ガーディアン召喚
144,チャルダックの大広間
146,灰の殻
150,黒の書: 手紙の書き方に関する見識
151,奇妙なメモ
153,アッシュ・ガーディアンを出現させ、破壊されるまでその場所を守らせる。所持品からハートストーンを消費する。ハートストーンがなければ敵対する。
155,このスパイダーが付いた生物や人を、30秒間自分のために戦わせる。
156,敵が近づくと爆発する、動かないスパイダーを地面に放り投げる。
158,ドロヴァス・レルヴィ
159,DLC2Ralis
