Index,Text
1,Tel Mithryn
3,Popielna Cytadela
4,Ogień
5,Fort Nocnego Mrozu
6,Kurhan Gyldenhul
7,Kurhan Vahloka
8,Kamień Bestii
9,Benkongerike
10,Fort Nocnego Mrozu
11,Świątynia Miraaka
12,Dom Hrodulfa
13,Krucza Skała
14,"Na ziemi pojawia się skaczący lodowy pająk, który rzuci się na wrogów, po czym wybuchnie."
15,Fort Nocnego Mrozu
16,
17,Ruiny zamku Karstaag
18,Jaskinie Zamku Karstaag
19,Fahlbtharz
20,Kagrumez
21,Kamień Ziemi
22,Kamień Wody
23,Olbrzym
24,Wybuchający Pająk
25,Dom Hrodulfa
26,Skaczący jadowity pająk
27,Nchardak
28,Wyspa Horkerów
29,Apokryf
30,Apokryf
31,Wysoka Wieża
32,Kryjówka Bujold
33,Tel Mithryn
34,Apokryf
36,Grobowiec Vahloka
37,Kurhan na Białym Grzbiecie
39,Apokryf
40,Kopalnia Krucza Skała
41,Świątynia Miraaka
42,Kamień Wody
43,Benkongerike
44,Kurhan Kolbjorn
48,Ołtarz Thronda
49,Skaczący ognisty pająk
50,Apokryf
52,Kurhan Kolbjorn
53,Kamień Wiatru
54,Kurhan na Białym Grzbiecie
55,Grań Mroźnego Księżyca
56,Opuszczona chata
57,Kamień Wiatru
58,Kopalnia Złamany Kieł
59,Mielizna Haknira
60,Wyspa Horkerów
61,Przystań Północnego Brzegu
62,"Na ziemi pojawia się skaczący ognisty pająk, który rzuci się na wrogów, po czym wybuchnie."
63,Popielna Cytadela
64,Wrak Ostrego Szkwału
65,Kurhan Krwiopuszcza
66,Fahlbtharz
68,Ostry Szkwał
69,Kurhan Kolbjorn
70,Kurhan na Białym Grzbiecie
71,"Wiesz, co musisz zrobić."
72,Krucza Skała
73,Ognisty Pająk
74,Ogień
75,Kagrumez
76,Pajęcza Trucizna
77,Wioska Skaalów
78,Trucizna
79,Nchardak
80,Przełęcz Moesrin
81,Frossel
82,Zagajnik Brodira
83,Ruiny zamku Karstaag
84,Zaklęty pająk
85,Grań Mroźnego Księżyca
86,Wioska Skaalów
87,Ołtarz Thronda
88,Kurhan Gyldenhul
89,Zagajnik Brodira
90,Thirsk
91,
92,Czyhacz
93,Kagrumez
94,Frossel
95,Zagrożenie Ogniem
96,Kurhan Gyldenhul
97,Kamień Słońca
99,Zagrożenie Trucizną
100,Frossel
101,Świątynia Miraaka
102,Kryjówka Bujold
103,Kopalnia Krucza Skała
104,Skaczący ognisty pająk
105,Kamień Ziemi
106,Sala biesiadna Thirsk
107,Przełęcz Moesrin
108,Skaczący jadowity pająk
109,Apokryf
110,Apokryf
111,Ogień
112,Lodowy pająk
113,Grobowiec Vahloka
114,Mielizna Haknira
115,Kamień Bestii
116,Fahlbtharz
117,Solstheim
118,Kopalnia Złamany Kieł
119,Kamień Słońca
120,Przystań Północnego Brzegu
123,Pająk Zmieniający w Zombie
124,Ukryty ognisty pająk
125,Solstheim
127,Cokół
128,Sala biesiadna Thirsk
131,Płomienny Ślad Ognistego Pająka
132,Ulves
133,Szansa na sparaliżowanie celu na <dur> s.
134,Zdolności Ognistego pająka
135,Popielna Skorupa
137,Akwedukt w Nchardak
138,Uchwyt
139,Wybuchający Pająk
141,Uszkodzony kokon pająka albinosa
142,Przywołanie strażnika popiołów
144,Wielka komnata w Nchardak
146,Popielna Skorupa
150,Czarna księga: Przenikliwość epistolarna
151,Tajemniczy liścik
153,"Tworzy strażnika popiołów, który strzeże wyznaczonego miejsca aż do śmierci. Zużywa jeden sercowy kamień z twojego ekwipunku, bez którego strażnik będzie wrogo nastawiony."
155,"Istoty i ludzie, do których pająk się przyczepi, będą walczyć dla ciebie przez 30 s."
156,"Na ziemi pojawia się martwy pająk, który wybuchnie, gdy zbliżą się do niego wrogowie."
158,Drovas Relvi
159,DLC2Ralis
160,Wchłanianie czaru ochronnego postaci niezależnej
161,Frea
162,Elynea Mothren
164,Komora nasycenia
165,Usługi - Neloth
167,"Używa pobliskich kluczowych punktów, by wyrzucić czarodzieja w powietrze."
