Index,Text
1,Tel Mithryn
3,Ciudadela de Ceniza Abandonada
4,Fuego
5,Fuerte Polilla Helada
6,Túmulo de Gyldenhul
7,Tumba de Vahlok
8,Piedra de la bestia
9,Benkongerike
10,Fuerte Polilla Helada
11,Templo de Miraak
12,Casa de Hrodulf
13,Roca del Cuervo
14,Arroja al suelo una araña ponzoñosa saltarina que se abalanza sobre los enemigos cercanos y explota si cae cerca de ellos.
15,Fuerte Polilla Helada
16,
17,Ruinas del castillo Karstaag
18,Cavernas del castillo Karstaag
19,Fahlbtharz
20,Kagrumez
21,Piedra terrestre
22,Piedra del agua
23,Gigante
24,Araña explosiva
25,Casa de Hrodulf
26,Araña ponzoñosa saltarina
27,Nchardak
28,Isla de los horker
29,Apocrypha
30,Apocrypha
31,Torre de la Cúspide
32,Refugio de Bujold
33,Tel Mithryn
34,Apocrypha
36,Tumba de Vahlok
37,Túmulo de Risco Blanco
39,Apocrypha
40,Mina de Roca del Cuervo
41,Templo de Miraak
42,Piedra del agua
43,Benkongerike
44,Túmulo de Kolbjorn
48,Altar de Thrond
49,Araña flamígera saltarina
50,Apocrypha
52,Túmulo de Kolbjorn
53,Piedra ventosa
54,Túmulo de Risco Blanco
55,Risco de la Luna Helada
56,Cabaña abandonada
57,Piedra ventosa
58,Mina de Colmillo Roto
59,Bajío de Haknir
60,Isla de los horker
61,Riba Norte
62,Arroja al suelo una araña flamígera saltarina que se abalanza sobre los enemigos cercanos y explota si cae cerca de ellos.
63,Ciudadela de Ceniza Abandonada
64,Pecio de la Borrasca Estridente
65,Túmulo de Sangreskal
66,Fahlbtharz
68,La Borrasca Estridente
69,Túmulo de Kolbjorn
70,Túmulo de Risco Blanco
71,Ya sabes lo que tienes que hacer.
72,Roca del Cuervo
73,Araña flamígera
74,Fuego
75,Kagrumez
76,Veneno de araña
77,Aldea Skaal
78,Veneno
79,Nchardak
80,Paso de Moesring
81,Frossel
82,Arboleda de Brodir
83,Ruinas del castillo Karstaag
84,Araña imbuida
85,Risco de la Luna Helada
86,Aldea Skaal
87,Altar de Thrond
88,Túmulo de Gyldenhul
89,Arboleda de Brodir
90,Thirsk
91,
92,Acechador
93,Kagrumez
94,Frossel
95,Riesgo de fuego
96,Túmulo de Gyldenhul
97,Piedra del sol
99,Riesgo de veneno
100,Frossel
101,Templo de Miraak
102,Refugio de Bujold
103,Mina de Roca del Cuervo
104,Araña flamígera saltarina
105,Piedra terrestre
106,Salón del aguamiel de Thirsk
107,Paso de Moesring
108,Araña ponzoñosa saltarina
109,Apocrypha
110,Apocrypha
111,Fuego
112,Araña congeladora
113,Tumba de Vahlok
114,Bajío de Haknir
115,Piedra de la bestia
116,Fahlbtharz
117,Solstheim
118,Mina de Colmillo Roto
119,Piedra del sol
120,Riba Norte
123,Araña zombificadora
124,Araña flamígera oculta
125,Solstheim
127,Pedestal de control
128,Salón del aguamiel de Thirsk
131,Rastro de llamas de araña flamígera
132,Ulves
133,Posibilidad de paralizar al objetivo durante <dur> segundos.
134,Aptitudes de araña flamígera
135,Caparazón de cenizas
137,Acueducto de Nchardak
138,Tirador
139,Araña explosiva
141,Abdomen dañado de araña albina
142,Conjurar guardián de ceniza
144,Gran cámara de Nchardak
146,Caparazón de cenizas
150,Libro negro: Espíritu epistolario
151,Una nota misteriosa
153,"Crea un guardián de ceniza que protege un lugar hasta ser destruido. Consume un corazón de piedra de tu inventario; sin él, reaccionará de forma hostil."
155,Las criaturas y personas a las que se adhiera esta araña lucharán para ti durante 30 segundos.
156,Arroja al suelo una araña muerta que explota cuando un enemigo se acerca demasiado.
158,Drovas Relvi
159,DLC2 Ralis
160,Absorción de custodia de PNJ
161,Frea
162,Elynea Mothren
164,Cámara de imbuir
165,Servicios de Neloth
167,Utiliza el punto de Cruxis cercano para arrojar por los aires al usuario.
169,Araña flamígera saltarina
170,Semilla de hierba cenicienta
171,Runa de ceniza
172,Storn
173,Abdomen de araña albina
174,Storn Paso Montés
175,Necromago PNJ
176,Los adversarios que estén al alcance de cuerpo a cuerpo tienen una posibilidad de salir despedidos por los aires.
177,Daño de capa del torbellino
178,Neloth
179,Furia
181,Runa de frenesí
182,Cocina de Tel Mithryn
183,Facción de los guardianes de ceniza
184,Caminar sobre las aguas
185,Drovas
186,Grimorio: runa de frenesí
189,Elynea
190,Runa de frenesí
191,Los objetivos que no consigan resistir quedarán inmovilizados en ceniza endurecida durante <dur> segundos.
192,Lanza de riekling
194,Armadura de PNJ mago
195,Facción de Tel Mithryn
202,Benkongerike
203,Talvas Fathryon
204,Cueva glacial
205,"Durante <dur> segundos, los adversarios que estén al alcance de cuerpo a cuerpo tienen una posibilidad de salir despedidos por los aires."
207,Las criaturas y las personas de hasta nivel <mag> atacarán cualquier cosa que esté cerca durante <dur> segundos.
208,Daño de capa del torbellino
209,Servicios de Talvas
211,Armadura de PNJ mago
212,Araña zombificadora
215,Invocador PNJ
216,Arrojar por los aires
217,Capa del torbellino
219,Encantamiento múltiple de bastones
222,Escarcha aumentada de PNJ
223,Araña explosiva
224,Guardián de ceniza
225,Cueva glacial
227,Descarga aumentada de PNJ
229,Paralizar 100%
234,Recuperación de PNJ
235,Grimorio: capa del torbellino
237,Alzar zombi
238,Cubo de control
239,Capa del torbellino
240,Araña de control mental
241,Misión inicial
242,La senda del conocimiento
243,Talvas
244,Armadura de PNJ mago
245,Encantador
246,Skyrim
247,Solstheim
249,"Si se lanza en una superficie cercana, explota cuando los enemigos están cerca y los inmoviliza con ceniza endurecida durante <dur> segundos. "
250,Corazón de piedra
252,Salón del aguamiel de Thirsk
254,Efectos visuales de araña: fuego
255,Taller de Nchardak
258,Botica de Tel Mithryn
259,Frea
260,Servicios de Elynea
261,Libro negro: Leyendas no contadas
262,Casa del administrador de Tel Mithryn
264,Lanza de riekling
265,Notas sobre experimentos con arañas
267,Araña albina
268,Encantador de bastones
269,Cofre
270,Ildari Sarothril
271,Frenesí
272,Daño del torbellino
273,Tel Mithryn
274,Araña ponzoñosa explosiva
275,Hierba espigada
276,Ralis
277,Una feroz explosión que inflige <mag> puntos de daño en un radio de 5 metros. Los objetivos ardiendo reciben daño adicional.
278,Escarcha
279,Recoger
283,Cofre
284,Interruptor para imbuir
285,Grimorio: caparazón de cenizas
286,Apocrypha
287,Hierba espigada
289,Recuperación de PNJ
290,Ralis Sedarys
291,Grimorio: runa de ceniza
292,Una nota misteriosa
293,Capa del torbellino
295,Una nota misteriosa
296,Facción de las arañas explosivas
298,Araña albina
299,Arrojar por los aires
301,Capa del torbellino
302,Raíz de trama
303,Libro negro: Sueños en vigilia
304,Varona
305,Cofre para guardar cubos
307,Varona Nelas
308,Los objetivos de nivel <20> o inferior que no consigan resistir entran en frenesí durante <30> segundos.
310,Facción de las arañas explosivas
311,Las criaturas y la gente atacarán a los enemigos cercanos durante 10 segundos.
312,Runa de ceniza
313,Cofre
314,Raíz de trama
315,Ulves Romoran
316,Caparazón de cenizas
317,Aphia Velothi
319,Krosulhah
320,Mansión Severin
321,Túmulo de Hrothmund
323,Torre de la Cúspide
324,Gol
325,H4
326,Veleth
