Index,Text
2,Retirer tous les meubles de l'entrée et redessinez-la pour qu'elle s'accorde à la pièce principale.
5,"Serre, toit"
6,Pièce principale B
7,Remanier l'entrée - A
14,"Cuisine, portes"
15,Cornes de chèvre
18,"Pièce principale, porte"
21,Soupe de pommes de terre
22,Ajout - aile est - cuisine
24,"Laboratoire d'alchimie, sol"
25,"Pièce principale, fondations"
28,Carrière de pierre
29,"Tour de l'enchanteur, toit"
30,Mine
32,"Pièce principale, fondations"
40,"Salle des trophées, portes"
46,"Tour de l'enchanteur, sol"
47,Ajout - aile ouest - serre
50,Chausson aux pommes
51,"Réserve, supports muraux"
52,Plan de petite maison
53,"Pièce principale, structure murale"
56,"Laboratoire d'alchimie, murs de l'étage"
58,Ajout - aile nord - salle des trophées
59,Manoir du lac
62,"Laboratoire d'alchimie, portes"
66,Remaniez la maison à la façon de l'entrée
68,"Pièce principale, murs du rez-de-chaussée"
69,Coffre
72,"Chambres, supports muraux"
78,"Pièce principale, murs de l'étage"
79,Dummy Object
80,Manoir du lac
81,Manoir du lac
88,De quoi avez-vous besoin ?
95,Je n'ai pas trop d'argent en ce moment. (<Global=BYOHHPCost> or)
96,Beurre
97,"Pièce principale, murs du rez-de-chaussée"
104,Ajout - aile nord - laboratoire d'alchimie
106,Wait for me at home...
108,Ajout - aile est - bibliothèque
111,"Salle des trophées, sol"
112,Chariot. (<Global=BYOHHPCostCarriage> pièces d'or)
114,Entrée - retirer l'établi
119,Il faut que j'y réfléchisse.
120,Pièce principale - style C
121,Ajout - aile ouest - tour de l'enchanteur
122,Ajout - aile ouest - tour de l'enchanteur
125,"Réserve, fondations"
126,"Pièce principale, porte"
127,"Salle des trophées, toit"
130,"Serre, foyer"
133,"Pièce principale, murs de l'étage"
134,Argile
135,"Serre, fondations"
136,Pierre extraite
137,"Chambres, toit"
140,Ajout - aile nord - laboratoire d'alchimie
142,Vache. (<Global=BYOHHPCostCow> pièces d'or)
144,Plan de la pièce principale C
148,Pièce principale - retirer les établis
149,Visitez votre nouvelle propriété à la châtellerie de <Alias=Hold>
150,Je prendrai <Global=BYOHHPAmountLogs> bûches (<Global=BYOHHPCostLogs> pièces d'or).
151,Oeufs de saumon
152,"Serre, sol"
154,Ajout - aile nord - salle des trophées
157,"Maison, structure du toit"
165,Pain aux pommes de terre
168,Plan de petite maison
170,"Maison, structure murale"
171,Ajout - aile nord - réserve
176,Établi du charpentier
177,Je prends. (<Global=BYOHHPCost> pièces d'or)
178,"Pièce principale, structure du toit"
183,Ajout - aile ouest - chambres
184,Vin des frères Surilie
185,Tronc scié
188,Laissez tomber.
191,"Pièce principale, structure murale"
194,Établi du charpentier
195,"Pièce principale, sol"
197,Dummy Object
200,Ajout - aile ouest - serre
202,Ajout - aile nord - réserve
204,"Pièce principale, supports de l'étage"
213,Pattes de vasard
214,"Laboratoire d'alchimie, supports de l'étage"
220,Foyer
221,"Pièce principale, supports de l'étage"
222,Pièce principale - pierre
225,"Pièce principale, fondations"
226,"Pièce principale, toit"
229,Ajout - aile nord - laboratoire d'alchimie
231,Filet de saumon
232,"Laboratoire d'alchimie, toit"
233,Pièce principale C
240,Ajout - aile est - armurerie
241,Est-ce que je peux couper le bois moi-même ?
247,Ajout - aile nord - réserve
250,Ajout - aile ouest - chambres
251,Lit simple
252,Je voudrais acheter du bois.
255,"Pièce principale, structure du toit"
258,"Tour de l'enchanteur, murs du rez-de-chaussée"
263,Est-ce que le terrain dont vous avez parlé est toujours disponible ?
267,"Réserve, toit"
268,Ajout - aile ouest - chambres
273,J'ai reçu votre lettre à propos du terrain à vendre. L'est-il encore ?
278,"Réserve, sol"
279,Je voudrais acheter une maison.
282,Chaise
284,Clous
285,Serrure
288,Pièce principale A
290, Établi
291,Ce serait un honneur pour moi de vous avoir comme chambellan.
292,Ajout - aile ouest - serre
295,"Tour de l'enchanteur, murs de l'étage"
297,Je voudrais que vous amélioriez la maison.
298,"Pièce principale, murs de l'étage"
300,Tarte au jazbay
307,Un grand ajout dans le style de Faillaise.
309,Manoir du lac
310,"Serre, structure du toit"
311,Plan de petite maison
312,"Salle des trophées, fondations"
313,"Maison, toit"
315,Chaise
325,"Laboratoire d'alchimie, murs du rez-de-chaussée"
331,Plan de la pièce principale A
336,Pattes de vasard à la vapeur
339,Vin de sang argonien
340,Sac de farine
341,Mine
343,Tarte aux givreboises
344,Soupe aux palourdes
345,"Tour de l'enchanteur, portes"
346,Ajout - aile est - bibliothèque
347,"Salle des trophées, supports muraux"
351,Pièce principale
354,"Salle des trophées, murs"
356,"Pièce principale, sol"
357,"Réserve, portes"
358,"Tour de l'enchanteur, fondations"
362,"Serre, portes"
369,Un grand ajout dans le style de Blancherive.
371,"Bibliothèque, portes"
374,Dummy Object
380,"Chambres, sol"
381,"Armurerie, portes"
383,"Tour de l'enchanteur, supports de l'étage"
384,Dummy Object
385,Il me faut un chambellan pour ma maison. Ça vous intéresse ?
386,"Maison, murs"
387,Four
389, Établi
391,"Pièce principale, structure du toit"
394,Remanier l'entrée - A
397,"Pièce principale, sol"
398,Lettre du chambellan de <Alias=HoldCity>
400,"Maison, fondations"
402,Pièce principale - établis
403,Ajout - aile est - cuisine
404,"Chambres, portes"
409,Ajout - aile ouest - tour de l'enchanteur
411,"Serre, murs"
413,Ajout - aile est - bibliothèque
416,Un grand ajout dans le style de Solitude.
419,Tarte aux genièvres
422,Dummy Object
423,"Pièce principale, porte"
425,"Salle des trophées, structure du toit"
428,Plan de la pièce principale B
429,Une maison à une pièce bien rangée
430,"Tour de l'enchanteur, supports principaux"
431,"Laboratoire d'alchimie, supports principaux"
432,Ajout - aile nord - salle des trophées
433,"Serre, supports muraux"
437,Pot de lait
438,Ajout - aile est - cuisine
441,Entrée - établi
444,"Maison, porte"
445,"Pièce principale, murs du rez-de-chaussée"
446,Gunjar
447,Maison - établi
448,Gond
449,Ajout - aile est - armurerie
450,"Pièce principale, toit"
452,"Maison, sol"
453,Il faut que j'y réfléchisse.
454,"Réserve, murs"
456,"Pièce principale, structure murale"
460,Gisement d'argile
464,"Chambres, fondations"
465,Lit simple
466,"Pièce principale, supports de l'étage"
467,"Pièce principale, toit"
468,Maison - retirer l'établi
470,Ajout - aile est - armurerie
473,"Laboratoire d'alchimie, fondations"
474,Accessoires en acier
475,"Chambres, murs"
482,Râteliers d'armes (3)
494,Blé
497,Établi du charpentier
505,Robe de fille grise
512,Bien sûr. C'est ce que j'ai dit.
515,Armurerie. (<Global=BYOHHPCostArmory> pièces d'or)
516,Établi du charpentier
518,Vitrine sur table basse
519,Rayya
534,Vitrine et petite armoire
535,Ajout - aile nord - réserve
537,Petite étagère
538,Vitrine sur table basse
540,"Laboratoire d'alchimie, murs du rez-de-chaussée"
541,Utilisez la table de dessin pour commencer à construire votre maison
543,"Armurerie, sol"
544,Hydromel nordique (5)
547,Meule
570,Placard
574,Pied de lampe
578,Chambres - établi
580,Bien sûr. C'est ce que j'ai dit.
582,Non. Arrête de me harceler.
583,Établi du charpentier
590,Autel de Talos
591,Étagère d'angle
597,Établi pièce 2
598,Cave
604,Guéridon
607,Qu'est-ce qui presse ?
614,Vitrine
620,"Il est temps de rentrer à la maison, <Alias.ShortName=Child1>."
624,"Laboratoire d'alchimie, portes"
628,"Bibliothèque, supports de l'étage"
637,Plan de la pièce 7
645,Établi pièce 1 désactiver
655,Salle des trophées - établi
659,Oeuf du faucon
667,Bougeoir mural
668,Tête de horqueur sur socle
680,"Chambres, fondations"
687,Adopté(e)
691,Comment va <Alias.ShortName=Child1> ?
693,"Bibliothèque, sol"
695,Petit cache-pot avec placard
696,"Serre, supports muraux"
697,Bibliothèque
698,Vêtements d'enfant
711,Truffe de Namira
713,Placez un établi dans votre maison pour fabriquer des meubles.
717,Guéridon
726,Bougeoirs muraux (2)
728,Établi pièce 1B
730,Guéridons (2)
731,Cuisine - retirer l'établi
732,Grande bibliothèque
