Index,Text
2,"Entferne die Einrichtungsgegenstände im Eingangsbereich und gestalte ihn so um, dass er zum Hauptraum passt."
5,Gewächshaus: Dach
6,Hauptraum B
7,Eingangsbereich umgestalten - A
14,Küche: Türen
15,Ziegenhorn
18,Hauptraum: Tür
21,Kartoffelsuppe
22,Erweiterung - Ostflügel - Küche
24,Alchemielabor: Fußboden
25,Hauptraum: Fundament
28,Steinbruch
29,Verzaubererturm: Decke
30,Mine
32,Hauptraum: Fundament
40,Trophäenzimmer: Türen
46,Verzaubererturm: Fußboden
47,Erweiterung - Westflügel - Gewächshaus
50,Apfel im Schlafrock
51,Lagerraum: Wandstützen
52,Grundriss: Kleines Haus
53,Hauptraum: Wandrahmen
56,Alchemielabor: Wände im ersten Stock
58,Erweiterung - Nordflügel - Trophäenzimmer
59,Haus Seeblick
62,Alchemielabor: Türen
66,Haus in Eingangsbereich umgestalten
68,Hauptraum: Wände für Erdgeschoss
69,Truhe
72,Schlafzimmer: Wandbalken
78,Hauptraum: Wände im ersten Stock
79,Dummy Object
80,Haus Seeblick
81,Haus Seeblick
88,Was braucht Ihr?
95,Ich besitze im Augenblick nicht genügend Geld. (<Global=BYOHHPCost> Goldstücke)
96,Butter
97,Hauptraum: Wände für Erdgeschoss
104,Erweiterung - Nordflügel - Alchemielabor
106,Wait for me at home...
108,Erweiterung - Ostflügel - Bibliothek
111,Trophäenraum: Fußboden
112,Kutsche. (<Global=BYOHHPCostCarriage> Goldstücke)
114,Eingangsbereich - Werkbank entfernen
119,Darüber muss ich nachdenken.
120,Hauptraum - Stil C
121,Erweiterung - Westflügel - Verzaubererturm
122,Erweiterung - Westflügel - Verzaubererturm
125,Lagerraum: Fundament
126,Hauptraum: Tür
127,Trophäenraum: Dach
130,Gewächshaus: Feuerstelle
133,Hauptraum: Wände im ersten Stock
134,Lehm
135,Gewächshaus: Fundament
136,Bruchstein
137,Schlafzimmer: Decke
140,Erweiterung - Nordflügel - Alchemielabor
142,Kuh. (<Global=BYOHHPCostCow> Goldstücke)
144,Grundriss: Hauptraum C
148,Hauptraum - Werkbänke entfernen
149,Sieh dir dein neues Haus in <Alias=Hold> an.
150,Ich nehme <Global=BYOHHPAmountLogs> Baumstämme (<Global=BYOHHPCostLogs> Goldstücke).
151,Lachsrogen
152,Gewächshaus: Fußboden
154,Erweiterung - Nordflügel - Trophäenzimmer
157,Haus: Dachrahmen
165,Kartoffelbrot
168,Grundriss: Kleines Haus
170,Haus: Wandrahmen
171,Erweiterung - Nordflügel - Lagerraum
176,Zimmererwerkbank
177,Ich nehme es. (<Global=BYOHHPCost> Goldstücke)
178,Hauptraum: Dachrahmen
183,Erweiterung - Westflügel - Schlafzimmer
184,Wein der Surilie-Brüder
185,Holz
188,Schon gut.
191,Hauptraum: Wandrahmen
194,Zimmererwerkbank
195,Hauptraum: Fußboden
197,Dummy Object
200,Erweiterung - Westflügel - Gewächshaus
202,Erweiterung - Nordflügel - Lagerraum
204,Hauptraum: Stützen für ersten Stock
213,Schlammkrabbenbeine
214,Alchemielabor: Stützen für ersten Stock
220,Feuerstelle
221,Hauptraum: Stützen für ersten Stock
222,Hauptraum - Stein
225,Hauptraum: Fundament
226,Hauptraum: Decke
229,Erweiterung - Nordflügel - Alchemielabor
231,Lachsbraten
232,Alchemielabor: Decke
233,Hauptraum C
240,Erweiterung - Ostflügel - Waffenkammer
241,Kann ich das Holz nicht einfach selber sägen?
247,Erweiterung - Nordflügel - Lagerraum
250,Erweiterung - Westflügel - Schlafzimmer
251,Einzelbett
252,Ich möchte gerne Holz kaufen.
255,Hauptraum: Dachrahmen
258,Verzaubererturm: Wände im Erdgeschoss
263,"Ist das Grundstück, das Ihr erwähnt habt, immer noch zu haben?"
267,Lagerraum: Decke
268,Erweiterung - Westflügel - Schlafzimmer
273,Ich habe Ihren Brief über das zum Verkauf stehende Grundstück erhalten. Ist es immer noch zu haben?
278,Lagerraum: Fußboden
279,Ich möchte gerne ein Haus kaufen.
282,Stuhl
284,Nägel
285,Schloss
288,Hauptraum A
290, Werkbank
291,"Ich würde mich freuen, Euch als mein Vogt begrüßen zu dürfen."
292,Erweiterung - Westflügel - Gewächshaus
295,Verzaubererturm: Wände im ersten Stock
297,Ich möchte am Haus gerne einige Veränderungen durchführen.
298,Hauptraum: Wände im ersten Stock
300,Jasbay-Crostata
307,Eine große Erweiterung im Stil von Rifton.
309,Haus Seeblick
310,Gewächshaus: Dachrahmen
311,Grundriss: Kleines Haus
312,Trophäenraum: Fundament
313,Haus: Dach
315,Stuhl
325,Alchemielabor: Wände im Erdgeschoss
331,Grundriss: Hauptraum A
336,Gedämpfte Schlammkrabbenbeine
339,Argonischer Blutwein
340,Mehlsack
341,Mine
343,Schneebeeren-Crostata
344,Muschelsuppe
345,Verzaubererturm: Türen
346,Erweiterung - Ostflügel - Bibliothek
347,Trophäenraum: Wandstützen
351,Hauptraum
354,Trophäenraum: Wände
356,Hauptraum: Fußboden
357,Lagerraum: Türen
358,Verzaubererturm: Fundament
362,Gewächshaus: Türen
369,Eine große Erweiterung im Stil von Weißlauf.
371,Bibliothek: Türen
374,Dummy Object
380,Schlafzimmer: Fußboden
381,Waffenkammer: Türen
383,Verzaubererturm: Stützen für ersten Stock
384,Dummy Object
385,Ich suche einen Vogt für mein Haus. Habt Ihr Interesse?
386,Haus: Wände
387,Ofen
389, Werkbank
391,Hauptraum: Dachrahmen
394,Eingangsbereich umgestalten - A
397,Hauptraum: Fußboden
398,Brief des Vogts von <Alias=HoldCity>.
400,Haus: Fundament
402,Hauptraum - Werkbänke
403,Erweiterung - Ostflügel - Küche
404,Schlafzimmer: Türen
409,Erweiterung - Westflügel - Verzaubererturm
411,Gewächshaus: Wände
413,Erweiterung - Ostflügel - Bibliothek
416,Eine große Erweiterung im Stil von Einsamkeit.
419,Wacholderbeer-Crostata
422,Dummy Object
423,Hauptraum: Tür
425,Trophäenraum: Dachrahmen
428,Grundriss: Hauptraum B
429,Ein schönes Haus mit einem Zimmer.
430,Verzaubererturm: Hauptstützen
431,Alchemielabor: Hauptstützen
432,Erweiterung - Nordflügel - Trophäenzimmer
433,Gewächshaus: Wandstützen
437,Milchkrug
438,Erweiterung - Ostflügel - Küche
441,Eingangsbereich - Werkbank
444,Haus: Tür
445,Hauptraum: Wände für Erdgeschoss
446,Gunjar
447,Haus - Werkbank
448,Scharnier
449,Erweiterung - Ostflügel - Waffenkammer
450,Hauptraum: Decke
452,Haus: Fußboden
453,Darüber muss ich nachdenken.
454,Lagerraum: Wände
456,Hauptraum: Wandrahmen
460,Lehmgrube
464,Schlafzimmer: Fundament
465,Einzelbett
466,Hauptraum: Stützen für ersten Stock
467,Hauptraum: Decke
468,Haus - Werkbank entfernen
470,Erweiterung - Ostflügel - Waffenkammer
473,Alchemielabor: Fundament
474,Eisenbeschläge
475,Schlafzimmer: Wände
482,Waffenständer (drei Stück)
494,Weizen
497,Zimmererwerkbank
505,Graues Mädchenkleid
512,Natürlich. Das habe ich doch gesagt.
515,Waffenkammer. (<Global=BYOHHPCostArmory> Goldstücke)
516,Zimmererwerkbank
518,Vitrine auf niedrigem Tisch
519,Rayya
534,Vitrine und kleiner Kleiderschrank
535,Erweiterung - Nordflügel - Lagerraum
537,Kleines Regal
538,Vitrine auf niedrigem Tisch
540,Alchemielabor: Wände im Erdgeschoss
541,"Benutze den Zeichentisch, um dein neues Haus zu entwerfen."
543,Waffenkammer: Fußboden
544,Nord-Met (fünf Flaschen)
547,Schleifstein
570,Schrank
574,Lampenständer
578,Schlafzimmer - Werkbank
580,Natürlich. Das habe ich doch gesagt.
582,"Nein. Hör auf, mich zu löchern."
583,Zimmererwerkbank
590,Schrein von Talos
591,Eckregal
597,Raum 2: Werkbank
598,Keller
604,Beistelltisch
607,Wozu die Eile?
614,Vitrine
620,"Du musst jetzt nach Hause, <Alias.ShortName=Child1>."
624,Alchemielabor: Türen
628,Bibliothek: Stützen für ersten Stock
637,Raum 7: Grundriss
645,Raum 1: Werkbank deaktivieren
655,Trophäenzimmer - Werkbank
659,Falkenei
667,Wandhalterung
668,Hängender Horkerkopf
680,Schlafzimmer: Fundament
687,Adoptiert
691,Wie geht es <Alias.ShortName=Child1>?
693,Bibliothek: Fußboden
695,Kleines Pflanzgefäß mit Schrank
696,Gewächshaus: Wandstützen
697,Bücherregal
698,Kinderkleidung
711,Namiras Fäulnis
713,"Platziere eine Werkbank in deinem Haus, um Einrichtungsgegenstände herzustellen."
717,Beistelltisch
726,Wandhalterungen (zwei Stück)
728,Raum 1B: Werkbank
730,Beistelltische (zwei Stück)
731,Küche - Werkbank entfernen
732,Hohes Bücherregal
736,Übungsziele (zwei Stück)
744,Verzauberungstisch
752,Drachenbrügge.
754,Beutel
755,Drachenschädel
769,Zimmererwerkbank
771,Raum 6: Werkbank aktivieren
777,Raum 5: Grundriss
778,Großer Trophäensockel
779,Beistelltisch
787,Platziere eine Werkbank in der Küche.
789,Raum 7: Werkbank
803,Fischfass
807,Ich habe Ihren Brief über das zum Verkauf stehende Grundstück erhalten. Ist es immer noch zu haben?
809,Raum 10: Werkbank
811,Wo sind deine Eltern?
813,Lagerraum: Wandstützen
816,"Ich hab was für dich, <Alias.ShortName=Child2>."
821,Waschbecken auf Podest
827,Runder Tisch und Stühle
834,"Sicher, so viel Ihr wollt. 1.000 Goldstücke?"
840,Trophäenzimmer - Werkbank entfernen
843,Vielleicht ist das gerade nicht der richtige Zeitpunkt ...
853,"Jetzt ist Schlafenszeit, <Alias.ShortName=Child2>."
879,WAFFENSTÄNDER
886,Wacholder
893,Tresor (fünf Stück)
906,Wandregale (vier Stück)
912,Tisch mit Vitrinen
914,Alchemielabor: Stützen für ersten Stock
916,Waffenhalter
918,Hängender Bärenkopf
919,Wie gefällt dir der Hof?
930,"Du musst jetzt nach Hause, <Alias.ShortName=Child1>."
933,Trophäenraum: Dach
938,Vitrine und Schrank
942,Warum bettelt Ihr?
948,"Ich hab was für dich, <Alias.ShortName=Child2>."
953,Sumpfpilzschote
955,Raum 12: Werkbank
961,Großer Trophäensockel
967,"Ja, ich habe ein Haus in Falkenring."
972,Trophäenraum: Fundament
975,Erweiterung - Nordflügel - Lagerraum
984,Warum entschuldigst du dich?
997,Raum 11: Werkbank deaktivieren
998,Erweiterung - Westflügel - Schlafzimmer
1002,"Du musst jetzt nach Hause, <Alias.ShortName=Child2>."
1005,Waffenhalter
1014,Haus Windstad
1029,Brief von Jarl <Alias=Jarl>
1030,Um welche Geschichte geht es denn?
1034,Hängendes Elchgeweih
1035,Ich bin ein Dieb.
1036,Schlachterfisch
1037,Wie geht es den Kindern?
1041,Kleiderschrank
1044,Küche: Decke
1053,Alchemielabor: Decke
1057,Schlafzimmer: Türen
1062,Sieh dir dein neues Haus in <Alias=Hold> an.
1067,"Du musst jetzt nach Hause, <Alias.ShortName=Child1>."
1082,Todesglockenblume
1083,Distel
1084,Karthwasten.
1096,"Ich hab was für dich, <Alias.ShortName=Child1>."
1108,Lampenständer
1111,"Tut mir leid, nein, ich habe meine Meinung geändert."
1117,Wie geht es <Alias.ShortName=Child1>?
1121,Pflanzgefäß
1125,Ich nehme es. (<Global=BYOHHPCost> Goldstücke)
1127,"Bengel, bekannt"
1128,Truhe
1136,Werkbank aus Küche entfernen.
1145,Kein Problem. Hier sind 500 Goldstücke.
1147,Eckiger Tisch
1149,"Nach Gut Stolzspitze, meinem Haus in Einsamkeit."
1150,Schlammkrabbe
1152,Fässer
1153,Schimmerpilz
