Index,Text
2,Rimuovi tutti gli arredi dall'ingresso e rimodellalo per adeguarlo alla sala.
5,Serra - Tetto
6,Sala B
7,Rimodella ingresso - A
14,Cucina - Porte
15,Corna di capra
18,Sala - Porta
21,Zuppa di patate
22,Aggiunta - Ala est - Cucina
24,Laboratorio d'alchimia - Pavimento
25,Sala - Fondamenta
28,Cava di pietra
29,Torre dell'incantatore - Tetto
30,Estrai
32,Sala - Fondamenta
40,Stanza dei trofei - Porte
46,Torre dell'incantatore - Pavimento
47,Aggiunta - Ala ovest - Serra
50,Tortino di mele
51,Magazzino - Sostegni muri
52,Schema casa piccola
53,Sala - Struttura muri
56,Laboratorio d'alchimia - Muri primo piano
58,Aggiunta - Ala nord - Stanza dei trofei
59,Tenuta Lakeview
62,Laboratorio d'alchimia - Porte
66,Trasforma casa in ingresso
68,Sala - Muri piano terra
69,Baule
72,Camere da letto - Sostegni muri
78,Sala - Muri primo piano
79,Dummy Object
80,Tenuta Lakeview
81,Tenuta Lakeview
88,Di cosa avevi bisogno?
95,Al momento sono a corto di oro. (<Global=BYOHHPCost> pezzi d'oro)
96,Burro
97,Sala - Muri piano terra
104,Aggiunta - Ala nord - Laboratorio d'alchimia
106,Wait for me at home...
108,Aggiunta - Ala est - Biblioteca
111,Stanza dei trofei - Pavimento
112,Carrozza. (<Global=BYOHHPCostCarriage> pezzi d'oro)
114,Ingresso - Rimuovi banco di lavoro
119,Ci devo pensare.
120,Sala - Stile C
121,Aggiunta - Ala ovest - Torre dell'incantatore
122,Aggiunta - Ala ovest - Torre dell'incantatore
125,Magazzino - Fondamenta
126,Sala - Porta
127,Stanza dei trofei - Tetto
130,Serra - Focolare
133,Sala - Muri primo piano
134,Argilla
135,Serra - Muri
136,Pietra estratta
137,Camere da letto - Tetto
140,Aggiunta - Ala nord - Laboratorio d'alchimia
142,Mucca. (<Global=BYOHHPCostCow> pezzi d'oro)
144,Sala - Schema C
148,Sala - Rimuovi banchi di lavoro
149,Visita la tua nuova proprietà di <Alias=Hold>
150,Prenderò <Global=BYOHHPAmountLogs> tronchi. (<Global=BYOHHPCostLogs> pezzi d'oro)
151,Uova di salmone
152,Serra - Pavimento
154,Aggiunta - Ala nord - Stanza dei trofei
157,Casa - Struttura del tetto
165,Pane alle patate
168,Schema casa piccola
170,Casa - Struttura dei muri
171,Aggiunta - Ala nord - Magazzino
176,Banco da carpentiere
177,La prendo. (<Global=BYOHHPCost> pezzi d'oro)
178,Sala - Struttura tetto
183,Aggiunta - Ala ovest - Camere da letto
184,Vino dei fratelli Surilie
185,Tronco tagliato
188,Non importa.
191,Sala - Struttura muri
194,Banco da carpentiere
195,Sala - Pavimento
197,Dummy Object
200,Aggiunta - Ala ovest - Serra
202,Aggiunta - Ala nord - Magazzino
204,Sala - Sostegni primo piano
213,Zampe di granchio del fango
214,Laboratorio d'alchimia - Sostegni primo piano
220,Focolare
221,Sala - Sostegni primo piano
222,Sala - Pietra
225,Sala - Fondamenta
226,Sala - Tetto
229,Aggiunta - Ala nord - Laboratorio d'alchimia
231,Filetto di salmone
232,Laboratorio d'alchimia - Tetto
233,Sala C
240,Aggiunta - Ala est - Armeria
241,Non posso tagliare io la legna?
247,Aggiunta - Ala nord - Magazzino
250,Aggiunta - Ala ovest - Camere da letto
251,Letto singolo
252,Vorrei comprare della legna.
255,Sala - Struttura tetto
258,Torre dell'incantatore - Muri piano terra
263,L'appezzamento di cui mi parlavi è ancora disponibile?
267,Magazzino - Tetto
268,Aggiunta - Ala ovest - Camere da letto
273,Ho ricevuto la tua lettera sulla terra in vendita. È disponibile?
278,Magazzino - Pavimento
279,Vorrei comprare una casa.
282,Sedia
284,Chiodi
285,Serratura
288,Sala A
290, Banco di lavoro
291,Sarebbe un onore averti come mio sovrintendente.
292,Aggiunta - Ala ovest - Serra
295,Torre dell'incantatore - Muri primo piano
297,Vorrei che tu apportassi delle migliorie alla casa.
298,Sala - Muri primo piano
300,Crostata al jazbay
307,Una notevole aggiunta nello stile di Riften.
309,Tenuta Lakeview
310,Serra - Struttura tetto
311,Schema casa piccola
312,Stanza dei trofei - Fondamenta
313,Casa - Tetto
315,Sedia
325,Laboratorio d'alchimia - Muri piano terra
331,Sala - Schema A
336,Zampe di granchio del fango al vapore
339,Vinsangue argoniano
340,Sacco di farina
