Index,Text
2,入口から家具をすべて撤去して、メインホールに合うように改築する。
5,温室: 屋根
6,メインホールB
7,入口の改築: A
14,キッチン: 扉
15,ヤギの角
18,メインホール: 扉
21,ジャガイモスープ
22,追加: 東棟のキッチン
24,錬金術実験室: 床
25,メインホール: 基礎
28,採石場
29,付呪師の塔: 屋根
30,鉱山
32,メインホール: 基礎
40,戦利品室: 扉
46,付呪師の塔: 床
47,追加: 西棟の温室
50,リンゴのパイ
51,保管室: 壁の柱
52,小さな家の配置
53,メインホール: 壁の枠組み
56,錬金術実験室: 2階の壁
58,追加: 北棟の戦利品室
59,レイクビュー邸
62,錬金術実験室: 扉
66,家: 玄関に改築
68,メインホール: 1階の壁
69,宝箱
72,寝室: 壁の柱
78,メインホール: 2階の壁
79,ダミーオブジェクト
80,レイクビュー邸
81,レイクビュー邸
88,どうしたんだ？
95,今は手持ちの資金が足りない(<Global=BYOHHPCost>ゴールド)
96,バター
97,メインホール: 1階の壁
104,追加: 北棟の錬金術実験室
108,追加: 東棟の図書館
111,戦利品室: 床
112,馬車(<Global=BYOHHPCostCarriage>ゴールド)
114,玄関: 作業台の撤去
119,考えさせてくれ
120,メインホール: 様式C
121,追加: 西棟の付呪師の塔
122,追加: 西棟の付呪師の塔
125,保管室: 基礎
126,メインホール: 扉
127,戦利品室: 屋根
130,温室: 暖炉
133,メインホール: 2階の壁
134,粘土
135,温室: 基礎
136,採石した石
137,寝室: テラス
140,追加: 北棟の錬金術実験室
142,牛(<Global=BYOHHPCostCow>ゴールド)
144,メインホール: 配置C
148,メインホール: 作業台の撤去
149,<Alias=Hold>要塞にある物件に立ち寄る
150,丸太を<Global=BYOHHPAmountLogs>本買いたい(<Global=BYOHHPCostLogs>ゴールド)
151,イクラ
152,温室: 床
154,追加: 北棟の戦利品室
157,家: 屋根の枠組み
165,ジャガイモパン
168,小さな家の配置
170,家: 壁の枠組み
171,追加: 北棟の保管室
176,大工の作業台
177,それを買おう(<Global=BYOHHPCost>ゴールド)
178,メインホール: 屋根の枠組み
183,追加: 西棟の寝室
184,スリリー兄弟のワイン
185,切断された丸太
188,気にするな
191,メインホール: 壁の枠組み
194,大工の作業台
195,メインホール: 床
197,ダミーオブジェクト
200,追加: 西棟の温室
202,追加: 北棟の保管室
204,メインホール: 2階
213,マッドクラブの脚
214,錬金術実験室: 2階の床
220,暖炉
221,メインホール: 2階
222,メインホール: 石
225,メインホール: 基礎
226,メインホール: 屋根
229,追加: 北棟の錬金術実験室
231,サケのステーキ
232,錬金術実験室: 屋根
233,メインホールC
240,追加: 東棟の武器庫
241,自分で材木を切ってしまえないだろうか？
