Index,Text
2,"Usuń wszystkie meble z wejścia i przemodeluj je tak, by pasowało do głównego budynku."
5,"Szklarnia, dach"
6,Główny budynek B
7,Przemodeluj wejście - A
14,"Kuchnia, drzwi"
15,Rogi kozy
18,"Główny budynek, drzwi"
21,Zupa ziemniaczana
22,Dodatek - wschodnie skrzydło - kuchnia
24,"Laboratorium alchemiczne, podłoga"
25,"Główny budynek, fundament"
28,Kamieniołom
29,"Wieża zaklinacza, dach"
30,Kop
32,"Główny budynek, fundament"
40,"Sala na trofea, drzwi"
46,"Wieża zaklinacza, podłoga"
47,Dodatek - zachodnie skrzydło - szklarnia
50,Pierożek z jabłkiem
51,"Magazyn, podpory ścian"
52,Rozkład małego domu
53,"Główny budynek, szkielet konstrukcji ścian"
56,"Laboratorium alchemiczne, ściany na piętrze"
58,Dodatek - północne skrzydło - sala na trofea
59,Dwór nad Jeziorem
62,"Laboratorium alchemiczne, drzwi"
66,Zmień dom w wejście
68,"Główny budynek, ściany pierwszego poziomu"
69,Kufer
72,"Sypialnie, podpory ścian"
78,"Główny budynek, ściany drugiego poziomu"
79,Obiekt zastępczy
80,Dwór nad Jeziorem
81,Dwór nad Jeziorem
88,Czego ci trzeba?
95,Chwilowo mam trochę za mało pieniędzy. (<Global=BYOHHPCost> szt. złota)
96,Masło
97,"Główny budynek, ściany pierwszego poziomu"
104,Dodatek - północne skrzydło - laboratorium alchemiczne
106,Wait for me at home...
108,Dodatek - wschodnie skrzydło - biblioteka
111,"Sala na trofea, podłoga"
112,Powóz. (<Global=BYOHHPCostCarriage> szt. złota)
114,Wejście - usuń warsztat
119,Muszę to przemyśleć.
120,Główny budynek - styl C
121,Dodatek - zachodnie skrzydło - wieża zaklinacza
122,Dodatek - zachodnie skrzydło - wieża zaklinacza
125,"Magazyn, fundament"
126,"Główny budynek, drzwi"
127,"Sala na trofea, dach"
130,"Szklarnia, palenisko"
133,"Główny budynek, ściany drugiego poziomu"
134,Glina
135,"Szklarnia, fundament"
136,Kamień z kamieniołomów
137,"Sypialnie, dach"
140,Dodatek - północne skrzydło - laboratorium alchemiczne
142,Krowa. (<Global=BYOHHPCostCow> szt. złota)
144,Rozkład głównego budynku C
148,Główny budynek - usuń warsztaty
149,Odwiedź swoją nową posiadłość w dzielnicy <Alias=Hold>
150,Wezmę <Global=BYOHHPAmountLogs> bali. (<Global=BYOHHPCostLogs> szt. złota)
151,Ikra łososia
152,"Szklarnia, podłoga"
154,Dodatek - północne skrzydło - sala na trofea
157,"Dom, konstrukcja dachu"
165,Chleb ziemniaczany
168,Rozkład małego domu
170,"Dom, szkielet konstrukcji ścian"
171,Dodatek - północne skrzydło - magazyn
176,Warsztat ciesielski
177,Biorę. (<Global=BYOHHPCost> szt. złota)
178,"Główny budynek, konstrukcja dachu"
183,Dodatek - zachodnie skrzydło - sypialnie
184,Wino braci Surilie
185,Opiłowany bal
188,Nieważne.
191,"Główny budynek, szkielet konstrukcji ścian"
194,Warsztat ciesielski
195,"Główny budynek, podłoga"
197,Obiekt zastępczy
200,Dodatek - zachodnie skrzydło - szklarnia
202,Dodatek - północne skrzydło - magazyn
204,"Główny budynek, filary na piętrze"
213,Nogi kraba błotnego
214,"Laboratorium alchemiczne, filary na piętrze"
220,Palenisko
221,"Główny budynek, filary na piętrze"
222,Główny budynek - kamień
225,"Główny budynek, fundament"
226,"Główny budynek, dach"
229,Dodatek - północne skrzydło - laboratorium alchemiczne
231,Stek z łososia
232,"Laboratorium alchemiczne, dach"
233,Główny budynek C
240,Dodatek - wschodnie skrzydło - zbrojownia 
241,Czy mogę po prostu samodzielnie przygotować drewno?
247,Dodatek - północne skrzydło - magazyn
250,Dodatek - zachodnie skrzydło - sypialnie
251,Pojedyncze łóżko
252,Chcę kupić trochę drewna.
255,"Główny budynek, konstrukcja dachu"
258,"Wieża zaklinacza, ściany na parterze"
263,Czy wspomniana ziemia nadal jest dostępna?
267,"Magazyn, dach"
268,Dodatek - zachodnie skrzydło - sypialnie
273,Dotarł do mnie list o ziemi na sprzedaż. Czy nadal można ją kupić?
278,"Magazyn, podłoga"
279,Chcę kupić dom.
282,Krzesło
284,Gwoździe
285,Zamek
288,Główny budynek A
290,Warsztat
291,Zaszczytem będzie mieć cię za zarządcę.
292,Dodatek - zachodnie skrzydło - szklarnia
295,"Wieża zaklinacza, ściany na piętrze"
297,Chcę cię prosić o wprowadzenie kilku ulepszeń w moim domu.
298,"Główny budynek, ściany drugiego poziomu"
300,Placek z winogron jazbay
307,Duży dodatek w stylu Pękniny.
309,Dwór nad Jeziorem
310,"Szklarnia, konstrukcja dachu"
311,Rozkład małego domu
312,"Sala na trofea, fundament"
313,"Dom, dach"
315,Krzesło
325,"Laboratorium alchemiczne, ściany na parterze"
331,Rozkład głównego budynku A
336,Gotowane nogi kraba błotnego
339,Krwawe wino argonian
340,Worek mąki
341,Kop
343,Placek ze śnieżynek
344,Zupa z małży
345,"Wieża zaklinacza, drzwi"
346,Dodatek - wschodnie skrzydło - biblioteka
347,"Sala na trofea, podpory ścian"
351,Główny budynek
354,"Sala na trofea, ściany"
356,"Główny budynek, podłoga"
357,"Magazyn, drzwi"
358,"Wieża zaklinacza, fundament"
362,"Szklarnia, drzwi"
369,Duży dodatek w stylu Białej Grani.
371,"Biblioteka, drzwi"
374,Obiekt zastępczy
380,"Sypialnie, podłoga"
381,"Zbrojownia, drzwi"
383,"Wieża zaklinacza, filary na piętrze"
384,Obiekt zastępczy
385,Potrzebny mi zarządca domu. Może masz ochotę objąć tę posadę?
386,"Dom, ściany"
387,Piec
389,Warsztat
391,"Główny budynek, konstrukcja dachu"
394,Przemodeluj wejście - A
397,"Główny budynek, podłoga"
398,List od zarządcy miasta <Alias=HoldCity>
400,"Dom, fundament"
402,Główny budynek - warsztat
403,Dodatek - wschodnie skrzydło - kuchnia
404,"Sypialnie, drzwi"
409,Dodatek - zachodnie skrzydło - wieża zaklinacza
411,"Szklarnia, ściany"
413,Dodatek - wschodnie skrzydło - biblioteka
416,Duży dodatek w stylu Samotni.
419,Placek z owocami jałowca
422,Obiekt zastępczy
423,"Główny budynek, drzwi"
425,"Sala na trofea, konstrukcja dachu"
428,Rozkład głównego budynku B
429,"Mały, jednoizbowy domek."
430,"Wieża zaklinacza, główne filary"
431,"Laboratorium alchemiczne, główne filary"
432,Dodatek - północne skrzydło - sala na trofea
433,"Szklarnia, podpory ścian"
437,Dzban z mlekiem
438,Dodatek - wschodnie skrzydło - kuchnia
441,Wejście - warsztat
444,"Dom, drzwi"
445,"Główny budynek, ściany pierwszego poziomu"
446,Gunjar
447,Dom - warsztat
448,Zawias
449,Dodatek - wschodnie skrzydło - zbrojownia 
450,"Główny budynek, dach"
452,"Dom, podłoga"
453,Muszę to przemyśleć.
454,"Magazyn, ściany"
456,"Główny budynek, szkielet konstrukcji ścian"
460,Pokład gliny
464,"Sypialnie, fundament"
465,Pojedyncze łóżko
466,"Główny budynek, filary na piętrze"
467,"Główny budynek, dach"
468,Dom - usuń warsztat
470,Dodatek - wschodnie skrzydło - zbrojownia 
473,"Laboratorium alchemiczne, fundament"
474,Żelazne łączniki
475,"Sypialnie, ściany"
482,Stojaki na broń (3)
494,Pszenica
497,Warsztat ciesielski
505,Szara dziewczęca sukienka
512,No pewnie.
515,Zbrojownia. (<Global=BYOHHPCostArmory> szt. złota)
516,Warsztat ciesielski
518,Gablota na niskim stole
519,Rayya
534,Gablota i mała szafa
535,Dodatek - północne skrzydło - magazyn
537,Mała półka
538,Gablota na niskim stole
540,"Laboratorium alchemiczne, ściany na parterze"
541,"Użyj stołu kreślarskiego, by rozpocząć budowę swojego domu"
543,"Zbrojownia, podłoga"
544,Norski miód (5)
547,Kamień szlifierski
570,Kredens
574,Stojak na lampę
578,Sypialnie - warsztat
580,No pewnie.
582,Nie. Przestań mi przeszkadzać.
