Index,Text
2,Quita todos los muebles de la entrada principal y la amuebla igual que el salón principal.
5,"Invernadero, tejado"
6,Salón principal B
7,Remodelar entrada principal - A
14,"Cocina, puertas"
15,Cuernos de cabra
18,"Salón principal, puerta"
21,Sopa con patatas
22,Extensión - Ala este - Cocina
24,"Laboratorio de alquimia, suelo"
25,"Salón principal, cimientos"
28,Cantera de piedra
29,"Torre del encantador, tejado"
30,Mina
32,"Salón principal, cimientos"
40,"Sala de trofeos, puertas"
46,"Torre del encantador, suelo"
47,Extensión - Ala oeste - Invernadero
50,Bollito de manzana
51,"Cuarto trastero, pilares de la pared"
52,Distribución de la casita
53,"Salón principal, estructura de las paredes"
56,"Laboratorio de alquimia, paredes del primer piso"
58,Extensión - Ala norte - Sala de trofeos
59,Mansión de Vista Lacustre
62,"Laboratorio de alquimia, puertas"
66,Convertir casa en entrada principal
68,"Salón principal, paredes del primer nivel"
69,Cofre
72,"Dormitorios, pilares de la pared"
78,"Salón principal, paredes del segundo nivel"
79,Objeto de prueba
80,Mansión de Vista Lacustre
81,Mansión de Vista Lacustre
88,¿Qué necesitabas?
95,Ahora mismo no tengo demasiado dinero. (<Global=BYOHHPCost> de oro)
96,Mantequilla
97,"Salón principal, paredes del primer nivel"
104,Extensión - Ala norte - Laboratorio de alquimia
106,Wait for me at home...
108,Extensión - Ala este - Biblioteca
111,"Sala de trofeos, suelo"
112,Carruaje. (<Global=BYOHHPCostCarriage> de oro)
114,Entrada principal - Quitar banco de trabajo
119,Tendré que pensar en ello.
120,Salón principal - Estilo C
121,Extensión - Ala oeste - Torre del encantador
122,Extensión - Ala oeste - Torre del encantador
125,"Cuarto trastero, cimientos"
126,"Salón principal, puerta"
127,"Sala de trofeos, tejado"
130,"Invernadero, chimenea"
133,"Salón principal, paredes del segundo nivel"
134,Arcilla
135,"Invernadero, cimientos"
136,Piedra excavada
137,"Dormitorios, tejado"
140,Extensión - Ala norte - Laboratorio de alquimia
142,Vaca. (<Global=BYOHHPCostCow> de oro)
144,Distribución C del salón principal
148,Salón principal - Quitar bancos de trabajo
149,Visita tu nueva propiedad en <Alias=Hold>
150,Me llevaré <Global=BYOHHPAmountLogs> troncos (<Global=BYOHHPCostLogs> de oro).
151,Huevas de salmón
152,"Invernadero, suelo"
154,Extensión - Ala norte - Sala de trofeos
157,"Casa, estructura del tejado"
165,Pan de patata
168,Distribución de la casita
170,"Casa, estructura de las paredes"
171,Extensión - Ala norte - Cuarto trastero
176,Banco de trabajo de carpintero
177,Acepto. (<Global=BYOHHPCost> de oro)
178,"Salón principal, estructura del tejado"
183,Extensión - Ala oeste - Dormitorios
184,Vino de los hermanos Surilie
185,Tronco cortado
188,No importa.
191,"Salón principal, estructura de las paredes"
194,Banco de trabajo de carpintero
195,"Salón principal, suelo"
197,Objeto de prueba
200,Extensión - Ala oeste - Invernadero
202,Extensión - Ala norte - Cuarto trastero
204,"Salón principal, pilares del primer piso"
213,Patas de cangrejo del barro
214,"Laboratorio de alquimia, pilares del primer piso"
220,Chimenea
221,"Salón principal, pilares del primer piso"
222,Salón principal - Piedra
225,"Salón principal, cimientos"
226,"Salón principal, tejado"
229,Extensión - Ala norte - Laboratorio de alquimia
231,Filete de salmón
232,"Laboratorio de alquimia, tejado"
233,Salón principal C
240,Extensión - Ala este - Armería
241,¿Puedo encargarme yo de cortar la leña?
247,Extensión - Ala norte - Cuarto trastero
250,Extensión - Ala oeste - Dormitorios
251,Cama individual
252,Me gustaría comprar leña.
255,"Salón principal, estructura del tejado"
258,"Torre del encantador, paredes de la planta baja"
263,¿Está aún disponible la propiedad que mencionabas?
267,"Cuarto trastero, tejado"
268,Extensión - Ala oeste - Dormitorios
273,Recibí tu carta sobre la propiedad que hay en venta. ¿Sigue disponible?
278,"Cuarto trastero, suelo"
279,Me gustaría comprar una casa.
282,Silla
284,Clavos
285,Cerradura
288,Salón principal A
290, Banco de trabajo
291,Sería un honor para mí que administrases mi casa.
292,Extensión - Ala oeste - Invernadero
295,"Torre del encantador, paredes del primer piso"
297,Quisiera que hicieras algunas mejoras en la casa.
298,"Salón principal, paredes del segundo nivel"
300,Tarta de uvas jazbay
307,Numerosos añadidos al estilo de Riften.
309,Mansión de Vista Lacustre
310,"Invernadero, estructura del tejado"
311,Distribución de la casita
312,"Sala de trofeos, cimientos"
313,"Casa, tejado"
315,Silla
325,"Laboratorio de alquimia, paredes de la planta baja"
331,Distribución A del salón principal
336,Patas de cangrejo del barro al vapor
339,Vino de sangre argoniano
340,Saco de harina
341,Mina
343,Tarta de sinforicarpo
344,Sopa de almejas
345,"Torre del encantador, puertas"
346,Extensión - Ala este - Biblioteca
347,"Sala de trofeos, pilares de la pared"
351,Salón principal
354,"Sala de trofeos, paredes"
356,"Salón principal, suelo"
357,"Cuarto trastero, puertas"
358,"Torre del encantador, cimientos"
362,"Invernadero, puertas"
369,Numerosos añadidos al estilo de Carrera Blanca.
371,"Biblioteca, puertas"
374,Objeto de prueba
380,"Dormitorios, suelo"
381,"Armería, puertas"
383,"Torre del encantador, pilares del primer piso"
384,Objeto de prueba
385,Necesito a alguien que administre mi casa. ¿Te interesa?
386,"Casa, paredes"
387,Horno
389, Banco de trabajo
391,"Salón principal, estructura del tejado"
394,Remodelar entrada principal - A
397,"Salón principal, suelo"
398,Carta del administrador de <Alias=HoldCity>
400,"Casa, cimientos"
402,Salón principal - Bancos de trabajo
403,Extensión - Ala este - Cocina
404,"Dormitorios, puertas"
409,Extensión - Ala oeste - Torre del encantador
411,"Invernadero, paredes"
413,Extensión - Ala este - Biblioteca
416,Numerosos añadidos al estilo de Soledad.
419,Tarta de frutos de enebro
422,Objeto de prueba
423,"Salón principal, puerta"
425,"Sala de trofeos, estructura del tejado"
428,Distribución B del salón principal
429,Una bonita casa de una sola habitación.
430,"Torre del encantador, pilares centrales"
431,"Laboratorio de alquimia, pilares centrales"
432,Extensión - Ala norte - Sala de trofeos
433,"Invernadero, pilares de la pared"
437,Jarra de leche
438,Extensión - Ala este - Cocina
441,Entrada principal - Banco de trabajo
444,"Casa, puerta"
445,"Salón principal, paredes del primer nivel"
446,Gunjar
447,Casa - Banco de trabajo
448,Bisagra
449,Extensión - Ala este - Armería
450,"Salón principal, tejado"
452,"Casa, suelo"
453,Tendré que pensar en ello.
454,"Cuarto trastero, paredes"
456,"Salón principal, estructura de las paredes"
460,Depósito de arcilla
464,"Dormitorios, cimientos"
465,Cama individual
466,"Salón principal, pilares del primer piso"
467,"Salón principal, tejado"
468,Casa - Quitar banco de trabajo
470,Extensión - Ala este - Armería
473,"Laboratorio de alquimia, cimientos"
474,Guarniciones de hierro
475,"Dormitorios, paredes"
482,Soportes para armas (3)
494,Trigo
497,Banco de trabajo de carpintero
505,Vestido gris de chica
512,Claro. Ya te lo dije.
515,Armería. (<Global=BYOHHPCostArmory> de oro)
516,Banco de trabajo de carpintero
518,Vitrina sobre mesita
519,Rayya
534,Vitrina y armarito
535,Extensión - Ala norte - Cuarto trastero
537,Estante pequeño
538,Vitrina sobre mesita
540,"Laboratorio de alquimia, paredes de la planta baja"
541,Usa la mesa de dibujo para empezar a construir tu casa
543,"Armería, suelo"
544,Aguamiel nórdica (5)
547,Piedra de afilar
570,Armario
574,Soporte para lámpara
578,Dormitorios - Banco de trabajo
580,Claro. Ya te lo dije.
582,No. Deja de molestarme.
583,Banco de trabajo de carpintero
590,Capilla de Talos
591,Rinconera
597,Banco de trabajo de habitación 2
598,Bodega
604,Mesa auxiliar
607,¿A qué vienen esas prisas?
614,Expositor
620,"Es hora de ir a casa, <Alias.ShortName=Child1>."
624,"Laboratorio de alquimia, puertas"
628,"Biblioteca, pilares del primer piso"
637,Distribución de habitación 7
645,Desmontar banco de trabajo de habitación 1
655,Sala de trofeos - Banco de trabajo
659,Huevo de halcón
667,Soporte de pared
668,Trofeo de cabeza de horker
680,"Dormitorios, cimientos"
687,Adoptado
691,¿Qué tal le va a <Alias.ShortName=Child1>?
693,"Biblioteca, suelo"
695,Maceta pequeña con armario
696,"Invernadero, pilares de la pared"
697,Estantería
698,Ropa de niño
711,Putrefacción de Namira
713,Instala un banco de trabajo en tu casa para fabricar muebles.
717,Mesa auxiliar
726,Soportes de pared (2)
728,Banco de trabajo de habitación 1B
730,Mesitas auxiliares (2)
731,Cocina - Quitar banco de trabajo
732,Estantería grande
736,Dianas (2)
744,Mesa de encantamientos
752,Puente del Dragón.
754,Bolsa
755,Calavera de dragón
769,Banco de trabajo de carpintero
771,Montar banco de trabajo en habitación 6
777,Distribución de habitación 5
778,Pedestal grande para trofeo
779,Mesa auxiliar
787,Instala un banco de trabajo en la cocina.
789,Banco de trabajo de habitación 7
803,Barril de pescado
807,Recibí tu carta sobre la propiedad que hay en venta. ¿Sigue disponible?
809,Banco de trabajo de habitación 10
811,¿Dónde están tus padres?
813,"Cuarto trastero, pilares de la pared"
816,"Tengo algo para ti, <Alias.ShortName=Child2>."
821,Palangana y soporte
827,Mesa redonda con sillas
834,"Claro, lo que quieras. ¿1.000 de oro?"
840,Sala de trofeos - Quitar banco de trabajo
843,En realidad puede que no sea el mejor momento...
853,"Hora de dormir, <Alias.ShortName=Child2>."
879,SOPORTES PARA ARMAS
886,Enebro
893,Caja fuerte (5)
906,Estantes (4)
912,Mesa con vitrinas
914,"Laboratorio de alquimia, pilares del primer piso"
916,Placa de armas
918,Trofeo de cabeza de oso
919,¿Te gusta la granja?
930,"Es hora de ir a casa, <Alias.ShortName=Child1>."
933,"Sala de trofeos, tejado"
938,Vitrina y armario
942,¿Por qué estás mendigando?
948,"Tengo algo para ti, <Alias.ShortName=Child2>."
953,Vaina fúngica del pantano
955,Banco de trabajo de habitación 12
961,Pedestal grande para trofeo
967,"Sí, tengo una casa en Falkreath."
972,"Sala de trofeos, cimientos"
975,Extensión - Ala norte - Cuarto trastero
984,¿Lo sientes? ¿El qué?
997,Desmontar banco de trabajo de habitación 11
998,Extensión - Ala oeste - Dormitorios
1002,"Es hora de ir a casa, <Alias.ShortName=Child2>."
1005,Placa de armas
1014,Mansión Ventera
1029,Carta del jarl <Alias=Jarl>
1030,¿Me cuentas otra vez tu historia?
1034,Trofeo de cornamenta de alce
1035,Me dedico a robar.
1036,Pez asesino
1037,¿Cómo están los niños?
1041,Armario
1044,"Cocina, tejado"
1053,"Laboratorio de alquimia, tejado"
1057,"Dormitorios, puertas"
1062,Visita tu nueva propiedad en <Alias=Hold>
1067,"Es hora de ir a casa, <Alias.ShortName=Child1>."
1082,Campanilla de la muerte
1083,Cardo
1084,Baldío de Karth.
1096,"Tengo algo para ti, <Alias.ShortName=Child1>."
1108,Soporte para lámpara
1111,"Lo siento, pero no. He cambiado de opinión."
1117,¿Qué tal le va a <Alias.ShortName=Child1>?
1121,Maceta
1125,Acepto. (<Global=BYOHHPCost> de oro)
1127,"Pillo, conocido"
1128,Cofre
1136,Elimina el banco de trabajo de la cocina.
1145,No hay problema. Aquí tienes 500 de oro.
1147,Mesa cuadrada
1149,"Espira Orgullosa, mi casa de Soledad."
1150,Cangrejo del barro
1152,Barriles
1153,Seta brillante
1155,"Salón de Vlindrel, mi casa de Markarth."
1160,Laboratorio de alquimia. (<Global=HDMarkarthAlchemy> de oro)
1178,¿Qué tal le va a <Alias.ShortName=Child1>?
1179,Vitrina y armario
1181,Maceta pequeña con armario
1191,"Mansión Ventera, mi casa de la Marca de Hjaal."
1195,AETERIO
1199,Esfera enana
1203,¿Sabes dónde puedo comprar materiales como cristal o paja?
1214,Maceta pequeña con armario
1218,¿Cómo están los niños?
1226,Barriles
1227,¿Qué tal le va a <Alias.ShortName=Child1>?
1229,Banco de trabajo de habitación 8
1240,Jardín
1241,Tendré que pensar en ello.
1248,Habitación 5
1254,En mi casa de Markarth.
1257,Capilla de Akatosh
1259,Vix
1262,Hola.
1264,Alesan
1265,Añade una torre en la que puede instalarse una acogedora biblioteca.
1268,Banco de trabajo de habitación 7
1270,Dormitorio infantil. (<Global=HDMarkarthChildRoom> de oro)
1271,Usa el banco de trabajo de carpintero para erigir los cimientos de tu casa
1282,"Cuarto trastero, cimientos"
1291,¿Qué tal le va a <Alias.ShortName=Child1>?
1292,No importa.
1300,"Invernadero, estructura del tejado"
1305,Laboratorio de alquimia - Banco de trabajo
1307,Estante grande
1310,Mesa baja
1311,Una plataforma de piedra ideal para colocar capillas a los Divinos de tu elección.
1320,<Alias.ShortName=Child1>...
1326,PIEZAS
1327,Banco de trabajo de habitación 11
1333,"Hora de dormir, <Alias.ShortName=Child1>."
1336,Corral
1347,"Sala de trofeos, estructura del tejado"
1349,Instala un banco de trabajo en la biblioteca.
1356,Vamos a jugar a un juego.
1360,Mobiliario para <Alias=Home>
1364,En mi casa de la Marca de Hjaal.
