Index,Text
1,The Ratway Vaults
2,Windhelm Stable Services
3,Razelan
6,Why are you looking for a Dragonborn?
7,Imperial Boots of Dwindling Flames
8,Hide Bracers of Major Alchemy
9,Stand
12,Brawling Victor
15,So you need me to bring him back?
19,Falmer Ear
20,Give the Rueful Axe to Clavicus Vile OR kill Barbas with the Rueful Axe
22,Hillevi Cruel-Sea Services
28,Scaled Helmet of Major Magicka
31,Hide Bracers of Minor Sure Grip
32,I'd like training in Restoration magic.
35,Healing Altar
36,Banish
37,You're welcome to join me.
38,Spell Tome: Waterbreathing
41,Are you pleased to see the Stormcloaks in charge?
43,Riften Fishery Scene 04
45,Hjaalmarch Stormcloak Camp
49,Owned
50,Ebony Gauntlets of Major Alchemy
52,Saadia told me - you're assassins.
61,Dwarven Centurion
65,Potema
69,Ebony Greatsword of the Inferno
71,You know what you have to do.
72,Castle Dour
78,Embalming Tool
79,Silus Vesuius's House
81,bounty removed from
84,Daedric Warhammer of Exhaustion
87,What's wrong with Joric?
89,Lylvieve Family House Occupants
90,Who's Elisif?
94,Unemployed Laborer
95,Safia
96,Orcish Shield of Dwindling Fire
100,Clothes
101,Frost Cloak
104,I'll find the proof you need.
108,Dialogue (needs to sit under CW and CWCampaign)
111,Hay Pile
112,Orcish Battleaxe of Soul Snares
113,Blades Boots
115,The Lady Stone
119,Orsinium and the Orcs
122,Stalleo
123,Glass Dagger of Stunning
125,Ebony Armor
129,Leather Helmet of Major Illusion
133,You need to pay the Argonians a fair wage.
135,What drove them underground?
137,Blessing of Julianos
140,Bits and Pieces
141,HairLineFemaleNord07
142,Wylandriah's Spoon
144,Play Time
146,Unrelenting Force Strong
149,HairLineMaleImperialChild01
150,(Show Astrid the amulet and sealed letter)
155,Markarth
156,Textures\Blood\ScreenBloodAlpha01OPT.dds
159,Did something happen?
162,Explore <Alias=Dungeon> and recover the <Alias=Item>
165,Steel Plate Bracers of Sure Grip
169,The Cake and The Diamond
171,Report skooma source to Jarl of Riften
175,"Visit Breezehome, your new house"
180,Staff of Fury
183,Eltrys
186,How did you want me to handle it?
187,Whirlwind Sprint 3
189,Ebony Battleaxe of Lightning
191,Elven Dagger of Blizzards
192,Rift Guard
193,Boots
194,Whiterun Civil War Argument Scene
196,Enemies
197,Mouth
199,Potion of the Knight
201,Crystaldrift Cave
205,I have a question about the statue.
206,"Hakon, Gormlaith, Felldir? Who are they?"
216,Glass Dagger of Consuming
219,Holy Daedric Greatsword
221,Never mind. My mistake.
225,Daedric Bow of Fire
226,Ward - Steadfast
228,Get Derkeethus out of the cave.
229,Mythic Dawn Boots
232,What do we do now?
234,I have important information for you.
235,Falion
236,Spring
237,Skeleton
241,Orcish Shield of Frost Suppression
255,Boots
258,Dwarven Sphere
261,Dwarven Greatsword
267,The Faction For Ghosts
268,T8r
270,Relations
274,Incriminating Letter
276,Breton
277,Scaled Bracers of Sure Grip
