Index,Text
1,Rattenweg-Gewölbe
2,Windhelm Stable Services
3,Razelan
6,Warum sucht Ihr ein Drachenblut?
7,Kaiserliche Stiefel der Schwindenden Flammen
8,Pelzarmschienen der Großen Alchemie
9,Stand
12,Brawling Victor
15,Ich soll ihn Euch also zurückbringen?
19,Falmerohr
20,Gib die Axt der Reue entweder Clavicus Vile ODER töte Barbas mit ihr.
22,Hillevi Cruel-Sea Services
28,Schuppenhelm der Großen Magicka
31,Pelzarmschienen des Schwachen Festen Griffs
32,Ich möchte Wiederherstellungsmagie trainieren.
35,Heilender Altar
36,Verbannen
37,Schließt Euch mir doch einfach an. 
38,Zauberbuch: Wasseratmung
41,"Freut Ihr Euch, dass die Sturmmäntel das Sagen haben?"
43,Riften Fishery Scene 04
45,Hjaalmarsch: Lager der Sturmmäntel
49,Fremd
50,Ebenerzpanzerhandschuhe der Großen Alchemie
52,Saadia hat es mir erzählt - Ihr seid Assassinen.
61,Zwergenzenturio
65,Potema
69,Ebenerzzweihänder des Infernos
71,"Ihr wisst, was Ihr tun müsst."
72,Schloss Elend
78,Einbalsamierungswerkzeug
79,Silus Vesuius' Haus
81,Kopfgeld aufgehoben in
84,Daedrischer Kriegshammer der Erschöpfung
87,Was stimmt mit Joric nicht?
89,Lylvieve Family House Occupants
90,Wer ist Elisif?
94,Unbeschäftigter Arbeiter
95,Safia
96,Orkischer Schild des Schwindenden Feuers
100,Kleidung
101,Frostmantel
104,Ich werde die nötigen Beweise finden.
108,Dialogue (needs to sit under CW and CWCampaign)
111,Heuhaufen
112,Orkische Streitaxt der Seelenschlingen
113,Klingenstiefel
115,Der Fürstinnenstein
119,Wie Orsinium an die Orks fiel
122,Stalleo
123,Vulkanglasdolch der Betäubung
125,Ebenerzrüstung
129,Lederhelm der Großen Illusion
133,Ihr müsst den Argoniern einen fairen Lohn zahlen.
135,Warum sind sie unter die Erde gegangen?
137,Julianos' Segen
140,Kram mit Charme
141,HairLineFemaleNord07
142,Wylandriahs Löffel
144,Gespielte Zeit
146,Unrelenting Force Strong
