Index,Text
1,Крысиная нора - Хранилища
2,Windhelm Stable Services
3,Разелан
6,Зачем ты ищешь Довакина?
7,Имперские сапоги противодействия пламени
8,Сыромятные наручи настоящей алхимии
9,Встать
12,Победа в драке
15,"Ты хочешь, чтобы он вернулся сюда к тебе?"
19,Ухо фалмера
20,Отдать Топор Скорби Клавикусу Вайлу или убить Барбаса Топором Скорби
22,Hillevi Cruel-Sea Services
28,Ламеллярный шлем настоящей магии
31,Сыромятные наручи малой хватки
32,Мне бы хотелось взять у тебя пару уроков магии восстановления.
35,Исцеляющий алтарь
36,Изгнание
37,Давай пойдем вместе.
38,Том заклинаний: Водное дыхание
41,"Тебе по душе, что у власти теперь Братья Бури?"
43,Riften Fishery Scene 04
45,Хьялмарк - Лагерь Братьев Бури
49,принадлежит не вам
50,Эбонитовые перчатки настоящей алхимии
52,"Садия сказала мне, что вы ассасины."
61,Двемерский центурион
65,Потема
69,Эбонитовый двуручный меч инферно
71,"Ты знаешь, что тебе делать."
72,Мрачный замок
78,Инструмент для бальзамирования
79,Дом Сила Весула
81,"- штраф снят, владение:"
84,Даэдрический боевой молот изнурения
87,Что не так с Йориком?
89,Lylvieve Family House Occupants
90,Кто такая Элисиф?
94,Безработный
95,Сафия
96,Орочий щит противодействия огню
100,Одежда
101,Морозный плащ
104,Я найду тебе доказательства.
108,Dialogue (needs to sit under CW and CWCampaign)
111,Лежанка
112,Орочья секира ловли душ
113,Сапоги Клинков
115,Знак Леди
119,Орсиниум и орки
122,Сталлео
123,Стеклянный кинжал оглушения
125,Эбонитовая броня
129,Кожаный шлем настоящей иллюзии
133,Ты должен платить аргонианам по справедливости.
135,Как они оказались под землей?
137,Благословение Джулианоса
140,Bits and Pieces
141,HairLineFemaleNord07
142,Ложка Вайландрии
144,Время игры
146,Безжалостная сила - сильная
149,HairLineMaleImperialChild01
150,(Показать Астрид амулет и запечатанное письмо)
155,Маркарт
156,Textures\Blood\ScreenBloodAlpha01OPT.dds
159,У вас что-то случилось?
162,Исследовать место под названием <Alias=Dungeon>. Цель поисков - <Alias=Item>
165,Стальные пластинчатые наручи хватки
169,Пирог и бриллиант
171,Сообщить ярлу Рифтена об источнике скумы
175,Посетить свой новый Дом теплых ветров
180,Посох ярости
183,Элтрис
186,Как это дело лучше провернуть?
187,Стремительный рывок 3
189,Эбонитовая секира молнии
191,Эльфийский кинжал бурана
192,Стражник Рифта
193,Сапоги
194,Whiterun Civil War Argument Scene
196,Enemies
197,Рот
199,Зелье рыцаря
201,Кристаллическая пещера
205,Я хочу расспросить тебя о статуе.
206,"Хакон, Гормлейт, Феллдир? Кто они?"
216,Стеклянный кинжал поедания
219,Священный даэдрический двуручный меч
221,Забудь. Это ошибка.
225,Даэдрический лук огня
226,Оберег - устойчивый
228,Вывести Деркитуса из пещеры
229,Ботинки Мифического Рассвета
232,Что теперь?
234,Я хочу сообщить тебе кое-что важное.
235,Фалион
236,Весна
237,Скелет
241,Орочий щит подавления мороза
255,Сапоги
258,Двемерская сфера
261,Двемерский двуручный меч
267,The Faction For Ghosts
268,T8R
270,Relations
274,Компрометирующее письмо
276,Бретонец
277,Ламеллярные наручи хватки
278,Зов природы 3
279,Орочья секира страха
282,Умиротворение
287,Мне удалось подбросить контрабанду на Привередливый слоад.
288,Башнаг
289,"Да, а вот что мне попалось в сейфе."
291,Благой эльфийский двуручный меч
293,Зачем ему поступать так со своей семьей?
296,Дело вроде простое.
297,Корова
306,Student
310,Жду распоряжений.
313,DialogueGenericSharedInfo
314,Я хочу расспросить тебя о твоей дочери.
315,Напомни - что мне положено делать?
320,Ремонт
322,Урацен
323,Дом Непуса
330,Стеклянный двуручный меч высылки
331,Сыромятный шлем малой алхимии
332,Здоровье
334,Запах крови
335,For intimidate brawling
337,Любовный репозиторий
342,Мир грез
343,Кровавый венец
347,"Может, в другой раз."
348,Грот Серая Вода
352,Vigilants fighting Atronach
356,Передвинуть
357,Ты упомянул о Нивенор.
361,Поглощение запаса сил
368,Путешествовать в одиночку небезопасно...
371,<Alias.ShortName=QuestGiver> хочет получить морозную соль
373,Ключ от Ансилвунда
374,Забудь. Я не... Это ошибка.
377,[ОПАСНОСТЬ]
378,Дельфина
379,Эльфийский двуручный меч пламени
380,AllyKilled
382,Эльфийский лук пламени
383,Giant Faction
392,Стоит-на-Отмели
393,Сундук
397,AudioTemplateHagraven
398,Расскажи мне об уборке.
401,Сыромятный щит ослабления мороза
406,Даэдрический лук изгнания
409,Фантомная форма
410,Frost River Farm Faction
415,Как мне отсюда выбраться?
419,Следуй за мной.
420,HumanBeard41
423,Вызов сильного огненного трэлла
424,"Что мне делать с древним свитком, когда я найду его?"
427,"Нет, ты прав. Эленвен стоит остаться."
431,"Как ты думаешь, понравится это письмо твоему папаше?"
439,Сейф Арингота
444,Русый
445,Белокурый
446,DA07ShrineofMehrunesDagonExitTrigger
447,Медовый
450,Помочь героям Совнгарда развеять туман Алдуина
451,Рыжеватый
452,Каштановый
453,Темно-каштановый
454,Черный
459,Стальной
462,Я не хочу вмешиваться в семейные дела.
465,Серебристый
466,"Ты знаешь, почему он на нее напал?"
467,Корона Барензии
469,Адепт
472,Медвежьи когти
473,GreenTintDark
476,BluishTintDark
477,Эльфийская секира высасывания
484,Волчьи перчатки
485,GreenTintLight
486,HumanSkinCorpse
487,Договорились.
491,YellowishTintAverage
492,DialogueDawnstarQuicksilverLeigelfLond02
495,ColorAverage
497,Хорошая древняя нордская секира льда
498,RedTintDeep
499,Филньяр
501,Эльфийская секира иссыхания
502,RedTintAverage
507,BluishTintAverage
509,BrownTintAverage
510,Пришлось убить твоего врага.
511,Орочий лук электричества
512,HumanSkinBaseTan
513,RedTintDark
514,RedTintLight
515,Дух-страж саблезуба
517,HumanSkinDarkSkin01
522,Поговорить с Эсберном
523,Общая
526,LowerSocketRed01
527,White Phial Services
528,HumanSkinBaseWhite04
531,10000 золотых. (Ложь)
532,HumanSkinBaseWhite05
533,Яйцо соснового дрозда
534,HumanSkinBasePale01
537,HumanSkinDarkSkin04
539,HumanSkinDarkSkin05
540,Вервольф-мастер
544,OrcSkin03
546,OrcSkin04
547,HighElfSkin01
548,HighElfSkin02
549,"Это он напал на Хелген, когда Ульфрик сбежал от имперцев."
550,HighElfSkin03
552,HighElfSkin04
557,YellowTintBright
558,BluishTintLight
559,Помочь жителям Предела (<Global=FriendsCountReach>/<Global=FriendsTotalMajorHold>)
560,BlackBrownBase
562,Зеленый
565,Тит Мид II пал... от моей руки.
568,Желтый
570,Ферма Пелагио
571,Голубые
574,Корень Нирна
575,Красный Орел
576,"Может, в другой раз."
579,Гнездо Ветров Предела
581,Орочий лук сжигания
582,Сундук
583,Коричневый
584,Оранжевый
585,Черный
586,Братья Бури - первое знакомство
587,Как уничтожить ульи?
588,"Вот книга, которую ты искал."
589,Голубые
590,Зеленый
591,Кристаллическая пещера
592,Я не могу помочь с этим.
593,Ралоф
596,"Ты не знаешь, почему он на тебя напал?"
598,HumanSkinBaseWhite07
601,Безжалостная сила - средняя
603,Огонь
605,Двемерский боевой топор убывания
606,Свиток: Ужасный зомби
607,HumanSkinBaseWhite09
609,"Если ты скажешь мне, где он, я принесу его тебе."
610,Могу я что-нибудь сделать?
612,WarpaintRed01
613,Талморское посольство - Подземелье
614,Страж волшебников
616,Взлом
617,WarpaintRed03
623,Поклонник Боэтии
625,Я не знаю твоего брата.
627,Rank = which mission was last successful
629,WarpaintBlue03
630,WarpaintBlue04
631,Утопленное горе
633,MQ201 Thalmor Faction
634,WarpaintGreen02
635,WarpaintGreen03
638,WarpaintOrange02
641,WarpaintYellow01
642,Главарь бандитов
643,Возвращение Лютого
647,"Тебя, похоже, мучает жажда."
648,Перегонный куб мастера
649,HumanSkinDarkSkin09
650,HumanSkinDarkSkin06
654,Вызов питомца
656,HumanSkinDarkSkin07
662,Данмер-призрак
667,DialogueMarkarthHagsCureSceneMuiriBothela04
671,DarkElfSkin02
673,Каков план?
674,Имперский военный лагерь
675,DarkElfSkin03
678,dunRannveigQSTLOSTTOCOMBAT
679,DarkElfSkin05
680,Расскажи мне о своих родителях.
681,AvoidThreat
682,Шепот ауры
687,HairShavedMaleOrc12
688,HighElfSkin05
690,Вы не можете использовать дистанционные заклинания под водой
691,Мифы Шеогората
