Index,Text
1,Las madrigueras de la Ratonera
2,Servicios de los establos de Ventalia
3,Razelan
6,¿Y por qué estáis buscando al Sangre de Dragón?
7,Botas imperiales de llamas menguantes
8,Brazales de piel de alquimia mayor
9,Permanecer en pie
12,Brawling Victor
15,¿Así que necesitas que lo traiga de vuelta?
19,Oreja de falmer
20,Dale el Hacha del arrepentimiento a Clavicus Vile o mata a Barabas con dicha arma
22,Servicios Hillevi Mar Cruel
28,Yelmo de escamas de magia mayor
31,Brazales de piel de presa menor
32,Me gustaría entrenarme con la magia de restauración.
35,Altar de curación
36,Desterrar
37,Eres bienvenido si quieres acompañarme.
38,Grimorio: respiración acuática
41,¿Te agrada ver a los Capas de la Tormenta al mando?
43,Riften Fishery Scene 04
45,Capas de la Tormenta en la Marca de Hjaal
49,Con dueño
50,Guanteletes de ébano de alquimia mayor
52,Saadia me ha dicho que sois unos asesinos.
61,Centurión enano
65,Potema
69,Mandoble de ébano de infierno
71,Ya sabes lo que tienes que hacer.
72,Castillo Severo
78,Herramienta de embalsamar
79,Casa de Silo Vesuio
81,de recompensa eliminada de
84,Martillo de guerra daédrico de extenuación
87,¿Qué le pasa a Joric?
89,Ocupantes de la casa de la familia Lylvieve
90,¿Quién es Elisif?
94,Trabajador desempleado
95,Safia
96,Escudo orco de fuego menguante
100,Atuendo
101,Manto de escarcha
104,Encontraré las pruebas que necesitas.
108,Dialogue (needs to sit under CW and CWCampaign)
111,Pila de heno
112,Hacha de combate orca de trampa de almas
113,Botas de los Cuchillas
115,La piedra de la dama
119,Orsinium y los orcos
122,Stalleo
123,Daga de cristal de aturdimiento
125,Armadura de ébano
129,Yelmo de cuero de ilusión mayor
133,Tienes que pagarles un sueldo justo a los argonianos.
135,¿Por qué empezaron a vivir bajo tierra?
137,Bendición de Julianos
140,Piezas y Recambios
141,HairLineFemaleNord07
142,Cuchara de Wylandriah
144,Tiempo de juego
146,Fuerza implacable intensa
149,HairLineMaleImperialChild01
150,(Mostrar a Astrid el amuleto y la carta sellada)
155,Markarth
156,Textures\Blood\ScreenBloodAlpha01OPT.dds
159,¿Ha ocurrido algo?
162,Explora un lugar (<Alias=Dungeon>) y recupera un objeto (<Alias=Item>)
165,Brazales de placas de acero de presa
169,La tarta y el diamante
171,Informa al jarl de Riften de dónde sale el skooma
175,"Visita Hogar de la Brisa, tu nueva casa"
180,Bastón de furia
183,Eltrys
