Index,Text
1,Goat
2,Summons a Frost Atronach permanently.
3,Summons a Storm Atronach for <dur> seconds wherever the caster is pointing.
4,[...]
5,Summons a Frost Atronach for <dur> seconds wherever the caster is pointing.
6,Summons a Flame Atronach permanently.
7,Summons a Flame Atronach for <dur> seconds wherever the caster is pointing.
8,Conjure Frost Thrall
9,Conjure Flame Atronach
10,Conjure Storm Atronach
11,Conjure Frost Atronach
12,Conjure Flame Thrall
13,Summons a Storm Atronach permanently.
14,Conjure Storm Thrall
15,"KINECT, List of Commands"
17,"KINECT, Using Shouts"
20,Your follower is too far to trade with. 
21,The Kinect has failed to initialize.  Ensure that your Kinect is connected and updated.  Kinect commands have been disabled. 
22,Your Kinect has not been calibrated. Voice commands have been disabled. Please use the Kinect Tuner to calibrate your Kinect's audio. 
23,Saddle
24,Bouncer
25,Butcher
26,Ancient Knowledge
27,White Phial Effect
29,Legendary Skills
30,Are you sure you want to make this skill Legendary?
31,Making a skill Legendary will set it to 15 and return its perks. Are you sure? 
32,"Once a skill reaches 100, you can make it legendary. The skill is reset to 15, and all perks are converted to perk points. Making a skill legendary allows you to level your character almost indefinitely."
33,Unable to load controls. Defaults will be used.
35,Unable to load settings. Defaults will be used.
36,Controller disconnected.
37,Please connect a controller to continue.
38,Explicit Content
39,Religious Discrimination
40,This mod cannot be installed since it depends on files that aren't present.
41,"Report mod for explicit content, general abuse or violations of Code of Conduct/Terms of Service?"
42,Slander
43,Modded
44,This mod cannot be activated and should be deleted.
45,What Terms of Service violation is this mod being reported for?
46,Mods are currently loaded. Note: Achievements are disabled.  Do you wish to continue loading this save?
47,The mod selection / load order has changed.  The game will now reload your data files.
48,"Are you sure you want to delete this mod?  If this mod is not registered with Bethesda.net, it will no longer be recoverable."
49,Other
50,Spam
51,Downloads still in progress. Are you sure you want to exit?
52,Do you want to delete this mod?
53,Do you really want to delete all downloaded mods?
54,Profanity
55,Results For '%s'
56,Harassment
57,Impersonation of User
58,Racial Discrimination
59,Use of Private Information
60,Mods are currently loaded. Note: Trophies are disabled. Do you wish to continue loading this save?
62,Mods
63,Start a new game? Mods are currently loaded. Note: Achievements are disabled.
64,Start a new game? Mods are currently loaded. Note: Trophies are disabled.
70,All skills improve <10>% faster for <8> hours.
71,All skills improve <15>% faster for <8> hours.
72,Castle Dour
73,All skills improve <5>% faster for <8> hours.
74,Restore Hunger Large
75,Restore Hunger Small
76,[SURV=Reduce <mag> points of Cold.]
77,Restore Cold
78,[SURV=Reduce <2> points of Hunger.]
79,[SURV=Reduce <6> points of Hunger.]
80,Restore Hunger Very Small
81,[SURV=Reduce <60> points of Hunger.]
82,[SURV=Warmth is increased by <mag> points for <dur> seconds.]
83,Fortify Warmth
84,Restore Hunger Medium
85,[SURV=Reduce <80> points of Hunger.]
87,Breezehome
88,Lakeview Manor
89,Heljarchen Hall
97,You move more quietly.
99,Wait for me in the city...
100,Wait here.
104,Sneak Pet
106,Wait for me at home...
107,Vlindrel Hall
108,Muffle Pet
110,Come with me!
113,Blades Boots
115,Hjerim
117,Dawnstar
119,Pet Abilities
121,Markarth
122,Stay here. This is your new home.
123,I need you to carry something...
127,Windhelm
129,Riften
130,Windstad Manor
131,Solitude
132,Winterhold
133,Honeyside
134,Whiterun
136,Proudspire Manor
137,Severin Manor
138,Falkreath
139,Come with me!
143,Creation Club Cell
144,Creation Club Cell
145,Creation Club Cell
146,Creation Club Cell
147,Creation Club Cell
148,Quick Test Cell
149,Creation Club Cell
150,Creation Club Cell
151,Creation Club Cell
152,Dog
153,Quick Test Cell
154,Door
155,Creation Club Cell
156,Dog
157,Creation Club Cell
158,Quick Test Cell
159,Creation Club Cell
160,Quick Test Cell
161,Quick Test Cell
162,Entrance
163,Harvest
164,Flame Stalk
165,Flame Stalk
166,Rot Scale
167,Harvest
168,Hollowed Stump
169,Rot Scale
170,Thorn Hook
171,Harvest
172,Thorn Hook
173,Harvest
174,Harvest
175,Screaming Maw
176,Screaming Maw
672,[SURV=Swim unharmed in freezing cold water.]
678,Resist Freezing Water
776,Fur Bracers
778,Talk to the Jarl of Whiterun
936,Banded Iron Armor
1114,Return the Bust of the Gray Fox to Delvin
1271,Ebony Dagger
1398,Dragonplate Helmet
1412,Get access to Hjerim
1560,Fine Hat
1648,Deepwood Redoubt
1850,Dragonsreach
2147,Yes?
2544,Staff of Magnus
2604,Mzulft Aedrome
2775,Generic dialogue
2826,Meet Karliah at the Ragged Flagon
3308,Learn the Word of Power from Einarth
3342,Dawnstar
3392,Thalmor Embassy
3412,You have a task for me?
3647,Forsworn Gauntlets
3710,Morvunskar
3915,Khajiit
3943,Frostmere Crypt
4001,Can you train me to better use Heavy Armor?
4003,Reachwater Rock
4107,Penitus Oculatus Armor
4261,Ragged Trousers
4295,Return <Alias=QuestItem> to <Alias.ShortName=QuestGiver>
4324,J'zargo's Flame Cloak
4333,Dragonscale Boots
4364,Regenerate Magicka
4440,I can do that.
4475,I'd like to make an investment in your business.
4483,Call Storm
4658,Honeyside
4686,Yes?
4703,Sunderstone Gorge
4922,Smithing
4964,Dark Elf
5035,Torso
5232,Dragonplate Gauntlets
5245,Escape the Thalmor Embassy
5255,Return the Ship Model to Delvin
5306,Breton
5334,Falmer Gauntlets
5351,Matching Set
5437,Speak to Karliah
5498,The Way of the Voice
5562,Retrieve the pommel of Mehrunes' Razor
5605,Redoran's Retreat
5697,Deflect Arrows
5753,Yes?
5966,What is it you want me to do?
6231,Retrieve the blade shards of Mehrunes' Razor
6283,Light Fingers
6577,Limbsplitter
6651,Intimidate <Alias=Brute> in <Alias=BruteTown>
6809,High Elf
6913,Guild Master's Hood
6981,Water Explosion
7140,Barkeep
7220,Guide Meridia's Light through the temple
7254,Stormcloak Officer Boots
7305,Find Karliah
7484,Guild Master's Boots
7531,Rjorn's Drum
7557,Defeat the wolf spirit
7558,Put witch head into fire
7559,Speak to Kodlak
7564,Go to Ysgramor's Tomb with the Circle
7565,Meet the Circle
7566,Give the final fragment to Eorlund
7568,Retrieve Kodlak's fragment
7571,Attend Kodlak's funeral
7582,Speak with Saadia
7584,Lead Saadia to the Whiterun Stables
7586,Return to Saadia
7589,Kill Kematu
7590,Kill Kematu OR Convince Saadia to meet Kematu
7596,Kill Kematu
7598,Enter the Alik'r hideout
7599,Ebony Blade
7602,Find a way to enter the Alik'r hideout
7610,Talk to the Alik'r Prisoner
7612,Inform the Alik'r of Saadia's location
7614,Speak with Saadia
7616,Find the Redguard woman
7849,Dragonscale Gauntlets
7988,DB07AstridCiceroDeadYesChoice
8138,The Ragged Flagon - Cistern
8422,Skyrim
8564,Return to Brynjolf
8577,(Optional) Smash Bersi's prized Dwarven Urn
8579,Collect Bersi Honey-Hand's debt
8585,Collect Keerava's debt
8589,Locate Brynjolf at the Ragged Flagon
8598,Talk to <Alias=AuthorityFigure>
8600,Catch the murderer
8605,Patrol the streets of the Stone Quarter at night
8609,Talk to <Alias=AuthorityFigure>
8611,Investigate Hjerim with Viola
8614,Meet Viola outside of Hjerim
8615,Follow up on the clues from Hjerim
8617,Look for clues
8623,Talk to Helgird
8624,Examine the crime scene
8625,Talk to <Alias=AuthorityFigure>
8626,Report to the guard
8629,Question the witnesses
8630,Get assistance from Jorleif
8711,Return to Brynjolf
8712,Return to Maven Black-Briar
8720,Return to Sabjorn
8725,Poison the Honningbrew Vat
8727,Poison the Nest
8729,Speak to Sabjorn
8760,Dampened Spirits
8797,Retrieve Arondil's Journals (<Global=FFRiften21JFound>/<Global=FFRiften21JTotal>)
8803,Enter Snow Veil Sanctum
8810,Meet Mercer Frey outside Snow Veil Sanctum
8822,Speak to Karliah
8825,Speak to Enthir
8831,Return to Enthir
8832,Duplicate the writing on Calcelmo's Stone
8835,Obtain Calcelmo's Falmer Translating Guide
8838,Gain entry to Calcelmo's Museum
8843,Speak with Enthir
8859,Speak to Brynjolf
8864,(Optional) Speak to Vex about Vald
8866,(Optional) Shoot the mechanism to lower the ramp
8871,Follow Karliah
8885,The Pursuit
8906,Wabbajack
9098,Claim Mehrunes' Razor
9103,Speak to Mehrunes Dagon
9104,Kill Silus
9106,Meet Silus at the Shrine of Mehrunes Dagon
9117,Bring the blade shards to Silus
9121,Speak to Silus inside his house
9128,Pieces of the Past
9178,Return to <Alias.ShortName=Questgiver>
9197,Hired Muscle
9201,Return to <Alias.ShortName=Questgiver>
9294,Return to Falk Firebeard
9297,Retrieve Potema's remains
9299,Emperor's Robes
9300,Defeat Potema
9392,Fetch me that Book!
9405,College Robes
9430,Kill the Hunters
9431,Speak with Hircine
9434,Skin Sinding
9435,Kill Sinding
9436,Join the hunt
9438,Kill the great beast
9461,Ill Met By Moonlight
9514,New Add-ons have been added.  You will need to restart to use this content.  All unsaved progress will be lost.
9518,Geirmund's Hall
9638,Ale
9678,Lover's Comfort
9740,Search Morvunskar for Sam and the Staff
9741,Head to Morvunskar
9742,Return the wedding ring to Ysolda in Whiterun
9751,Talk to Ysolda in Whiterun about the staff
9762,Ask about Sam and the staff in Rorikstead
9764,Apologize to the priestesses of Dibella
9765,Help clean up the Temple of Dibella
9768,Find Sam Guevenne
9798,Inheritance
9805,Quick Test Cell
9861,Speak to Arngeir for further training
9866,"Demonstrate your ""Whirlwind Sprint"" Shout"
9867,Learn the Word of Power from Borri
9872,"Demonstrate your ""Unrelenting Force"" Shout (<Global=MQ105TargetsHit>/<Global=MQ105TargetsTotal>)"
9874,Speak to Arngeir
9878,"Demonstrate your ""Unrelenting Force"" Shout"
9881,Speak to the Greybeards
9893,Dark Elf
10035,Find out how to defeat Alduin
10159,Clear Skies
10237,"Steal, Thugs hunt player"
10241,Talk to Delphine
10242,Search the torture chamber
10246,Search for information about the dragons returning
10249,(Optional) Retrieve your gear
10250,Create a distraction and get away from the party
10256,Give Malborn the equipment
10258,Meet Malborn in Solitude
10260,Meet Delphine in Riverwood
10270,Diplomatic Immunity
10272,Master WI quest
10277,Talk to Esbern
10280,Find Esbern in the Ratway Warrens
10661,Generic dialogue
10709,Bash Disarm
10958,Fortify Smithing
11098,Read Madanach's note
11099,Search Madanach's body
11100,Kill Madanach
11106,Kill Grisvar the Unlucky
11111,Return to Madanach
11113,Talk to Madanach
11123,No One Escapes Cidhna Mine
11293,Bersi Honey-Hand
11305,Interrogate Odahviing
11308,Call Odahviing to Dragonsreach
11316,Prepare trap for Odahviing
11317,Learn Shout to call Odahviing
11319,Talk to Esbern
11325,Talk to Arngeir
11328,Talk to Paarthurnax
11361,Negotiate a truce
11375,Talk to Ulfric Stormcloak
11376,Talk to General Tullius
11379,Talk to Arngeir
11384,Season Unending
11549,Talk to the heroes of Sovngarde
11551,Gain admittance to the Hall of Valor
11552,Sovngarde
11578,Nightingale Armor
11690,Bring Aela her shield
11692,Train with Vilkas
11696,Speak to Kodlak Whitemane
11707,Return the Eye of the Falmer to Delvin
11713,Return the Dwemer Puzzle Cube to Delvin
11715,Return the East Empire Shipping Map to Delvin
11720,Return the Honningbrew Decanter to Delvin
11721,Return the Queen Bee Statue to Delvin
11731,The Litany of Larceny
11740,Speak to Boethiah's Conduit
11748,Slay the Jarl of Solitude
11752,Slay the other cultists
11756,Find the cult of Boethiah
11758,Find the shrine of Boethiah
11771,Boethiah's Calling
11772,Retrieve Dawnbreaker
11773,Destroy Malkoran
11791,The Break of Dawn
11882,Return to Quintus Navale
11886,Find some Mammoth Tusk Powder
11889,Retrieve the Unmelting Snow
12023,Argonian Ale
