Index,Text
1,Chèvre
2,Fait apparaître un Atronach de glace de façon permanente.
3,Fait apparaître un Atronach de foudre pendant <dur> secondes à l'endroit indiqué par le lanceur.
4,[...]
5,Fait apparaître un Atronach de glace pendant <dur> secondes à l'endroit indiqué par le lanceur.
6,Fait apparaître un Atronach de feu de façon permanente.
7,Fait apparaître un Atronach de feu pendant <dur> secondes à l'endroit indiqué par le lanceur.
8,Conjuration de golem de glace
9,Conjuration d'Atronach de feu
10,Conjuration d'Atronach de foudre
11,Conjuration d'Atronach de glace
12,Conjuration de golem de feu
13,Fait apparaître un Atronach de foudre de façon permanente.
14,Conjuration de golem de foudre
15,"KINECT, liste des commandes"
17,"KINECT, avec les cris"
20,Votre acolyte est trop loin pour faire des échanges
21,Échec d'initialisation de Kinect. Vérifiez que votre Kinect est branché et a été mis à jour. Commandes Kinect désactivées.
22,Votre Kinect n'a pas été calibré. Commandes vocales désactivées. Veuillez calibrer l'audio de votre Kinect à l'aide du calibrage Kinect.
23,Selle
24,Vigile
25,Boucher
26,Savoir ancestral
27,Effet de la Fiole blanche
29,Compétences légendaires
30,Êtes-vous sûr de vouloir rendre cette compétence légendaire ?
31,Rendre une compétence légendaire la ramène à 15 points et lui enlève tous ses atouts. En êtes-vous sûr ?
32,"Lorsqu'une compétence atteint 100 points, vous pouvez la rendre légendaire. La compétence redescendra alors à 15 points et tous les atouts seront convertis en points d'atout. Rendre une compétence légendaire vous permet de faire progresser votre personnage presque indéfiniment."
33,Impossible de charger les commandes. Les commandes par défauts seront utilisées.
35,Impossible de charger les paramètres. Les paramètres par défaut seront utilisés.
36,Manette déconnectée.
37,Veuillez connecter une manette pour continuer.
38,Contenu explicite
39,Discrimination religieuse
40,Ce mod ne peut être installé puisqu'il nécessite des fichiers non présents.
41,"Signaler un mod pour contenu explicite, insultes ou infractions aux Règles de conduite et Conditions d'utilisation ?"
42,Diffamation
43,Modded
44,Ce mod ne peut être activé et doit être supprimé.
45,Quelle catégorie des conditions d'utilisation ce mod enfreint-il ?
46,Des mods sont actuellement chargés. Remarque : les succès sont désactivés. Voulez-vous continuer à charger cette sauvegarde ?
47,La sélection de module et l'ordre de chargement ont changé. Le jeu va recharger vos données.
48,"Voulez-vous vraiment supprimer ce mod ? S'il n'est pas enregistré sur Bethesda.net, il ne sera plus possible de le récupérer."
49,Autre
50,Spam
51,Des téléchargements sont toujours en cours. Voulez-vous vraiment quitter ?
52,Voulez-vous supprimer ce mod ?
53,Voulez-vous vraiment supprimer tous les mods téléchargés ?
54,Vulgarité
55,Résultats pour '%s'
56,Harcèlement
57,Usurpation d'identité
58,Discrimination raciale
59,Utilisation de renseignements privés
60,Des mods sont actuellement chargés. Remarque : les trophées sont désactivés. Voulez-vous continuer à charger cette sauvegarde ?
62,Modules
63,Commencer une nouvelle partie ? Des mods sont actuellement chargés. Remarque : les succès sont désactivés.
64,Commencer une nouvelle partie ? Des mods sont actuellement chargés. Remarque : les succès sont désactivés.
