Index,Text
1,Ziege
2,Beschwört einen permanenten Frost-Atronachen.
3,"Beschwört einen Sturm-Atronachen für <dur> Sekunden an der Stelle, auf die der Zaubernde zeigt."
4,[...]
5,"Beschwört einen Frost-Atronachen für <dur> Sekunden an der Stelle, auf die der Zaubernde zeigt."
6,Beschwört einen permanenten Feuer-Atronachen.
7,"Beschwört einen Feuer-Atronachen für <dur> Sekunden an der Stelle, auf die der Zaubernde zeigt."
8,Frostdiener beschwören
9,Feuer-Atronach beschwören
10,Sturm-Atronachen beschwören
11,Frost-Atronachen beschwören
12,Flammendiener beschwören
13,Beschwört einen permanenten Sturm-Atronachen.
14,Sturmdiener beschwören
15,"KINECT, Befehlsliste"
17,"KINECT, Schreie einsetzen"
20,Dein Begleiter ist zu weit entfernt zum Tauschen.
21,"Die Initialisierung von Kinect ist fehlgeschlagen. Bitte vergewissern Sie sich, dass Ihr Kinect verbunden und aktualisiert ist. Die Kinect-Sprachsteuerung wurde deaktiviert."
22,"Ihr Kinect ist nicht kalibriert. Die Sprachsteuerung wurde deaktiviert. Bitte benutzen Sie den Kinect Tuner, um die Spracherkennung Ihres Kinect zu kalibrieren."
23,Sattel
24,Türsteher
25,Schlächter
26,Altes Wissen
27,Effekt: Weißes Fläschchen
29,Legendäre Fertigkeiten
30,Möchtest du diese Fertigkeit wirklich legendär werden lassen?
31,"Lässt du eine Fertigkeit legendär werden, wird sie auf 15 zurückgesetzt und du erhältst darauf verwendete Talentpunkte zurück. Möchtest du das wirklich? "
32,"Sobald eine Fertigkeit den Wert 100 erreicht hat, kannst du sie legendär werden lassen. Dadurch wird sie auf 15 zurückgesetzt und du erhältst darauf verwendete Talentpunkte zurück. Legendäre Fertigkeiten ermöglichen es deinem Charakter, sich nahezu unbegrenzt zu verbessern."
33,Benutzerdefinierte Steuerung konnte nicht geladen werden. Standardeinstellungen werden verwendet.
35,Einstellungen konnten nicht geladen werden. Standardeinstellungen werden verwendet.
36,Controller wurde entfernt.
37,Zum Fortfahren bitte Controller anschließen.
38,Nicht jugendfreie Inhalte
39,Diskriminierung nach Religion
