Index,Text
1,Capra
2,Evoca un atronach del gelo permanentemente.
3,Evoca un atronach della tempesta per <dur> secondi nel punto indicato da colui che lancia l'incantesimo.
4,[...]
5,Evoca un atronach del gelo per <dur> secondi nel punto indicato da colui che lancia l'incantesimo.
6,Evoca un atronach della fiamma permanentemente.
7,Evoca un atronach delle fiamme per <dur> secondi nel punto indicato da colui che lancia l'incantesimo.
8,Evoca servo del gelo
9,Evoca Atronach della Fiamma
10,Evoca Atronach della Tempesta
11,Evoca Atronach del Gelo
12,Evoca servo della fiamma
13,Evoca un atronach della tempesta permanentemente.
14,Evoca servo della tempesta
15,KINECT - Elenco dei comandi
17,KINECT - Usare gli Urli
20,Il seguace è troppo lontano per commerciare con te.
21,Il dispositivo Kinect non è stato inizializzato correttamente. Controlla che il dispositivo Kinect sia collegato e aggiornato. I comandi del dispositivo Kinect sono stati disabilitati. 
22,Il dispositivo Kinect non è calibrato. I comandi vocali sono stati disabilitati. Usa il Sintonizzatore Kinect per calibrare l'audio del dispositivo Kinect.
23,Sella
24,Guardia
25,Macellaio
26,Antica conoscenza
27,Effetto della Fiala Bianca
29,Abilità Leggendarie
30,Vuoi rendere Leggendaria questa abilità?
31,Rendere Leggendaria un'abilità la riporta a 15 e ne azzera i bonus. Confermi?
32,"Quando un'abilità arriva a 100, puoi renderla Leggendaria. L'abilità viene riportata a 15 e i relativi bonus convertiti in punti bonus. Rendere Leggendaria un'abilità ti permette di salire di livello senza limiti."
33,Impossibile caricare i comandi. Saranno utilizzati quelli predefiniti.
35,Impossibile caricare le impostazioni. Saranno utilizzate quelle predefinite.
36,Controller scollegato.
37,Collegare un controller per continuare.
38,Contenuti espliciti
39,Discriminazioni religiose
40,"Impossibile installare questo mod, poiché dipende da file che non sono presenti."
41,"Segnala mod per contenuti espliciti, abusi generici o violazione del Codice di condotta o delle Condizioni del servizio?"
42,Diffamazione
43,Modded
44,Questo mod non può essere attivato e andrebbe eliminato.
45,Per quale violazione delle Condizioni del servizio viene segnalato questo mod?
46,I mod sono caricati. Nota: gli obiettivi sono disattivati. Vuoi continuare a caricare questo salvataggio?
