Index,Text
1,ヤギ
2,恒久的に氷の精霊を召喚する。
3,術者が狙った場所に <dur> 秒間、雷の精霊を召喚する。
4,[...]
5,術者が狙った場所に <dur> 秒間、氷の精霊を召喚する。
6,恒久的に炎の精霊を召喚する。
7,術者が狙った場所に <dur> 秒間、炎の精霊を召喚する。
8,氷の従徒召喚
9,炎の精霊召喚
10,雷の精霊召喚
11,氷の精霊召喚
12,炎の従徒召喚
13,恒久的に雷の精霊を召喚する。
14,嵐の従徒召喚
15,KINECT コマンドリスト
17,KINECT シャウトを使用
20,フォロワーと離れすぎていてアイテム交換できません。
21,Kinectの初期化に失敗しました。Kinectが正しく接続され、アップデートされていることを確認してください。Kinectコマンドはオフになりました。
22,Kinectが調整されていません。ボイスコマンドはオフになりました。Kinectの設定でKinectのオーディオの調整を行なってください。
23,鞍
24,用心棒
25,ブッチャー
26,古代の知識
27,白き小瓶の効果
29,レジェンダリースキル
30,このスキルをレジェンダリースキルにしますか？
31,レジェンダリースキルにすると、スキルが15になり能力ポイントが全て戻ってきます。本当によろしいですか？
32,スキルが100になったら、レジェンダリースキルにすることができます。スキルが15にリセットされ、覚えていた分の能力ポイントは再び使用できるようになります。これにより、スキルを上げる事ができるようになるので、レベル上限が無くなります。
33,操作設定をロードできません。デフォルト設定が使用されます。
34,スカイリム
35,ゲーム設定をロードできません。デフォルト設定が使用されます。
36,コントローラーの接続が失われました。
37,続行するにはコントローラーを接続してください。
38,露骨な表現
39,宗教差別
40,このMODのインストールに必要なファイルが存在しないため、実行できません
41,露骨な表現、一般的な不正使用、行動規範/利用規約の違反としてMODを報告しますか？
42,中傷
43,MOD適用済
44,このMODは有効にできず、削除する必要があります。
45,このMODをどのような利用規約違反で報告しますか？
46,現在MODがロードされています。注意: 実績機能は無効となります。このセーブデータをロードしますか？
47,MOD選択/ロード順に変更あり。ゲームにデータファイルをリロードします
48,このMODを削除しますか？ Bethesda.netに登録されたMODでない場合、復元はできません
49,その他
50,スパム
51,ダウンロードが進行中です。終了してよろしいですか？
52,このMODを削除しますか？
53,本当にダウンロードした全MODを削除しますか？
54,卑罵語
55,検索結果: %s
56,嫌がらせ
57,なりすまし
58,人種差別
59,個人情報の使用
60,現在MODがロードされています。注意: トロフィー機能は無効となります。このセーブデータをロードしますか？
62,MODS
63,新しいゲームを始めますか？ 現在MODがロードされています。注意: 実績機能は無効となります。
64,新しいゲームを始めますか？ 現在MODがロードされています。注意: トロフィー機能は無効となります。
72,ドール城
113,ブレイズのブーツ
778,ホワイトランの首長と話す
936,帯鉄の鎧
1114,グレイフォックスの胸像をデルビンに返す
1271,黒檀のダガー
1412,ヒジェリムに近づく
1648,ディープウッド要塞
1850,ドラゴンズリーチ
2147,ああ
2544,マグナスの杖
2604,ムズルフト・アエドローム
2826,ラグド・フラゴンでカーリアに会う
3308,アイナースから力の言葉を習得する
3392,サルモール大使館
3412,仕事はあるか？
3647,フォースウォーンの篭手
3710,モルブンスカー
3915,カジート
3943,フロストミヤ墓地
4001,重装を使いこなせるよう訓練してくれないか？
4003,リーチウォーターロック
4107,ペニトゥス・オクラトゥスの鎧
4295,<Alias=QuestItem> を <Alias.ShortName=QuestGiver> に返す
4364,マジカを回復
4440,引き受けよう
4475,ビジネスに投資したい
4483,嵐の召喚
4658,ハニーサイド
4686,ああ
4703,サンダーストーン渓谷
4922,鍛冶
4964,ダークエルフ
5035,胴
