Index,Text
1,Koza
2,Przywołuje atronacha lodu na stałe.
3,"Przywołuje na <dur> s atronacha burzy w miejscu, które wskazuje czarodziej."
4,[...]
5,"Przywołuje na <dur> s atronacha lodu w miejscu, które wskazuje czarodziej."
6,Przywołuje atronacha ognia na stałe.
7,"Przywołuje na <dur> s atronacha ognia w miejscu, które wskazuje czarodziej."
8,Przywołanie żywiołaka lodu
9,Przywołanie atronacha ognia
10,Przywołanie atronacha burzy
11,Przywołanie atronacha lodu
12,Przywołanie żywiołaka ognia
13,Przywołuje atronacha burzy na stałe.
14,Przywołanie żywiołaka burzy
15,"KINECT, lista poleceń"
17,"KINECT, polecenia głosowe"
20,Twój towarzysz znajduje się zbyt daleko i nie możesz z nim handlować. 
21,"Nie udało się uruchomić Kinect. Sprawdź, czy twój Kinect jest podłączony i uaktualniony. Polecenia Kinect zostały wyłączone. "
22,"Twój Kinect nie został skalibrowany. Polecenia głosowe zostały wyłączone. Użyj tunera Kinect, żeby skalibrować dźwięk Kinect. "
23,Siodło
24,Skoczek
25,Rzeźnik
26,Prastara wiedza
27,Efekt Białej Ampułki
29,Umiejętności legendarne
30,Czy na pewno chcesz zmienić umiejętność w legendarną?
31,Zmiana umiejętności w legendarną spowoduje modyfikację jej wartości do 15 oraz usunięcie jej cech. Kontynuować?
32,Umiejętność możesz zmienić w legendarną kiedy jej wartość osiągnie 100. Efektem modyfikacji będzie redukcja tej wartości do 15 oraz zamiana wszystkich cech na punkty cech. Umiejętności legendarne pozwalają na zdobycie niemalże nieskończonej liczby poziomów.
33,Nie udało się załadować ustawień sterowania. Zostaną użyte domyślne.
35,Nie udało się załadować ustawień. Zostaną użyte domyślne.
36,Kontroler jest odłączony.
37,"Proszę podłączyć kontroler, aby kontynuować."
38,Zawartość tylko dla dorosłych
39,Dyskryminacja na tle religijnym
40,"Tego moda nie można zainstalować, ponieważ wymaga on plików, których nie posiadasz."
41,"Zaraportować tego moda za zawartość dla dorosłych, ogólną obraźliwość lub naruszenie zasad postępowania/warunków świadczenia usług?"
42,Oczernianie
43,Modded
44,"Nie można aktywować tego moda, proszę go usunąć."
45,Jakie warunki świadczenia usług narusza ten mod?
46,Mody są obecnie wczytane. Uwaga: Osiągnięcia będą wyłączone. Chcesz kontynuować wczytywanie tego zapisu?
47,Kolejność wyboru/wczytywania modów uległa zmianie. Gra przeładuje teraz twoje pliki danych.
48,"Na pewno chcesz usunąć ten mod? Jeśli nie jest on zarejestrowany na Bethesda.net, nie będzie można go odzyskać."
49,Inne
50,Spam
51,Pobieranie jest cały czas w toku. Na pewno chcesz wyjść?
52,Czy chcesz usunąć ten mod?
53,Czy na pewno chcesz usunąć wszystkie pobrane mody?
54,Wulgarność
55,Wyniki: '%s'
56,Nękanie
57,Podszywanie się pod użytkownika
58,Dyskryminacja na tle rasowym
59,Wykorzystywanie danych prywatnych
60,Mody są obecnie wczytane. Uwaga: Trofea będą wyłączone. Chcesz kontynuować wczytywanie tego zapisu?
62,Mody
63,Rozpocząć nową grę? Mody są obecnie wczytane. Uwaga: Osiągnięcia będą wyłączone.
64,Rozpocząć nową grę? Mody są obecnie wczytane. Uwaga: Osiągnięcia będą wyłączone.
70,Wszystkie umiejętności wzrastają o <10>% szybciej przez <8> godz.
