Index,Text
1,Коза
2,Призывает ледяного атронаха бессрочно.
3,"Призывает грозового атронаха на <dur> с в точку, в которую указывает заклинатель."
4,[...]
5,"Призывает ледяного атронаха на <dur> с в точку, в которую указывает заклинатель."
6,Призывает огненного атронаха бессрочно.
7,"Призывает огненного атронаха на <dur> с в точку, в которую указывает заклинатель."
8,Вызов ледяного трэлла
9,Вызов огненного атронаха
10,Вызов грозового атронаха
11,Вызов ледяного атронаха
12,Вызов огненного трэлла
13,Призывает грозового атронаха бессрочно.
14,Вызов грозового трэлла
15,"KINECT, список команд"
17,"KINECT, использование Криков"
20,Ваш спутник слишком далеко для обмена.
21,"Устройство Kinect не опознано. Убедитесь, что устройство Kinect подключено. Команды Kinect отключены."
22,Устройство Kinect не калибровано. Голосовые команды отключены. Используйте тюнер Kinect для калибровки.
23,Седло
24,Охранник
25,Мясник
26,Древние знания
27,Эффект Белого флакона
29,Легендарные навыки
30,"Вы уверены, что хотите объявить этот навык легендарным?"
31,Объявление навыка легендарным снизит его до 15 и вернет вам соответствующие очки способностей. Продолжить?
32,"Как только навык достигнет 100, вы можете объявить его легендарным. Навык снизится до 15, а все связанные с ним способности вернутся к вам в виде очков. Объявление навыков легендарными позволяет вам без ограничений повышать уровень героя."
33,Ошибка загрузки команд управления. Используются стандартные.
35,Ошибка загрузки параметров. Используются стандартные.
36,Геймпад отключен.
37,Для продолжения подключите геймпад.
38,Непристойность
39,Религиозная дискриминация
40,Эта модификация не может быть установлена: ей нужны отсутствующие в данный момент файлы.
41,Пожаловаться на эту модификацию за непристойность или общее нарушение Условий предоставления услуг и/или поведения в сети?
42,Клевета
43,Modded
44,Эта модификация не может быть активирована и должна быть удалена.
45,На какое нарушение Условий предоставления услуг вы хотите пожаловаться?
46,В данный момент активированы модификации. Внимание: достижения будут недоступны. Вы все же хотите загрузить это сохранение?
47,Набор модификаций или порядок их загрузки изменился. Игра загрузит файлы данных повторно.
48,"Вы уверены, что хотите удалить модификацию? Если она не зарегистрирована на сайте Bethesda.net, вы не сможете восстановить ее."
49,Другое
50,Спам
51,"Загрузка еще не завершена. Вы уверены, что хотите выйти?"
52,Вы хотите удалить эту модификацию?
53,Вы действительно хотите удалить все загруженные модификации?
54,Ненормативная лексика
55,Результаты поиска по '%s'
56,Причинение беспокойства
57,Кража личности
58,Расовая дискриминация
59,Раскрытие личной информации
60,В данный момент активированы модификации. Внимание: призы будут недоступны. Вы все же хотите загрузить это сохранение?
62,Модификации
63,Начать новую игру? В данный момент активированы модификации. Внимание: достижения будут недоступны.
64,Начать новую игру? В данный момент активированы модификации. Внимание: достижения будут недоступны.
70,Все навыки улучшаются на <10>% быстрее в течение <8> часов.
71,Все навыки улучшаются на <15>% быстрее в течение <8> часов.
72,Мрачный замок
73,Все навыки улучшаются на <5% быстрее в течение <8> часов.
74,Восстановление большого голода
75,Восстановление малого голода
76,[SURV=Уменьшает холод на <mag> ед.]
77,Восстановление холода
78,[SURV=Уменьшает голод на <2> ед.]
79,[SURV=Уменьшает голод на <6> ед.]
80,Восстановление очень малого голода
81,[SURV=Уменьшает голод на <60> ед.]
82,[SURV=Тепло увеличивается на <mag> ед. в течение <dur> сек.]
83,Повышение тепла
84,Восстановление среднего голода
85,[SURV=Уменьшает голод на <80> ед.]
87,Дом теплых ветров
88,Поместье Озерное
89,Хельяркен-холл
97,Вы движетесь тише.
99,Жди меня в городе...
100,Жди здесь.
104,Скрытный питомец
106,Жди меня дома...
107,Влиндрел-холл
108,Тихий питомец
110,Пойдем со мной!
113,Сапоги Клинков
115,Хьерим
117,Данстар
119,Способности питомца
121,Маркарт
122,Оставайся здесь. Это твой новый дом.
123,Мне от тебя кое-что нужно.
127,Виндхельм
129,Рифтен
130,Поместье Уиндстад
131,Солитьюд
132,Винтерхолд
133,Медовик
134,Вайтран
136,Поместье Высокий шпиль
137,Поместье Северин
138,Фолкрит
139,Пойдем со мной!
143,Стенд Клуба творчества
144,Стенд Клуба творчества
145,Стенд Клуба творчества
146,Стенд Клуба творчества
147,Стенд Клуба творчества
148,Испытательный стенд
149,Стенд Клуба творчества
150,Стенд Клуба творчества
151,Стенд Клуба творчества
152,Собака
153,Испытательный стенд
154,Дверь
155,Стенд Клуба творчества
156,Собака
157,Стенд Клуба творчества
158,Испытательный стенд
159,Стенд Клуба творчества
160,Испытательный стенд
161,Испытательный стенд
162,Вход
163,Взять:
164,Огненный гриб
165,Огненный гриб
166,Гнилая чешуйка
167,Взять:
168,Полый пенек
169,Гнилая чешуйка
170,Шип
171,Взять:
172,Шип
173,Взять:
174,Взять:
175,Кричалка
176,Кричалка
672,[SURV=Можно безбоязненно плавать в ледяной воде.]
678,Устойчивость к ледяной воде
776,Меховые наручи
778,Поговорить с ярлом Вайтрана
936,Прочная железная броня
1114,Отнести Делвину бюст Серого Лиса
1271,Эбонитовый кинжал
1398,Драконий панцирный шлем
1412,Получить доступ в Хьерим
1560,Богатый головной убор
1648,Лесной оплот
1850,Драконий Предел
2147,Да?
2544,Посох Магнуса
2604,Мзулфт
2775,Generic dialogue
2826,"Встретиться с Карлией в ""Буйной фляге"""
3308,Узнать у Эйнарта Слово Силы
3342,Данстар
3392,Талморское посольство
3412,У тебя есть для меня задание?
3647,Перчатки Изгоев
3710,Морвунскар
3915,Каджит
