Index,Text
1,Cabra
2,Invoca de forma permanente a un atronach de la escarcha.
3,Invoca a un atronach de la tormenta durante <dur> segundos donde apunte el lanzador.
4,[...]
5,Invoca un atronach de la escarcha durante <dur> segundos donde apunte el lanzador.
6,Invoca de forma permanente a un atronach de las llamas.
7,Invoca un atronach de las llamas durante <dur> segundos donde apunte el lanzador.
8,Conjurar esclavo de la escarcha
9,Conjurar atronach de las llamas
10,Conjurar atronach de la tormenta
11,Conjurar atronach de la escarcha
12,Conjurar esclavo de las llamas
13,Invoca de forma permanente a un atronach de la tormenta.
14,Conjurar esclavo de la tormenta
15,"KINECT, lista de comandos"
17,"KINECT, uso de los gritos"
20,El seguidor está demasiado lejos para intercambiar cosas con él.
21,Kinect no se ha podido iniciar. Asegúrate de que Kinect esté conectado y actualizado. Se han desactivado los comandos de voz.
22,Kinect no está calibrado. Se han desactivado los comandos de voz. Usa el Configurador de Kinect para calibrar el sonido de Kinect.
23,Silla de montar
24,Guardia
25,Carnicero
26,Conocimiento antiguo
27,Efecto de Blanco Vial
29,Habilidades legendarias
30,¿Seguro que quieres convertir esta habilidad en legendaria?
31,"Al convertir una habilidad en legendaria, esta pasa a valer 15 otra vez y se te devuelven sus ventajas. ¿Seguro que quieres hacerlo? "
32,"Cuando una habilidad llega a 100, puedes convertirla en una habilidad legendaria. La habilidad vuelve a valer 15 y todas las ventajas se convierten en puntos. Convertir una habilidad en legendaria te permite subir de nivel a tu personaje casi indefinidamente."
33,No se pueden cargar los controles. Se usarán los predeterminados.
35,No se pueden cargar los ajustes. Se usarán los predeterminados.
36,Mando desconectado.
37,Conecta un mando para continuar.
38,Contenido explícito
39,Discriminación religiosa
40,Este mod no puede instalarse porque depende de archivos que no se encuentran presentes.
41,"¿Denunciar mod por contenido explícito, por ser ofensivo en general o por violaciones del Código de conducta o las Condiciones del servicio?"
42,Difamación
43,Modded
44,Este mod no puede activarse y debería borrarse.
45,¿Por qué violación de las Condiciones del servicio se está denunciando este mod?
46,Hay mods cargados. Nota: los logros quedan desactivados. ¿Quieres seguir cargando esta partida guardada?
47,El mod seleccionado o la orden de carga han cambiado. Se volverán a cargar tus archivos de datos.
48,"¿Seguro que quieres borrar este mod? Si este mod no está registrado en Bethesda.net, no podrás recuperarlo."
49,Otro
50,Spam
51,Hay descargas en curso. ¿Seguro que quieres salir?
52,¿Quieres eliminar este mod?
53,¿Seguro que quieres eliminar todos los mods descargados?
54,Lenguaje soez
55,Resultados para '%s'
56,Acoso
57,Suplantación de usuario
58,Discriminación racial
59,Uso de información privada
60,Hay mods cargados. Nota: los trofeos quedan desactivados. ¿Quieres seguir cargando esta partida guardada?
62,Mods
63,¿Comenzar una partida nueva? Los mods están cargados actualmente. Aviso: los logros están desactivados.
64,¿Comenzar una partida nueva? Los mods están cargados actualmente. Aviso: los logros están desactivados.
70,Todas las habilidades mejoran un <10>% más rápido durante <8> horas.
71,Todas las habilidades mejoran un <15>% más rápido durante <8> horas.
72,Castillo Severo
73,Todas las habilidades mejoran un <5>% más rápido durante <8> horas.
74,Saciar hambre: grande
75,Saciar hambre: pequeña
76,[SURV=Reduce <mag> points of Cold.]
77,Curar frío
78,[SURV=Reduce <2> points of Hunger.]
79,[SURV=Reduce <6> points of Hunger.]
80,Saciar hambre: muy pequeña
81,[SURV=Reduce <60> points of Hunger.]
